Zip Code,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
20001,415680.0,484408.3333333333,567300.0,754222.2222222222,657181.8181818182,981571.4285714285,781000.0,1185840.9090909092,1130318.1818181819,1052916.6666666667,1008998.3333333334
20002,444700.0,436900.8,448502.38095238095,413964.1176470588,574479.1666666666,573317.6470588235,686250.0,643514.2857142857,764162.9166666666,818366.875,793505.5555555555
20003,844750.0,938666.6666666666,849271.4285714285,851625.0,856555.5555555555,709566.6666666666,883549.9090909091,845190.625,1435979.1538461538,1089230.7692307692,775953.3333333334
20004,,,,,,,,,,,
20005,,812750.0,424500.0,374900.0,764999.8,1373666.6666666667,,1274500.0,1707500.0,899000.0,
20006,,,,,,,,,,,
20007,,,,,,,,,,,
20008,,,,,,,,,,,
20009,548021.4285714285,652961.5384615385,1467666.6666666667,623388.3333333334,663845.4545454546,665571.4285714285,1012425.0,636714.2857142857,1120271.4285714286,1629714.2857142857,658572.7272727273
20010,628000.0,672875.0,548571.4285714285,534571.3,558300.0,691200.0,770750.0,690766.6666666666,940915.3846153846,669225.0,855711.1111111111
20011,418697.0294117647,525558.0555555555,533259.7096774194,605987.2589285715,677566.9237288135,653285.0977443609,697563.9677419355,719859.0935251799,776672.1851851852,838446.6193548387,879282.5
20012,578291.6666666666,525144.6849315069,521636.5483870968,590616.4893617021,672218.3434343435,669587.4519230769,710152.1086956522,765510.5416666666,790951.27,804953.2980769231,824392.9487179487
20015,897057.8627450981,855041.6666666666,880682.4471544715,964681.9295774648,984990.625,1066152.0073529412,1082555.8846153845,1100215.9426751593,1128738.862745098,1233620.5070422536,1270274.4672131147
20016,1413677.049180328,1175158.3509615385,1232361.2254901961,1286802.7857142857,1263336.744680851,1443845.0954545455,1413967.3179723502,1622414.77294686,1568240.6720647772,1579962.8008658008,1666046.4324324324
20017,350790.0,372057.1304347826,386426.97872340423,432313.275862069,511451.537037037,571743.0862068966,647485.0727272728,672844.1754385965,691284.6,764963.8888888889,757111.0465116279
20018,278982.0208333333,294567.61320754717,291798.7196261682,353177.85576923075,418155.4583333333,442971.3284671533,510457.34437086096,528059.9305555555,581043.5394736842,596907.9411764706,609413.1240310078
20019,145466.61363636365,150849.00763358778,161625.76470588235,196414.35087719298,215274.9745762712,244196.35,254277.52272727274,306899.89171974524,326612.7846153846,356996.7100591716,394937.9
20020,315430.0,232531.74025974027,240976.94444444444,261980.64788732395,288415.9830508475,315904.96153846156,359814.25675675675,413765.8617021277,445830.93137254904,450711.98,491686.1538461539
20024,,,,,,,,,,,
20032,162117.6923076923,147442.1052631579,177213.04347826086,196026.66666666666,215213.5,232810.0,280619.5652173913,374474.36842105264,338126.5625,368948.3333333333,386975.0
20036,,210000.0,,,,10124500.0,,6250000.0,,492500.0,
20037,,650000.0,529500.0,1400000.0,893250.0,,,755000.0,525000.0,,995000.0
