Zip Code,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
20001,403898.8181818182,420407.54054054053,414212.87903225806,426979.8253968254,478621.4631268437,530334.3532338309,551374.168765743,583910.895480226,620440.3851851852,596523.7889447237,597760.0839416059
20002,291232.0535714286,347566.3652173913,306332.6923076923,322784.368,328524.1300813008,385310.6666666667,400963.6354679803,436867.67615658365,460750.75,477840.69097222225,502843.49074074073
20003,407318.4210526316,354751.4705882353,446930.4032258064,385649.72164948453,396839.8,403740.5984848485,446774.2865497076,445586.27972027974,452664.9536423841,508239.9266055046,552097.5968992248
20004,465885.96153846156,498523.07843137253,474536.3409090909,459155.76923076925,531973.6545454545,500279.81666666665,598087.5,541645.0,547892.2,559975.7333333333,564633.695652174
20005,440872.2361111111,466537.21794871794,484829.5811965812,473527.0425531915,530086.2512562814,549221.8313953489,514565.6132596685,538005.1340206185,582025.7393162394,590084.2794759825,581263.4307692308
20006,226500.0,188750.0,202000.0,242062.5,252142.85714285713,263142.85714285716,215285.7142857143,246950.0,246312.5,250928.57142857142,281166.6666666667
20007,,,,,,,,,,,
20008,,,,,,,,,,,
20009,434363.82352941175,432957.18724279833,425603.79157427937,438204.6140684411,464264.5067204301,476129.9179331307,481868.6299559471,495805.9082191781,531833.3065902579,513659.3800978793,552513.9326732673
20010,307879.6296296296,342133.5681818182,332662.65,374111.56842105265,397587.31192660553,409749.3043478261,430235.4052287582,502355.6582278481,495750.35761589406,488571.0578034682,510474.1287878788
20011,241788.88888888888,184218.30985915492,200338.0864197531,199224.88607594935,243232.688172043,253105.32967032967,312552.96,325340.1637931034,361129.79194630875,374080.84353741497,398762.625
20012,226037.5,192203.33333333334,233267.96,247189.47368421053,232700.0588235294,290500.0,242011.875,259775.25925925927,301003.5714285714,342384.3783783784,396400.0
20015,291333.3333333333,660093.75,497351.8301886792,492210.5263157895,577021.052631579,631241.9354838709,575000.9411764706,493994.0,435965.28571428574,559982.3636363636,459092.1724137931
20016,341157.65625,404606.3758389262,396633.9366197183,400432.6794258373,383622.1077586207,410062.18957345973,423764.356,436173.02252252254,417925.17993079586,421698.69019607845,435154.1324503311
20017,173362.5,150290.76923076922,142564.83333333334,152131.25,176602.0625,233099.8148148148,294918.3333333333,450456.0253164557,399991.06382978725,366098.825,428021.9268292683
20018,161141.83333333334,152409.0909090909,111866.66666666667,111250.0,188562.5,173906.25,271484.6153846154,288223.07692307694,349453.8076923077,341603.93333333335,364817.39130434784
20019,110442.08333333333,72194.31818181818,73227.0,95152.0,86130.30303030302,94843.75,74527.27272727272,75781.25,118952.08333333333,162393.8620689655,137318.4
20020,114073.68421052632,66652.8163265306,53084.26315789474,43261.42857142857,68322.93939393939,118133.87878787878,125414.13043478261,108987.33333333333,114762.6329113924,102918.37634408602,149986.61363636365
20024,,,,,,,,,,,
20032,59250.0,47206.25,38759.96153846154,42036.181818181816,99165.19047619047,55115.78947368421,54715.954545454544,105015.82857142857,127927.86111111111,123564.0,151733.29166666666
20036,325037.625,328265.75581395347,366050.887755102,328489.73195876286,356483.5188679245,360660.1968503937,373763.8076923077,371973.7826086957,381126.10714285716,443399.2901234568,484726.4947368421
20037,742982.6086956522,609923.4104046243,653144.1525423729,644904.4867724868,579314.3984375,724905.7655502392,707997.0688073394,655435.3268292682,771255.369047619,814418.7894736842,701412.1436464088
