Zip Code,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
20001,412096.61,448182.5565217391,469005.6769911504,542816.972027972,606329.1954397394,683688.2909698996,761548.2823129252,798424.8598484849,872245.6170212766,836371.2578397213,928242.9395348837
20002,386986.9144385027,401338.42910447763,439814.5495145631,493449.93023255817,559275.4287949922,610534.0260416666,660907.850174216,675526.6985074627,715947.9793977813,765166.0772870663,831796.0344827586
20003,564864.0416666666,624319.633744856,593497.7937219731,662031.3347280335,741371.33203125,738101.2062256809,813497.6622073578,847228.2780082987,893888.1418918918,933650.5494505494,978116.1393034826
20004,,,,,,,,637000.0,,,
20005,587787.5,623247.3548387097,655750.0,650706.16,767133.3333333334,1058974.4583333333,973026.6666666666,857996.2962962963,1023350.4347826086,1098230.0,881033.3333333334
20006,,,,,,,,,,,
20007,,,,,,,,,,,
20008,,,,,,,,,,,
20009,688231.6666666666,737494.3668122271,779386.7414634146,763664.1632653062,861044.0076923077,938211.48,923275.1353711791,1002337.3301435406,1035442.8691983123,1026636.2217898832,1110004.4662162163
20010,418460.08928571426,504528.3333333333,515515.9540229885,576077.6060606061,640415.5138121546,708965.039800995,742474.6458333334,803972.1365638766,846380.9014778325,798594.4615384615,847004.2049689441
20011,311319.2086956522,334064.49206349207,359999.12237762235,405972.75261324045,492767.60294117645,536805.2011331444,563693.3051771118,606366.0310880829,621635.5432098765,672422.2545454545,691203.1077441077
20012,292500.0,374666.6666666667,305000.0,261916.66666666666,404708.25,380166.6666666667,445408.3333333333,496000.0,476529.1666666667,597981.052631579,494970.9130434783
20015,655833.3333333334,719800.0,766034.375,798842.3076923077,753345.4545454546,863561.1111111111,928707.6923076923,886041.6666666666,846441.1764705882,940965.625,925863.6363636364
20016,725345.0,691547.2916666666,671931.0344827586,762035.7142857143,798345.9459459459,760906.4666666667,826414.7727272727,913600.0,949388.8888888889,920097.0,982505.0
20017,248761.46153846153,293759.9655172414,299808.9767441861,326189.0,401196.975,474075.3333333333,497239.24074074073,606252.9411764706,628493.2551020408,604854.4634146341,627966.3333333334
20018,304482.5,244088.82926829267,229988.57575757575,279923.7619047619,294656.3953488372,404852.6865671642,447063.6,489408.8658536585,477949.28125,503336.243902439,536439.3492063492
20019,143046.5625,119375.44186046511,121053.41176470589,160858.45070422534,184006.55208333334,198506.02352941176,228061.82727272727,253900.8151260504,285430.90566037735,321490.2551020408,355020.5145631068
20020,171546.15384615384,136047.62295081967,127489.07246376811,166525.10144927536,202181.38888888888,243627.87878787878,242677.38823529411,299897.43636363634,302793.7727272727,334186.10625,354156.5444444445
20024,,,,,,,,,,,
20032,148173.5,159115.8656716418,138639.2857142857,148647.0588235294,178144.31818181818,193860.6,240074.02325581395,248869.35483870967,301272.671875,334833.5824175824,364809.89361702127
20036,3815500.0,838863.6363636364,1156863.6363636365,1011658.3333333334,1220291.6666666667,687943.3333333334,1377888.888888889,1217000.0,1387564.2857142857,1013499.9090909091,1355425.0
20037,921250.0,802065.2173913043,661965.0,783642.8571428572,908000.0,1119111.111111111,993640.4230769231,775768.75,1311490.0,980805.0,996500.0
