Zip Code,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
20001,386600.0,448369.3939393939,502176.1395348837,542220.5588235294,722773.3,686204.8780487805,759053.8461538461,811012.9032258064,953008.9487179487,864673.7083333334,875352.9411764706
20002,413676.6666666667,480315.3661971831,487098.5,526540.8787878788,618753.84375,716488.8205128205,705144.6,720883.9666666667,812104.8909090909,786612.0151515151,716697.1333333333
20003,581226.6666666666,638977.380952381,662732.78,846746.3333333334,801534.6842105263,865120.7627118644,854367.5555555555,965764.9032258064,1081894.4042553192,993845.7627118644,1107692.3076923077
20004,,,,,,,,,,,
20005,370000.0,379268.5714285714,887562.75,682500.0,688000.0,497000.0,,465000.0,1366800.0,1664500.0,
20006,,,,,,,,,,,
20007,,,,,,,,,,,
20008,,,,,,,,,,,
20009,641481.8181818182,826946.0333333333,657465.1388888889,911012.641025641,814291.6666666666,913455.8823529412,1305850.0,1041057.1739130435,1468893.75,1136025.0,1198318.0909090908
20010,363250.0,538306.6666666666,556625.0,665209.28,706293.8125,725818.9090909091,792036.3333333334,847872.7272727273,863842.1052631579,862145.4545454546,759271.4285714285
20011,324680.85294117645,294351.1101694915,331106.7272727273,352223.92424242425,420646.45323741005,460852.52482269506,500900.54347826086,504206.28169014084,550873.5684931506,563239.7826086957,592933.75
20012,334225.0,290837.5,324035.0,320838.46153846156,438521.4285714286,463340.0,478846.1538461539,528968.75,509403.125,538050.0,720994.1176470588
20015,709875.0,831969.2352941176,734850.0,813020.0,1022722.2222222222,934416.6666666666,999699.9375,1098571.875,1014766.6666666666,1097625.0,924609.3125
20016,808818.1818181818,794935.0,841526.6666666666,828925.7631578947,976269.6521739131,912277.2727272727,1023644.2307692308,1034061.75,1131983.1470588236,1108062.9285714286,1073757.0952380951
20017,294466.6111111111,269635.3043478261,269624.3333333333,303916.0714285714,377388.2727272727,402080.1568627451,448099.20634920633,480864.2272727273,507657.3943661972,522003.5128205128,549869.9836065574
20018,235000.0,218770.29411764705,256008.33333333334,297916.6666666667,331776.4705882353,440375.0,437571.35714285716,497250.0,510510.375,530427.7222222222,587949.2857142857
20019,162224.11363636365,142419.80373831774,146076.10280373832,144816.43564356436,180272.36036036036,193914.85454545455,224485.68217054263,245750.1875,285010.75,311899.3640776699,342288.46268656716
20020,130674.25,166620.2888888889,146833.725,162083.75,199731.81818181818,234554.53846153847,243073.3777777778,271055.8035714286,283108.2375,323099.25641025644,316430.8510638298
20024,,,,,,,,,,,
20032,142100.0,157051.16666666666,122223.80769230769,152955.0,164295.3125,184325.0,203684.2,236067.41860465117,287509.04761904763,323739.31666666665,344343.53846153844
20036,,,,1137500.0,,1195000.0,,764000.0,1175000.0,617500.0,1985000.0
20037,,615000.0,599166.6666666666,910000.0,1231000.0,,915333.3333333334,1600000.0,1095780.0,1265000.0,567000.0
