,OBJECTID,GIS_ID,NAME,ALPHA_CODE,PARK_CODE,LOCATION,AQUIRED,TRANS_DC,SOURCE,RESERVE,LABEL,Shape_Length,Shape_Area,SQUARE,SUFFIX,LOT,SSL,PAR,Zip Code
418,419,Nps_475,Fort Circle Park,NACE,832.0,"Fort Dupont To Fort Stanton Park, SE","6, 8",,NPS,518,Fort Circle Park,1482.57121748556,71724.17079801111,MULTI-SQUARES & PARCELS,,0.0,RES 05180000,,
419,420,Nps_477,Fort Circle Park,NACE,832.0,"Fort Dupont To Fort Stanton Park, SE","6, 8",,NPS,518,Fort Circle Park,152.010384632875,1099.44029552485,MULTI-SQUARES & PARCELS,,0.0,RES 05180000,,
420,421,Nps_480,Fort Circle Park,NACE,832.0,"Fort Dupont To Fort Stanton Park, SE","6, 8",,NPS,518,Fort Circle Park,1560.8631200872799,98854.23296136,MULTI-SQUARES & PARCELS,,0.0,RES 05180000,,
421,422,Nps_482,Fort Circle Park,NACE,832.0,"Fort Dupont To Fort Stanton Park, SE","6, 8",,NPS,518,Fort Circle Park,517.0791658306069,16057.5613414301,5740,,32.0,5740    0032,,
422,423,Nps_491,Oxon Run Parkway,NACE,856.0,"Mississippi Ave., Between 1st St. & Southern Ave., SE",6,,NPS,501,Oxon Run Parkway,4075.17599341665,398618.533991262,0000,,0.0,RES 05010000,,98942
423,424,Nps_481,Fort Stanton Park,NACE,888.0,"North Of Erie St., Between Pearson Pl. & 16th Sts., SE","5, 6, 8",,NPS,412,Fort Stanton Park,2880.13221119234,213000.84891432602,"5744,5749,5751,5752,5755,5778,5797,5815,5818,5819",,,RES 04120000,,20003
424,425,Nps_488,Fort Circle Park,NACE,832.0,"Fort Stanton Park To St. Elizabeth Hospital, SE","6, 9",,NPS,519,Fort Circle Park,662.169154205547,13053.3001002705,"5744,5819,5833,5834,5876,5880,5884",,,RES 05190000,,20032
425,426,Nps_484,Fort Circle Park,NACE,832.0,"Fort Stanton Park To St. Elizabeth Hospital, SE","6, 9",,NPS,519,Fort Circle Park,1154.03365768499,64402.477420652,"5744,5819,5833,5834,5876,5880,5884",,,RES 05190000,,20032
426,427,Nps_485,Fort Circle Park,NACE,832.0,"Fort Stanton Park To St. Elizabeth Hospital, SE","6, 9",,NPS,519,Fort Circle Park,1561.7272469771601,45093.9656925037,"5744,5819,5833,5834,5876,5880,5884",,,RES 05190000,,20032
427,428,Nps_025,Fort Circle Park,ROCR,832.0,"Fort Stevens Park To Fort Slocum Park, NW","6, 8",,NPS,494,Fort Circle Park,429.638465298752,4835.44737158375,MULTI-SQUARES & PARCELS,,0.0,RES 04940000,,
428,429,Nps_120,Fort Circle Park,ROCR,832.0,"Barnard Hill To Ft. Lincoln, NE",6,,NPS,520,Fort Circle Park,320.697421750413,3403.9981618246397,4303,,0.0,RES 05200000,,
429,430,,,,,,<Null>,,,,,537.725539439664,17951.2680478382,1818,,849.0,1818    0849,,
430,431,,,ROCR,,"South Dakota Ave., between 24th St. & Rhode Island Ave., NE
",<Null>,,NPS,313B,,119.265260472428,648.109562475893,0000,,0.0,RES 313B0000,,20018
431,432,,,ROCR,,"Harewood Rd., between 4th St. & Michigan Ave., NE",<Null>,,NPS,614,,67.920971610009,176.00539314567,0000,,0.0,RES 06140000,,20017
432,433,,,,,"New Hampshire Ave. & 15th St., south of W St., NW
",<Null>,,NPS,148,,30.451883229222805,42.7605535499759,0000,,0.0,RES 01480000,,20009
433,434,,,NAMA,,"Louisiana Ave., C & 1st Sts., NW",<Null>,,NPS,727,,98.40224343444521,445.633560945876,0633,,0.0,RES 07270000,,20001
434,435,,,NAMA,,"D St., Louisiana & New Jersey Aves., NW",<Null>,,NPS,728,,189.91554974122502,1637.40794087125,0632,,0.0,RES 07280000,,20001
435,436,,,NAMA,,"1901 Maryland Ave., between 12th & D Sts., SW",<Null>,,NPS,197,,121.16746205537599,450.905985168116,0000,,0.0,RES 01970000,,20024
436,437,,,NAMA,,"Virginia Ave., between Delaware Ave. & E St., NW",<Null>,,NPS,120,,78.51138911954679,132.88856565637101,0000,,0.0,RES 01200000,,52353
437,438,,,,,"South Capitol St., between Washington Ave. (Canal St.) and E St., SW
",<Null>,,NPS,6G,,115.91086643047899,590.717682679481,0000,,0.0,RES 006G0000,,20003
438,439,,,,,"North Carolina Ave., between E St. & east of 1st St., SE",<Null>,1969-01-30T00:00:00.000Z,NPS,229,,188.651419846905,828.352380322144,0000,,0.0,RES 02290000,,20003
439,440,,,,,"Washington Ave. (Canal St.), between D & South Capitol Sts., NW",<Null>,,NPS,6F,,598.6285962598799,3604.9861272551398,0640,,0.0,RES 006F0000,,20002
440,441,,,,,"1901 Washington Ave. (Canal St.) & New Jersey Ave., SE",<Null>,,NPS,289,,89.5982677337449,429.519801247699,0000,,0.0,RES 02890000,,07676
441,442,,Randle Circle,,,"Massachusetts Ave., Minnesota Ave., and 32nd St., SE",<Null>,,NPS,726,Randle Circle,497.421340995024,7089.399207286109,0000,,0.0,RES 07260000,,20005
442,443,,,,,"1901 Maryland Ave., between 10th & D Sts., SW",<Null>,,NPS,198,,161.94450497513202,840.858091650851,0352,,0.0,RES 01980000,,20001
443,444,,,,,,<Null>,,NPS,,,81.7019884389373,322.572531978056,6120,N,801.0,6120N   0801,,
444,445,,,,,,<Null>,,NPS,,,1524.1890289957998,123798.357023401,PAR ,,25.0,PAR 01630025,163.0,
445,446,,,,,,<Null>,,NPS,,,63.4208450183665,162.727956268288,5298,,803.0,5298    0803,,
446,447,,,,,,<Null>,,NPS,,,126.61802200981899,471.84087350963205,5297,,803.0,5297    0803,,
447,448,,,,,,<Null>,,NPS,,,79.1481660476295,285.588134158209,5296,,810.0,5296    0810,,
448,449,,,,,,<Null>,,NPS,,,96.2683514574007,478.051305799657,5287,,803.0,5287    0803,,
449,450,,,,,,<Null>,,NPS,,,57.7823764704686,137.917110946223,5295,,812.0,5295    0812,,
450,451,,,,,,<Null>,,NPS,,,69.7168535805245,199.172107559785,5295,,813.0,5295    0813,,
451,452,,,,,,<Null>,,NPS,,,2696.36232869122,67885.8798108504,PAR ,,81.0,PAR 01730081,173.0,
452,453,,United States National Arboretum,,,3501 NEW YORK AVENUE NE,<Null>,,NPS,,United States National Arboretum,8306.19231431732,1701987.98526411,0000,,16.0,PAR 01620016,162.0,20002
453,454,,,,,,<Null>,,NPS,,,1239.32373642904,86119.96234034731,0000,,147.0,PAR 01730147,173.0,
454,455,Nps_373,The Mall,NACC,802.0,"7th To 6th St. NW & Constitution Ave., To Independence Avenue, SW","1, 7, 9",,NPS,04 & 5,The National Mall,4922.5768830925,235180.473619288,PAR ,,7.0,PAR 03160007,316.0,20001
455,456,,Oxon Run Park,NACE,,"Mississippi Ave., Between 1st St. & Southern Ave., SE",6,,,,Oxon Run Park,1105.93775571682,28980.854428900497,,,,RES 05010000,,98942
456,457,Nps_234,Thomas Circle,NACC,828.0,"Massachusetts & Vermont Aves., NW",1,,,066,Thomas Circle,206.755953191337,3401.7796778328498,,,,RES 00660000,,20005
