,OBJECTID,GIS_ID,NAME,ALPHA_CODE,PARK_CODE,LOCATION,AQUIRED,TRANS_DC,SOURCE,RESERVE,LABEL,Shape_Length,Shape_Area,SQUARE,SUFFIX,LOT,SSL,PAR,Zip Code
68,69,Nps_237,Triangle,NACE,878.0,"Florida Ave., Between M & East Of 6th Sts., NE",1,,NPS,280,,34.6873375908658,49.0473104386991,0280,,0.0,RES 02800000,,20002
69,70,Nps_323,Triangle,NACE,877.0,"Maryland Ave., Between 10th & E Sts., NE",1,,NPS,209,,97.42757974747241,292.838691363666,0000,,0.0,RES 02090000,,20002
70,71,Nps_326,Triangle,NACE,877.0,"Maryland Ave., Between 9th & E Sts., NE",1,,NPS,208,,71.22518732295059,231.17699249860001,0000,,0.0,RES 02080000,,20002
71,72,Nps_333,Triangle,NACE,877.0,"Maryland Ave., Between 7th & D Sts., NE",1,,NPS,207,,70.6508817642056,195.76221603974997,0000,,0.0,RES 02070000,,20002
72,73,Nps_336,Triangle,NACE,877.0,"Maryland Ave. & D st., East Of 9th St., NE",1,,NPS,206,,96.2850493474452,369.399193693972,0000,,0.0,RES 02060000,,20024
73,74,Nps_381,Lincoln Park,NACE,810.0,"East Capitol St., Between 11th &13th Sts., NE & SE",1,,NPS,014,Lincoln Park,719.360572061917,28136.8708877234,0988,,0.0,RES 00140000,,20003
74,75,Nps_342,Stanton Park,NACE,820.0,"C St., Between 4th & 6th Sts., NE",1,,NPS,015,Stanton Park,493.05437738434995,15806.310395061,0813,S,0.0,RES 00150000,,20032
75,76,Nps_338,Triangle,NACC,875.0,"Massachusetts Ave., Between 3rd & D Sts., NE",1,,NPS,083,,91.60219933487221,382.516867035459,0000,,0.0,RES 00830000,,20002
76,77,Nps_335,Triangle,NACC,875.0,"Massachusetts Ave., Between 2nd & D Sts., NE",1,,NPS,082,,104.967407307656,410.707750010702,0000,,0.0,RES 00820000,,20002
77,78,Nps_398,Triangle,NACE,840.0,"North Carolina & Pennsylvania Ave. To 5th & C Sts, SE",1,,NPS,042,,160.01480576201402,1225.97474654821,0843,S,0.0,RES 00430000,,20003
