Zip Code,children,elem,mid,high,total
22201,1586,1274,991,536,37545
22202,1093,469,421,371,24913
22203,1157,1029,1158,621,24213
22204,4121,3311,2661,2751,55386
22205,1316,1545,1395,1068,19162
22206,1522,915,690,221,20150
22207,2186,2583,2273,2238,33285
22209,588,278,140,191,12705
22211,0,5,9,178,1185
22213,383,238,146,208,3684
22214,0,0,0,0,0
