,Date,SP return,IYR return
0,2009-08-31,,
1,2010-08-31,0.028129922145999246,0.30492700592459343
2,2011-08-31,0.16158888634644097,0.164881495739009
3,2012-08-31,0.15398431252224187,0.19211870323685679
4,2013-08-30,0.16095069038506898,-0.014880926505958812
5,2014-08-29,0.22682598613443825,0.23894761202783713
6,2015-08-31,-0.01556873721671173,-0.014808799751790136
7,2016-08-31,0.10078689143866584,0.22251664294291634
8,2017-08-31,0.1385107707625822,0.024703034024891813
9,2018-08-31,0.1739203103368965,0.0629954723121302
10,2019-08-30,0.00859547438173461,0.14590735803997795
