,Dir_Name_Display,Dir_School_Code,Dir_Zip,address,location,Performance,Ranking,0 Beds,1 Beds,2 Beds,3 Beds,4 Beds,5 Beds,6 Beds,9 Beds,Detached,End of Row/Townhouse,Penthouse Unit/Flat/Apartment,Row/Townhouse,Twin/Semi-Detached,Unit/Flat/Apartment
0,Lafayette Elementary School,261,20015,"5701 Broad Branch Rd. NW, 20015","(38.9665705, -77.0679997)",5.0,5,,,,,,,,,,,,,,
1,Ross Elementary School,305,20009,"1730 R St. NW, 20009","(38.9123678, -77.0397081267877)",4.75,5,272402.05555555556,430932.0909090909,698360.3534482758,1147510.7142857143,1508111.111111111,1300300.0,2537500.0,,813750.0,1089250.0,904990.9090909091,1125157.5,1490583.1666666667,528619.9095477387
2,Eaton Elementary School,232,20008,"3301 Lowell St. NW, 20008","(38.9327861, -77.0658191)",4.75,5,218883.33333333334,372102.3023255814,665056.3333333334,1406083.3333333333,1502311.8181818181,2125363.1818181816,1550000.0,5500000.0,1926030.9375,1303515.0,305000.0,2645600.0,1133271.4285714286,541192.9615384615
3,Thomson Elementary School,326,20005,"1200 L St. NW, 20005","(38.903656, -77.02824)",4.75,5,,,,,,,,,,,,,,
4,Key Elementary School,272,20016,"5001 Dana Pl. NW, 20016","(38.92686, -77.10063)",4.75,5,222500.0,370665.0,548039.1153846154,1119321.4285714286,1258863.3333333333,1885617.6470588236,3024166.6666666665,,1628633.064516129,1047083.3333333334,410000.0,1035500.0,1209044.4444444445,437257.20454545453
