Zip Code,Area of 10 mins,Area of 30 mins,Area of 60 mins
20001,0.0014817144767675927,0.10995947742526369,0.8324691576126497
20002,0.0026233251746816677,0.11449794355075937,0.8009069364909465
20003,0.003051909103533035,0.16880594082499556,0.9608346216432437
20004,0.002440114521277792,0.13823235066593043,0.9355533828311309
20005,0.0016198100615838484,0.11040932938021797,0.8668768232123512
20006,0.0019322790892601915,0.11827054775790202,0.9130855743921984
20007,0.0011998322024737718,0.08746954216212544,0.8390971420826645
20008,0.0028233486443696165,0.09208837189044061,0.8514567752656603
20009,0.0011827084463220672,0.06740418813501492,0.7428225664518777
20010,0.0011993189500572043,0.04923634246392794,0.68760223609479
20011,0.002554883401671759,0.07141156227339707,0.7401768352233375
20012,0.0031907960883472697,0.10714675124722817,0.8609588640858874
20015,0.0033942034172014246,0.0930269880382184,0.8239672892470935
20016,0.0030086170258982747,0.08533043079501113,0.8142558560530233
20017,0.003169764768017558,0.08911036188669641,0.7331286497574183
20018,0.004604610388696528,0.13288689464116032,0.8338952443355083
20019,0.0034301204311759648,0.13249173860594965,0.8414842080946983
20020,0.0011375536078048754,0.11071158812569593,0.8181182670439284
20024,0.0026998203284165356,0.16059120039017216,0.9683359468233448
20032,0.0028869583622963546,0.15267099291418162,0.8943265822952071
20036,0.0014125115762908536,0.09034904510463093,0.8248894103437578
20037,0.0018992028356024093,0.1212804742337994,0.9303824685161999
