,loc_searched,lat,long,name_only,address_only,pulse_address,num_reviews,loc_type,price,avg_review
487900,"Five Below, 11350 Midlothian Tpke North Chesterfield, VA 23235 ",37.5069361,-77.6057949,Five Below,"11350 Midlothian Turnpike, Richmond, VA 23235","G94V+QM Richmond, Virginia",448,Variety store,$,4.4
488348,-77.6057949,,,,,,,,,
488351,"Five Below, 1293 Carmia Way North Chesterfield, VA 23235 ",37.5069361,-77.6057949,Five Below,"11350 Midlothian Turnpike, Richmond, VA 23235","G94V+QM Richmond, Virginia",451,Variety store,$,4.4
488359,"Five Below, 13036 Lee Jackson Memorial Hwy Fairfax, VA 22033 ",38.8800046,-77.3999479,Five Below,"13036 Lee Jackson Memorial Hwy, Chantilly, VA 22033","VJJ2+22 Chantilly, Sully, VA",130,Variety store,$,4.4
488489,"Five Below, 14501 Hancock Village St Chesterfield, VA 23832 ",37.4008712,-77.6758861,Five Below,"14623 Hancock Village St, Chesterfield, VA 23832","C82F+8J Chesterfield, Dale, VA",318,Variety store,$,4.5
488507,"Five Below, 14623 Hancock Village St Chesterfield, VA 23832 ",37.4008712,-77.6758861,Five Below,"14623 Hancock Village St, Chesterfield, VA 23832","C82F+8J Chesterfield, Dale, VA",318,Variety store,$,4.5
488833,"Five Below, 4501 S Laburnum Ave Ste 585 Henrico, VA 23231 ",37.5269511,-77.3531841,Five Below,"4501 S Laburnum Ave # 585, Richmond, VA 23231","GJGW+QP Richmond, Virginia",447,Variety store,$,4.5
489280,"Five Below, 530 Fort Evans Rd Leesburg, VA 20176 ",39.107829,-77.528281,Five Below,"530 Fort Evans Rd NE B, Leesburg, VA 20176","4F5C+4M Leesburg, Virginia",135,Variety store,$,4.3
489415,"Five Below, 530 Fort Evans Rd Ste 530-B Leesburg, VA 20176 ",39.107829,-77.528281,Five Below,"530 Fort Evans Rd NE B, Leesburg, VA 20176","4F5C+4M Leesburg, Virginia",135,Variety store,$,4.3
489550,"Five Below, 6198 Little River Tpke Alexandria, VA 22312 ",38.8194906,-77.1410086,Five Below,"6198 Little River Turnpike, Alexandria, VA 22312","RV95+QH Alexandria, Mason, VA",231,Variety store,$,4.3
489781,"Five Below, 6551 Springfield Mall Springfield, VA 22150 ",38.7754752,-77.1743916,Five Below,"6551 Springfield Mall, Springfield, VA 22150","QRGG+56 Springfield, Lee, VA",207,Variety store,$,4.3
489855,"Five Below, 7678 Richmond Hwy Alexandria, VA 22306 ",38.7509527,-77.086989,Five Below,"7678 Richmond Hwy, Alexandria, VA 22306","QW27+96 Alexandria, Mason, VA",190,Variety store,$,4.4
489935,"Five Below, 9650 Main St Fairfax, VA 22031 ",38.8443701,-77.2755284,Five Below,"9650-48 Main St, Fairfax, VA 22031","RPVF+PQ Fairfax, Virginia",126,Variety store,$,4.3
489987,"Five Below, 9921 Brook Rd Glen Allen, VA 23059 ",37.6696154,-77.4600708,,,,,,,
489995,"Five Below, 9921 Brook Rd Glen Allen, VA 23059 ",37.6696154,-77.4600708,Five Below,"9921 Brook Rd, Glen Allen, VA 23059","MG9Q+RX Glen Allen, Virginia",442,Variety store,$,4.2
490437,"Five Guys Burgers & Fries, 1071 Virginia Center Pkwy Glen Allen, VA 23059 ",37.6652875,-77.4594769,Five Guys,"1071 Virginia Center Pkwy, Glen Allen, VA 23059","MG8R+46 Glen Allen, Virginia",582,American restaurant,$$,4.4
490475,"Five Guys Burgers & Fries, 1083 Edwards Ferry Rd NE Leesburg, VA 20176 ",39.1134657,-77.5328137,Five Guys,"1083 Edwards Ferry Rd NE, Leesburg, VA 20176","4F78+9V Leesburg, Virginia",416,American restaurant,$$,4.6
490675,"10841 W Broad St, Glen Allen, VA 23233","JCW8+4Q Glen Allen, Virginia",404,American restaurant,$$,4.5,,,,
490683,"Five Guys Burgers & Fries, 10841 W Broad St Henrico, VA 23233 ",37.645308,-77.583113,Five Guys,"10841 W Broad St, Glen Allen, VA 23233","JCW8+4Q Glen Allen, Virginia",404,American restaurant,$$,4.5
490876,"Five Guys Burgers & Fries, 11500 Midlothian Tpke North Chesterfield, VA 23235 ",37.5071751,-77.6080443,Five Guys,"11500 Midlothian Turnpike, Richmond, VA 23235","G94R+VQ Richmond, Virginia",347,American restaurant,$$,4.3
490884,"Five Guys Burgers & Fries, 12413 Tennessee Plz Midlothian, VA 23112 ",37.428018,-77.625487,,,,,American restaurant,$$,
490902,"Five Guys Burgers & Fries, 12413 Tennessee Plz Midlothian, VA 23112 ",37.428018,-77.625487,Five Guys,"12413 Tennessee Plaza, Midlothian, VA 23112","C9HF+6R Midlothian, VA",404,American restaurant,$$,4.5
491116,"Five Guys Burgers & Fries, 12421 Chattanooga Plz Midlothian, VA 23112 ",37.428018,-77.625487,Five Guys,"12413 Tennessee Plaza, Midlothian, VA 23112","C9HF+6R Midlothian, VA",405,Fast food restaurant,$$,4.5
491124,"Five Guys Burgers & Fries, 15523 Wc Commons Way Midlothian, VA 23113 ",37.513311,-77.693939,,,,,,,
491132,"Five Guys Burgers & Fries, 15523 Wc Commons Way Midlothian, VA 23113 ",37.513311,-77.693939,Five Guys,"15523 WC Commons Way, Midlothian, VA 23113","G874+8C Midlothian, VA",303,American restaurant,$$,4.3
491150,"Five Guys Burgers & Fries, 1601 Willow Lawn Dr Richmond, VA 23230 ",37.581806,-77.495821,,,,,,,
491158,"Five Guys Burgers & Fries, 1601 Willow Lawn Dr Richmond, VA 23230 ",37.581806,-77.495821,Five Guys,"1601 Willow Lawn Dr, Richmond, VA 23230","HGJ3+PM Richmond, Virginia",568,American restaurant,$$,4.4
491415,"Five Guys Burgers & Fries, 2960 Gallows Rd Falls Church, VA 22042 ",38.8669857,-77.2268099,Five Guys,"8130 Arlington Blvd, Falls Church, VA 22042","VQ8F+Q7 Falls Church, Virginia",371,Fast food restaurant,$$,4.4
491597,"Five Guys Burgers & Fries, 3541 S Jefferson St Falls Church, VA 22041 ",38.8468405,-77.1176539,Five Guys,"3541 S Jefferson St, Falls Church, VA 22041","RVWJ+PW Falls Church, Virginia",350,American restaurant,$$,4.4
491761,"Five Guys Burgers & Fries, 38 Joshua M Freeman Blvd Ste 107 Ranson, WV 25438 ",39.319463,-77.851688,Five Guys,"38 Joshua M. Freeman Blvd, Ranson, WV 25438","849X+Q8 Ranson, Charles Town, WV",511,Fast food restaurant,$$,4.5
492006,"Five Guys Burgers & Fries, 4450 S Laburnum Ave Henrico, VA 23231 ",37.5276054,-77.3572365,,,"GJHV+24 Richmond, Virginia",555,American restaurant,$$,4.4
492014,"Five Guys Burgers & Fries, 4925 W Broad St Ste 407 Richmond, VA 23230 ",37.5503179,-77.4502922,,,,354,Fast food restaurant,$$,4.3
492022,"Five Guys Burgers & Fries, 4925 W Broad St Ste 407 Richmond, VA 23230 ",37.5503179,-77.4502922,Five Guys,"931 W Broad St, Richmond, VA 23220","HG2X+4V Richmond, Virginia",353,Fast food restaurant,$$,4.3
492030,"Five Guys Burgers & Fries, 6134 Arlington Blvd Falls Church, VA 22044 ",38.8687664,-77.1454082,Five Guys,"6134 Arlington Blvd, Falls Church, VA 22044","VV93+GR Falls Church, Virginia",311,American restaurant,$$,4.3
492166,"Five Guys Burgers & Fries, 7037b Forest Hill Ave Richmond, VA 23225 ",,,,,,,,,
492167,"Five Guys Burgers & Fries, 7037b Forest Hill Ave Richmond, VA 23225 ",37.5276054,-77.3572365,Five Guys,"4450 S Laburnum Ave, Richmond, VA 23231","GJHV+24 Richmond, Virginia",551,Fast food restaurant,$$,4.4
492454,"Five Guys Burgers & Fries, 7037 Forest Hill Ave Richmond, VA 23225 ",37.581806,-77.495821,Five Guys,"1601 Willow Lawn Dr, Richmond, VA 23230","HGJ3+PM Richmond, Virginia",568,Fast food restaurant,$$,4.4
492711,"Five Guys Burgers & Fries, 7044 Woodlake Commons Loop Midlothian, VA 23112 ",37.428018,-77.625487,Five Guys,"12413 Tennessee Plaza, Midlothian, VA 23112","C9HF+6R Midlothian, VA",405,Fast food restaurant,$$,4.5
492729,"Five Guys Burgers & Fries, 8130 Arlington Blvd Falls Church, VA 22042 ",38.8669857,-77.2268099,Five Guys,"8130 Arlington Blvd, Falls Church, VA 22042","VQ8F+Q7 Falls Church, Virginia",371,American restaurant,$$,4.4
492911,"Five Guys Burgers & Fries, 931 W Broad St Richmond, VA 23220 ",37.5503179,-77.4502922,Five Guys,"931 W Broad St, Richmond, VA 23220","HG2X+4V Richmond, Virginia",354,American restaurant,$$,4.3
493064,"Five star beauty salon, 7477 Midlothian Tpke North Chesterfield, VA 23225 ",37.4997084,-77.5341928,Five star beauty salon,"7477 Midlothian Turnpike, Richmond, VA 23225","FFX8+V8 Richmond, Virginia",,Hair salon,,
493065,"Five Star Lash, 9201 Jefferson Davis Hwy North Chesterfield, VA 23237 ",37.3993085,-77.4298268,Five Star Lash,"9201 Jefferson Davis Hwy, North Chesterfield, VA 23237","9HXC+P3 Bellwood, Bermuda, VA",,,,
493066,"Five Star Living, 8995 Becton Rd Glen Allen, VA 23060 ",37.64978,-77.5369364,"Five Star Living, LLC","8995 Becton Rd, Glen Allen, VA 23060","JFX7+W6 Cross Ridge, Brookland, VA",2,Group home,,5
493067,"9G2C+F5 Chester, Bermuda, VA",,,,4.1,,,,,
493068,"Five Star Nail Tan & Spa, 12296 Chattanooga Plz Midlothian, VA 23112 ",37.4308365,-77.6237632,Five Stars Nails Midlothian,"12296 Chattanooga Plaza, Midlothian, VA 23112","C9JG+8F Midlothian, VA",62,Nail salon,,4.4
493130,"Five Stars, 6787 Wilson Blvd Falls Church, VA 22044 ",38.8735135,-77.1551105,Five Stars,"6787 Wilson Blvd, Falls Church, VA 22044","VRFV+CX Falls Church, Virginia",,American restaurant,,
493131,"Flame Kabob, 1601 Village Market Blvd SE Ste 108 Leesburg, VA 20175 ",39.0902439,-77.5262697,Flame Kabob,"1601 Village Market Blvd SE # 108, Leesburg, VA 20175","3FRF+3F Leesburg, Virginia",154,Middle Eastern restaurant,$,4.2
493227,"Flame Kabob, 6328 Springfield Plz Springfield, VA 22150 ",38.7820789,-77.186933,Flame Kabob,"6328 Springfield Blvd, Springfield, VA 22150","QRJ7+R6 Springfield, Lee, VA",257,Afghani restaurant,$,4.1
493388,"Flame 'N Grill, 6920 Braddock Rd Annandale, VA 22003 ",38.8128912,-77.184106,Pho Cong Ly Noodle & Grill,"6920-I Bradlick Shopping Center, Annandale, VA 22003","RR78+59 Annandale, Virginia",119,Vietnamese restaurant,$$,3.9
493460,"Flamingo's Lounge, 7920 Jones Branch Dr Mc Lean, VA 22102 ",38.9264629,-77.2159952,7920 Jones Branch Dr,,,,,,
493461,"WQ7M+39 Tysons, Providence, VA",,,,5,,,,,
493462,"Flat Bread Station, 201 Harrison St SE Leesburg, VA 20175 ",39.1128994,-77.5628903,201 Harrison St SE,,,,,,
493463,"Flats West Broad Village, 3930 Wild Life Trl Richmond, VA 23238 ",37.6474446,-77.6033661,,,,,,,
493512,"Flats West Broad Village, 3930 Wild Life Trl Richmond, VA 23238 ",37.6474446,-77.6033661,The Flats at West Broad Village,"3930 Wild Goose Ln, Glen Allen, VA 23060","J9WW+XM Glen Allen, Virginia",46,Apartment building,,3.4
493547,"RWFX+PP Alexandria, Mason, VA",,,,4,,,,,
493548,"Flavor Pastry, 3821 S George Mason Dr Falls Church, VA 22041 ",38.840889,-77.120077,Flavor Pastry,"3821 C S George Mason Dr, Falls Church, VA 22041","RVRH+9X Falls Church, Virginia",37,Wedding bakery,,4.1
493568,"Flavors, 3420 Carlyn Hill Dr Falls Church, VA 22041 ",38.8531212,-77.1247484,,"3420 Carlyn Hill Dr, Falls Church, VA 22041","VV3G+64 Falls Church, Virginia",161,Pizza delivery,,4.1
493663,"Flawless Salon and Spa, 10101 Brook Rd Ste 792 Glen Allen, VA 23059 ",37.6758074,-77.4551383,10101 Brook Rd #792,,,,,,
493664,"Fleet Feet Sports Richmond, 5600 Patterson Ave Richmond, VA 23226 ",37.578089,-77.5121078,Fleet Feet Richmond,"5600 Patterson Ave, Richmond, VA 23226","HFHQ+65 Richmond, Virginia",270,Running store,,4.9
493829,"Fleet Feet Sports, 11651 W Broad St Henrico, VA 23233 ",37.6520742,-77.6184119,Fleet Feet Richmond,"11651 W Broad St, Henrico, VA 23233","M92J+RJ Henrico, Three Chopt, VA",176,Sporting goods store,,4.9
493837,"Fleetwood Farm Winery, 23075 Evergreen Mills Rd Leesburg, VA 20175 ",38.9888907,-77.5623139,Fleetwood Farm Winery,"23075 Evergreen Mills Rd, Leesburg, VA 20175","XCQQ+H3 Leesburg, Virginia",95,Winery,,4.1
493932,"Fleming's Prime Steakhouse, 1960 Chain Bridge Rd Mc Lean, VA 22102 ",38.9202674,-77.2270883,Fleming's Prime Steakhouse & Wine Bar,"1960-A, Chain Bridge Rd, McLean, VA 22102","WQCF+45 McLean, Dranesville, VA",431,Fine dining restaurant,$$$$,4.4
494185,"Fleming's Prime Steakhouse, 9200 Stony Point Pkwy Ste 131 Richmond, VA 23235 ",37.5500155,-77.5707247,Fleming's Prime Steakhouse & Wine Bar,"9200 Stony Point Pkwy Suite 131, Richmond, VA 23235","HC2H+2P Richmond, Virginia",370,Steak house,$$$$,4.4
494555,"Flinn's Restaurant, 403 N Ridge Rd Henrico, VA 23229 ",37.5811233,-77.5546636,Kuba Kuba Dos,"403 N Ridge Rd, Henrico, VA 23229","HCJW+C4 Henrico, Three Chopt, VA",447,Cuban restaurant,$$,4.4
494802,"Flip Flop Shops, 11800 W Broad St Ste 2064 Henrico, VA 23233 ",37.638615,-77.5533241,,,,,,,
494810,"Flippin Pizza, 100 Gordon Rd Falls Church, VA 22046 ",38.888521,-77.180499,Flippin?€? Pizza - Falls Church,"800 W Broad St #103, Falls Church, VA 22046","VRQ9+CR Falls Church, Virginia",157,Pizza restaurant,$,4
494967,"Flippin Pizza, 800 W Broad St Ste 103 Falls Church, VA 22046 ",38.888521,-77.180499,Flippin?€? Pizza - Falls Church,"800 W Broad St #103, Falls Church, VA 22046","VRQ9+CR Falls Church, Virginia",157,Pizza restaurant,$,4
495124,"Flirt, 3407 W Cary St Richmond, VA 23221 ",37.5544624,-77.485011,Flirt,"3407 W Cary St, Richmond, VA 23221","HG37+QX Richmond, Virginia",76,Beauty salon,,4.6
495200,"Flora As In Plants, 203 N Lombardy St Richmond, VA 23220 ",37.5500418,-77.4590152,Poor Boys of Richmond,"203 N Lombardy St, Richmond, VA 23220","HG2R+29 Richmond, Virginia",97,Restaurant,,4.1
495265,"Floris Beauty Salon, 114 W Broad St Falls Church, VA 22046 ",38.8826754,-77.1714837,Floris Beauty Salon,"114F W Broad St, Falls Church, VA 22046","VRMH+3C Falls Church, Virginia",18,Beauty salon,,4.7
495283,"Flower Child, 1656 Mount Pleasant Dr Mc Lean, VA 22101 ",38.9182102,-77.1782964,1656 Mt Pleasant Dr,,,,,,
495284,"Flower Market, 1100 N Boulevard Richmond, VA 23230 ",37.5651959,-77.4692076,,,,,,,
495302,"Flower Market, 1100 N Boulevard Richmond, VA 23230 ",37.5651959,-77.4692076,Vogue Flowers,"1114 N Arthur Ashe Blvd, Richmond, VA 23230","HG8J+38 Richmond, Virginia",104,Florist,,4
495394,"Flowers Make Scents, 1272 Alverser Plz Midlothian, VA 23113 ",37.5094412,-77.6160901,,,,,Florist,,
495412,"Flowers Make Scents, 1272 Alverser Plz Midlothian, VA 23113 ",37.5094412,-77.6160901,Flowers Make Scents,"1272 Alverser Plaza, Midlothian, VA 23113","G95M+QH Midlothian, VA",52,Florist,,3.9
495459,"Fly Chic Sterling Silver, Web-based Business Glen Allen, VA 23060 ",37.5969346,-77.4963966,"On The Fly Moving Guys, LLC",,,102,Mover,,5
495561,"Flying Dragon, 5314 Chamberlayne Rd Richmond, VA 23227 ",37.604547,-77.450879,Flying Dragon,"5314 Chamberlayne Rd #2958, Richmond, VA 23227","JG3X+RJ Richmond, Virginia",118,Chinese restaurant,$$,3.6
495632,"Flying Fish Restaurant, 815 King St Alexandria, VA 22314 ",38.9022607,-77.0377879,,,,,,,
495640,"Flyin' Pig, 13560 Waterford Pl Midlothian, VA 23112 ",37.4517139,-77.6483194,Flyin' Pig,"13560 Waterford Pl, Midlothian, VA 23112","F922+MM Midlothian, VA",670,Barbecue restaurant,$$,4.4
496046,"Flynn's Foods Inc, 8098 Shady Grove Rd Mechanicsville, VA 23111 ",37.621243,-77.370744,Flynn's Foods Inc,"8098 Shady Grove Rd, Mechanicsville, VA 23111","JJCH+FP Mechanicsville, Virginia",,Food processing company,,
496047,"Focaccia Italian Grill, 15 Crow St Berryville, VA 22611 ",39.1504953,-77.9828098,Neighborhood Italian Kitchen,"15 Crow St, Berryville, VA 22611","5228+5V Berryville, Virginia",88,Italian restaurant,$$,4.2
496104,"FO Fitness, 4819 Eisenhower Ave Alexandria, VA 22304 ",38.8039263,-77.1172708,FO Fitness,"4819 Eisenhower Ave A, Alexandria, VA 22304","RV3M+H3 Alexandria, Mason, VA",,Fitness center,,
496105,"Fogo de Ch??o Brazilian Steakhouse, 1775 Tysons Blvd Ste 50 Mc Lean, VA 22102 ",38.923841,-77.221587,Fogo de Ch??o Brazilian Steakhouse,"1775 Tysons Blvd Suite 50, Tysons, VA 22102","WQFH+G9 Tysons, Providence, VA","1,836",Brazilian restaurant,$$$,4.5
496963,"Follett College Stores, 13101 Jefferson Davis Hwy Chester, VA 23831 ",37.3477866,-77.4067336,John Tyler Chester Campus Bookstore,"13101 Jefferson Davis Hwy, Chester, VA 23831","8HXV+48 Chester, Bermuda, VA",34,Book store,,4.2
496997,"Follett, 700 E Jackson St Richmond, VA 23219 ",37.5458721,-77.4312173,700 E Jackson St,,,,,,
496998,"Fontina, 20605 Charles Town Rd Harpers Ferry, WV 25425 ",39.2612827,-77.7677823,20605 Charles Town Rd,,,,,,
496999,"GHRX+VG Richmond, Virginia",,,,1.6,,,,,
497000,"Food Express, 100 Westgate Pkwy Henrico, VA 23233 ",37.6500696,-77.620929,100 Westgate Pkwy,,,,,,
497001,"Food Fair Supermarket, 6019 Leesburg Pike Falls Church, VA 22041 ",38.8551127,-77.1389563,Culmore Supermarket,"6019 Leesburg Pike, Falls Church, VA 22041","VV46+2C Falls Church, Virginia",72,Grocery store,,4.5
497015,"Food Investors Corporation, 22006 James Monroe Hwy Aldie, VA 20105 ",39.011265,-77.609841,Food Investors Corporation,"22006 James Monroe Hwy, Aldie, VA 20105","296R+G3 Watson, Dulles, VA",,Investment service,,
497016,"Food Lion, 11130 Hull Street Rd Midlothian, VA 23112 ",37.4391094,-77.600821,Food Lion,"11130 Hull Street Rd, Midlothian, VA 23112","C9QX+JM Midlothian, VA",240,Grocery store,$$,4.3
497256,"Food Lion, 11272 Patterson Ave Henrico, VA 23238 ",37.5987183,-77.6221842,Food Lion,"11272 Patterson Ave, Richmond, VA 23238","H9XH+F4 Richmond, Virginia",161,Grocery store,$$,4.3
497417,"Food Lion, 11371 Nuckols Rd Glen Allen, VA 23059 ",37.6818239,-77.5912088,Food Lion,"11371 Nuckols Rd, Glen Allen, VA 23059","MCJ5+PG Glen Allen, Virginia",217,Grocery store,$$,4.3
497634,"Food Lion, 12120 Bermuda Crossroad Ln Chester, VA 23831 ",37.3602061,-77.4179286,Food Lion,"12120 Bermuda Crossroad Ln, Chester, VA 23831","9H6J+3R Chester, Bermuda, VA",479,Grocery store,$$,4.1
498113,"Food Lion, 1228 Concord Ave Henrico, VA 23228 ",37.6369619,-77.4624269,Food Lion,"1228 Concord Ave, Richmond, VA 23227","JGPQ+Q2 Richmond, Virginia",429,Grocery store,$$,4.3
498542,"Food Lion, 13530 Waterford Pl Midlothian, VA 23112 ",37.4511517,-77.6475397,Food Lion,"13530 Waterford Pl, Midlothian, VA 23112","F922+FX Midlothian, VA",199,Grocery store,$$,4.3
498741,"Food Lion, 13961 Hull Street Rd Midlothian, VA 23112 ",37.4024296,-77.6628631,Food Lion,"13961 Hull Street Rd, Midlothian, VA 23112","C82P+XV Midlothian, VA",271,Grocery store,$$,4.4
499012,"Food Lion, 1800 Southcreek One Powhatan, VA 23139 ",37.5163085,-77.7904022,Food Lion,"1800 S Creek One, Powhatan, VA 23139","G685+GR Powhatan, 4, VA",251,Grocery store,$$,4.3
499263,"Food Lion, 2599 New Market Rd Henrico, VA 23231 ",37.4429168,-77.3532091,Food Lion,"2599 New Market Rd, Richmond, VA 23231","CJVW+5P Richmond, Virginia",228,Grocery store,$$,4.3
499491,"Food Lion, 2949 Williamsburg Rd Henrico, VA 23231 ",37.5168227,-77.3757389,Food Lion,"2949 Williamsburg Rd, Richmond, VA 23231","GJ8F+PP Richmond, Virginia",643,Grocery store,$$,4.1
500134,"Food Lion, 3081 Lauderdale Dr Henrico, VA 23233 ",37.6377394,-77.631948,Food Lion,"3081 Lauderdale Dr, Richmond, VA 23233","J9Q9+36 Richmond, Virginia",207,Grocery store,$$,4.2
500341,"Food Lion, 3089 Mechanicsville Tpke Richmond, VA 23223 ",37.56795,-77.3999771,Food Lion,"3089 Mechanicsville Turnpike, Richmond, VA 23223","HJ92+52 Richmond, Virginia",793,Grocery store,$$,4.1
501134,"Food Lion, 30 Broad Street Rd Manakin Sabot, VA 23103 ",37.6713421,-77.6809895,Food Lion,"30 Broadstreet Rd, Manakin-Sabot, VA 23103","M8C9+GJ Manakin-Sabot, 5, VA",127,Grocery store,$$,4.2
501261,"Food Lion, 4116 Meadowdale Blvd North Chesterfield, VA 23234 ",37.4390383,-77.4712998,Food Lion,"4116 Meadowdale Blvd, Richmond, VA 23234","CGQH+JF Richmond, Virginia",320,Grocery store,$$,4.2
501580,"Food Lion, 5300 Chamberlayne Rd Richmond, VA 23227 ",37.6045656,-77.4525136,Food Lion,"5300 Chamberlayne Rd, Richmond, VA 23227","JG3W+RX Richmond, Virginia",410,Grocery store,$$,4.3
501990,"Food Lion, 5430 W Broad St Richmond, VA 23230 ",37.6918317,-77.4374198,Food Lion,"9541 Kings Charter Dr, Ashland, VA 23005","MHR7+P2 Ashland, VA",122,Grocery store,$$,4.3
502112,"Food Lion, 5702 Jefferson Davis Hwy North Chesterfield, VA 23234 ",37.4450496,-77.4428932,Food Lion,"5702 Jefferson Davis Hwy, North Chesterfield, VA 23234","CHW4+2R North Chesterfield, Richmond, VA",635,Grocery store,$$,4.1
502747,"Food Lion, 6009 Nine Mile Rd Richmond, VA 23223 ",37.5499424,-77.342332,Food Lion,"6009 Nine Mile Rd, Richmond, VA 23223","GMX5+X3 Richmond, Virginia",246,Grocery store,$$,4
502993,"Food Lion, 6201 Belmont Rd Chesterfield, VA 23832 ",37.4532108,-77.5120586,Food Lion,"6201 Belmont Rd, Chesterfield, VA 23832","FF3Q+75 Chesterfield, Dale, VA",368,Grocery store,$$,4.1
503361,"Food Lion, 6425 Iron Bridge Pl North Chesterfield, VA 23234 ",37.4270076,-77.4914914,Food Lion,"6425 Iron Bridge Pl, Richmond, VA 23234","CGG5+RC Richmond, Virginia",314,Grocery store,$$,4.2
503675,"Food Lion, 7032 Commons Plz Chesterfield, VA 23832 ",37.3741432,-77.5105458,Food Lion,"7032 Commons Plaza Dr, Chesterfield, VA 23832","9FFQ+MQ Chesterfield, Dale, VA",389,Grocery store,$$,4.3
504064,"Food Lion, 7095 Mechanicsville Tpke Mechanicsville, VA 23111 ",37.6103075,-77.3416343,Food Lion,"7095 Mechanicsville Turnpike, Mechanicsville, VA 23111","JM65+48 Mechanicsville, Virginia",182,Grocery store,$$,4.2
504246,"Food Lion, 7504 W Broad St Henrico, VA 23294 ",37.6189484,-77.5221404,Food Lion,"7504 W Broad St, Henrico, VA 23294","JF9H+H4 Henrico, Three Chopt, VA",315,Grocery store,$$,4.3
504561,"Food Lion, 7804 W Broad St Henrico, VA 23294 ",37.6189484,-77.5221404,Food Lion,"7504 W Broad St, Henrico, VA 23294","JF9H+H4 Henrico, Three Chopt, VA",315,Grocery store,$$,4.3
504876,"Food Lion, 8006 Buford Cmns North Chesterfield, VA 23235 ",37.5013232,-77.5444651,Food Lion,"8006 Buford Ct, Richmond, VA 23235","GF24+G6 Richmond, Virginia",470,Grocery store,$$,4.3
505347,"Food Lion, 8201 Hull Street Rd North Chesterfield, VA 23235 ",37.4597431,-77.5427055,Food Lion,"8201 Hull Street Rd, Richmond, VA 23235","FF54+VW Richmond, Virginia",231,Grocery store,$$,4.3
505578,"Food Lion, 8319 Bell Creek Rd Mechanicsville, VA 23116 ",37.6361432,-77.3578748,Food Lion,"8319 Bell Creek Rd, Mechanicsville, VA 23116","JJPR+FV Mechanicsville, Virginia",285,Grocery store,$$,4.4
505863,"Food Lion, 9035 W Broad St Henrico, VA 23294 ",37.6189484,-77.5221404,Food Lion,"7504 W Broad St, Henrico, VA 23294","JF9H+H4 Henrico, Three Chopt, VA",315,Grocery store,$$,4.3
506178,"Food Lion, 9502 Chamberlayne Rd Mechanicsville, VA 23116 ",37.6585072,-77.3843881,Food Lion,"9502 Chamberlayne Rd, Mechanicsville, VA 23116","MJ58+C6 Mechanicsville, Virginia",111,Grocery store,$$,4.3
506289,"Food Lion, 9541 Kings Charter Dr Ashland, VA 23005 ",37.6918317,-77.4374198,Food Lion,"9541 Kings Charter Dr, Ashland, VA 23005","MHR7+P2 Ashland, VA",122,Grocery store,$$,4.3
506411,"Food Lion, 96 Somerset Blvd Charles Town, WV 25414 ",39.2964281,-77.8290475,Food Lion,"96 Somerset Blvd, Charles Town, WV 25414","75WC+H9 Charles Town, WV",309,Grocery store,$$,4.3
506545,"Food Lion, 9801 Chester Rd Chester, VA 23831 ",37.3845455,-77.4505046,Food Lion,"9801 Chester Rd, Chester, VA 23831","9GMX+RQ Chester, Bermuda, VA",398,Grocery store,$$,4.2
506943,"Food Map Inc, 2450 Crystal Dr Arlington, VA 22202 ",38.8529769,-77.0502037,Buffalo Wild Wings,"2450 Crystal Dr, Arlington, VA 22202","VW3X+5W Arlington, Mason, VA","1,011",Chicken wings restaurant,$$,3.3
506961,"Foo Dog, 1537 W Main St Richmond, VA 23220 ",37.5473137,-77.4608837,Foo Dog,"1537 W Main St, Richmond, VA 23220","GGWQ+WJ Richmond, Virginia",623,Restaurant,$,4.6
507584,"Food Star Supermarket, 950 S George Mason Dr Arlington, VA 22204 ",38.8365427,-77.0623762,Food Star,"206 W Glebe Rd, Alexandria, VA 22305","RWPQ+J2 Alexandria, Mason, VA",352,Supermarket,,4.2
507724,"Foodway Inc, 206 W Glebe Rd Alexandria, VA 22305 ",38.8365427,-77.0623762,Food Star,"206 W Glebe Rd, Alexandria, VA 22305","RWPQ+J2 Alexandria, Mason, VA",352,Supermarket,,4.2
507864,"Footaction USA, 10101 Brook Rd Glen Allen, VA 23059 ",,,,,,,,,
507865,"Foot Locker, 10101 Brook Rd Ste 320 Glen Allen, VA 23059 ",37.6758074,-77.4551383,Foot Locker,"10101 Brook Rd space 320, Glen Allen, VA 23059","MGGV+8W Glen Allen, Virginia",33,Sportswear store,$$,3.4
507873,"Foot Locker, 11714l Fair Oaks Mall Fairfax, VA 22033 ",38.8629218,-77.3574541,Foot Locker,"11714 L Fair Oaks, Fairfax, VA 22033","VJ7V+52 Fairfax, Virginia",45,Sportswear store,$$,3.9
507893,"Foot Locker, 1404 N Parham Rd Ste R29 Henrico, VA 23229 ",37.6011551,-77.5666154,,,,,Sportswear store,$$,3.9
507901,"Foot Locker, 1501 Edwards Ferry Rd NE Leesburg, VA 20176 ",39.111257,-77.529392,1501 Edwards Ferry Rd NE,,"4F6C+G6 Leesburg, Virginia",,,,
507902,"Foot Locker, 21100 Dulles Town Cir Ste 276 Sterling, VA 20166 ",39.0318381,-77.4230867,Foot Locker,"21100 Dulles Town Cir Ste 276, Dulles, VA 20166","2HJG+PQ Dulles, VA",35,Sportswear store,$$,4.3
