name,loc_type,street,City,State,Zip
Safeway,Supermarkets & Super Stores,9525 Braddock Rd,Fairfax,VA,22032
Costco,Supermarkets & Super Stores,7373 Boston Blvd,Springfield,VA,22153
Amity Grocery,Supermarkets & Super Stores,10372 Fairfax Blvd,Fairfax,VA,22030
Safeway,Supermarkets & Super Stores,10350 Willard Way,Fairfax,VA,22030
Smart Markets Oakton Farmers Market,Supermarkets & Super Stores,2854 Hunter Mill Rd,Oakton,VA,22124
Americana Grocery,Supermarkets & Super Stores,10897 Main St,Fairfax,VA,22030
Amity,Supermarkets & Super Stores,11212 Lee Hwy,Fairfax,VA,22030
Costco,Supermarkets & Super Stores,4725 W Ox Rd,Fairfax,VA,22030
Stop & Shop,Supermarkets & Super Stores,2501 9th Rd S,Arlington,VA,22204
Giant Food,Supermarkets & Super Stores,2501 9th Rd S,Arlington,VA,22204
Glebe Market,Supermarkets & Super Stores,300 N Glebe Rd,Arlington,VA,22203
Food Star Supermarket,Supermarkets & Super Stores,950 S George Mason Dr,Arlington,VA,22204
Arlington Mercado Latino,Supermarkets & Super Stores,4807 Columbia Pike,Arlington,VA,22204
Asian Grocery Market,Supermarkets & Super Stores,4809 Columbia Pike,Arlington,VA,22204
Giant Pharmacy,Supermarkets & Super Stores,2501 9th Rd S,Arlington,VA,22204
Le Deta Market,Supermarkets & Super Stores,2630 Columbia Pike,Arlington,VA,22204
Giant Food,Supermarkets & Super Stores,2501 9th St N,Arlington,VA,22201
Giant Food,Supermarkets & Super Stores,3450 Washington Blvd,Arlington,VA,22201
Arlington Market Kegs,Supermarkets & Super Stores,1144 N Stuart St,Arlington,VA,22201
Whole Foods Market,Supermarkets & Super Stores,2700 Wilson Blvd,Arlington,VA,22201
Sultana Mohammed,Supermarkets & Super Stores,5515 Wilson Blvd,Arlington,VA,22205
Philippine Oriental Market,Supermarkets & Super Stores,3610 Lee Hwy,Arlington,VA,22207
Giant Food,Supermarkets & Super Stores,2901 S Glebe Rd,Arlington,VA,22206
Aphrodite Greek Imports,Supermarkets & Super Stores,5886 Leesburg Pike,Falls Church,VA,
Giant Food,Supermarkets & Super Stores,3480 S Jefferson St,Falls Church,VA,
Pho Supplies Inc,Supermarkets & Super Stores,3435 Spring Ln,Falls Church,VA,
Skyline Movers,Supermarkets & Super Stores,3705 S George Mason Dr Ste C5s,Falls Church,VA,
Aldi,Supermarkets & Super Stores,5725 Columbia Pike,Falls Church,VA,
Al Amanah Market,Supermarkets & Super Stores,3811 S George Mason Dr,Falls Church,VA,
Abay Market,Supermarkets & Super Stores,3811 S George Mason Dr,Falls Church,VA,
Al-Amal Market,Supermarkets & Super Stores,3817 S George Mason Dr,Falls Church,VA,
Tenadam International Market,Supermarkets & Super Stores,3817 S George Mason Dr,Falls Church,VA,
Saj Family Market,Supermarkets & Super Stores,5820 Seminary Rd,Falls Church,VA,
Said A Sirag,Supermarkets & Super Stores,3819 S George Mason Dr,Falls Church,VA,
Shoppers Food & Pharmacy,Supermarkets & Super Stores,5799 Leesburg Pike,Falls Church ,VA,
Duangrat Oriental Food Mart,Supermarkets & Super Stores,5888 Leesburg Pike,Falls Church,VA,
San Migul Market,Supermarkets & Super Stores,5900 Leesburg Pike,Falls Church,VA,
City Market,Supermarkets & Super Stores,2250 Clarendon Blvd,Arlington,VA,22201
Giant Food,Supermarkets & Super Stores,3115 Lee Hwy,Arlington,VA,22201
Whole Foods Market,Supermarkets & Super Stores,520 12th St S,Arlington,VA,22202
Gate Ways Suntries,Supermarkets & Super Stores,1235 Jefferson Davis Hwy,Arlington,VA,22202
Gallery Market & Cafe,Supermarkets & Super Stores,1800 N Oak St,Arlington,VA,22209
One Stop,Supermarkets & Super Stores,4505 Lee Hwy,Arlington,VA,22207
