,latitude,longitude
215,-77.069199,38.922997
216,-77.069138,38.922066
217,-77.069183,38.920216
218,-77.070114,38.920094
219,-77.069168,38.920044
220,-77.069084,38.919086
221,-77.069,38.920036
222,-77.067169,38.920036
223,-77.067085,38.919083
224,-77.067001,38.920036
225,-77.065056,38.92009
226,-77.065041,38.923069
227,-77.06797,38.923237
228,-77.06797,38.925003
229,-77.063087,38.925072
230,-77.062981,38.92601
231,-77.05703,38.926064
232,-77.056984,38.92701
233,-77.056046,38.927086
234,-77.055977,38.928009
235,-77.055046,38.928082
236,-77.05497,38.929008
237,-77.052971,38.929005
