,Dir_Name_Display,Dir_School_Code,Dir_Street,Dir_Zip,AYP_Status,AYP_Status_Desc,Energy_Star_Rtg,Enroll_Total,Prog_Growth_Math_Current_Year,Prog_Growth_Read_Current_Year,Perf_Growth,Safe_ISA_Current_Year,Safe_Attendance_District_Average,Safe_Truancy_Current_Year,Safe_Suspension_Current_Year,Safe_Incidents_Current_Year,Safe_Safety_Current_Year,Perf_Safe,Perf_Teacher,Perf_Engage_Current_Year,Performance of Growth,Performance of Safety,Performance of Teachers,Performance of Engage,Performance,Ranking
26,Lafayette Elementary School,261,5701 Broad Branch Rd. NW,20015,Reward,Reward schools have the highest levels of student performance and growth as demonstrated by an overall index score at or above 80 or growth in overall index score that falls in the top 5% of all schools in DC.,93.0,761,66%,65%,0.66,96%,93%,0%,0%,0%,98%,2.87,0.96,0.97,5,5,5,5,5.0,5
44,Ross Elementary School,305,1730 R St. NW,20009,Reward,Reward schools have the highest levels of student performance and growth as demonstrated by an overall index score at or above 80 or growth in overall index score that falls in the top 5% of all schools in DC.,41.0,171,85%,74%,0.8,96%,93%,3%,0%,0%,100%,2.86,0.91,1.0,5,5,4,5,4.75,5
14,Eaton Elementary School,232,3301 Lowell St. NW,20008,Reward,Reward schools have the highest levels of student performance and growth as demonstrated by an overall index score at or above 80 or growth in overall index score that falls in the top 5% of all schools in DC.,31.0,477,70%,79%,0.75,96%,93%,0%,0%,0%,95%,2.84,0.94,0.99,5,5,4,5,4.75,5
52,Thomson Elementary School,326,1200 L St. NW,20005,Reward,Reward schools have the highest levels of student performance and growth as demonstrated by an overall index score at or above 80 or growth in overall index score that falls in the top 5% of all schools in DC.,48.0,314,75%,64%,0.7,95%,93%,1%,0%,0%,87%,2.74,0.93,0.94,5,5,4,5,4.75,5
24,Key Elementary School,272,5001 Dana Pl. NW,20016,Reward,Reward schools have the highest levels of student performance and growth as demonstrated by an overall index score at or above 80 or growth in overall index score that falls in the top 5% of all schools in DC.,53.0,397,47%,71%,0.59,96%,93%,4%,1%,0%,96%,2.8,0.96,0.96,4,5,5,5,4.75,5
