Station,Address,City,State,Zip,AKA,County,Country,Latitude,Longitude,,,,,
Judiciary Square,450 F Street NW ,Washington,DC,20001,Northwest Washington,Washington,USA,38.89694595,-77.01759338,,,,-77.0176,38.8969
King Street-Old Town,1900 King Street ,Alexandria,VA,22301,"Old Town,Potomac West",Alexandria,USA,38.80734634,-77.05971527,,,,-77.0597,38.8073
L'Enfant Plaza,600 Maryland Avenue SW,Washington,DC,20024,"Southwest Federal Center,Southwest Washington",Washington,USA,38.88657761,-77.02050781,,,,-77.0205,38.8866
Landover,3000 Pennsy Drive ,Hyattsville,MD,20785,,Prince George's,USA,38.931831,-76.891105,,,,-76.8911,38.9318
McPherson Square,1400 I Street NW ,Washington,DC,20005,"Downtown,Northwest Washington",Washington,USA,38.90103531,-77.03225708,,,,-77.0323,38.901
Medical Center,8810 Rockville Pike,Bethesda,MD,20814,,Montgomery,USA,38.9996599,-77.0969835,,,,-77.097,38.9997
Metro Center,607 13th Street NW ,Washington,DC,20005,Northwest Washington,Washington,USA,38.89783859,-77.02906036,,,,-77.0291,38.8978
Minnesota Ave,4000 Minnesota Avenue NE,Washington,DC,20019,"Lower Central NE,Northeast Washington",Washington,USA,38.89519119,-76.94907379,,,,-76.9491,38.8952
Morgan Boulevard,300 Garrett Morgan Blvd.,Landover,MD,20785,Landover,Prince George's,USA,38.89503479,-76.86606598,,,,-76.8661,38.895
Mt Vernon Sq 7th St-Convention Center,700 M Street NW ,Washington,DC,20001,"Mount Vernon Square,Northwest Washington,Shaw",Washington,USA,38.90564346,-77.02193451,,,,-77.0219,38.9056
Navy Yard-Ballpark,200 M Street SE,Washington,DC,20003,"Capitol Riverfront,Navy Yard,Southeast Washington",Washington,USA,38.87682343,-77.00322723,,,,-77.0032,38.8768
Naylor Road,3101 Branch Avenue ,Temple Hills,MD,20748,,Prince George's,USA,38.8510403,-76.9565245,,,,-76.9565,38.851
New Carrollton,4700 Garden City Drive ,New Carrollton,MD,20784,,Prince George's,USA,38.952001,-76.8665177,,,,-76.8665,38.952
NoMa-Gallaudet,200 Florida Avenue NE ,Washington,DC,20002,"Near Northeast,NoMa,Northeast Washington",Washington,USA,38.90731812,-77.0032959,,,,-77.0033,38.9073
Pentagon,2 South Rotary Road,Arlington,VA,22202,,Arlington,USA,38.8709873,-77.0559517,,,,-77.056,38.871
Pentagon City,1250 South Hayes Street,Arlington,VA,22202,"Aurora Highlands,Pentagon City",Arlington,USA,38.86305618,-77.060112,,,,-77.0601,38.8631
Potomac Ave,700 14th Street SE,Washington,DC,20003,Southeast Washington,Washington,USA,38.88126373,-76.98551178,,,,-76.9855,38.8813
Prince George's Plaza,3575 East West Highway,Hyattsville,MD,20782,,Prince George's,USA,38.9661738,-76.9565782,,,,-76.9566,38.9662
Rhode Island Ave-Brentwood,919 Rhode Island Avenue NE,Washington,DC,20018,"Brentwood,Northeast Washington",Washington,USA,38.9221344,-76.99323273,,,,-76.9932,38.9221
Rockville,251 Hungerford Drive,Rockville,MD,20850,,Montgomery,USA,39.0988128,-77.1541144,,,,-77.1541,39.0988
Ronald Reagan Washington National Airport,2400 S. Smith Blvd.,Arlington,VA,22202,,Arlington,USA,38.8496676,-77.0434549,,,,-77.0433,38.8517
Rosslyn,1850 N. Moore Street,Arlington,VA,22209,North Rosslyn,Arlington,USA,38.8968544,-77.07197571,,,,-77.072,38.8969
Shady Grove,15903 Somerville Drive ,Rockville,MD,20855,,Montgomery,USA,39.1199003,-77.1628645,,,,-77.1629,39.1199
Shaw-Howard U,1701 8th Street NW ,Washington,DC,20001,"Northwest Washington,Shaw",Washington,USA,38.91279984,-77.02262878,,,,-77.0226,38.9128
Silver Spring,8400 Colesville Road,Silver Spring,MD,20910,Downtown Silver Spring,Montgomery,USA,38.99357224,-77.0322113,,,,-77.0322,38.9936
Smithsonian,1200 Independence Avenue SW ,Washington,DC,20024,"Southwest Federal Center,Southwest Washington",Washington,USA,38.88755417,-77.0287323,,,,-77.0287,38.8876
Southern Avenue,1411 Southern Avenue ,Temple Hills,MD,20748,Southeast Washington,Washington,USA,38.84062958,-76.9756012,,,,-76.9756,38.8406
Stadium-Armory,192 19th Street SE ,Washington,DC,20003,"Hill East,Southeast Washington",Washington,USA,38.88857651,-76.97535706,,,,-76.9754,38.8886
Suitland,4500 Silver Hill Road ,Suitland,MD,20746,Suitland,Prince George's,USA,38.84505463,-76.93060303,,,,-76.9306,38.8451
Takoma,327 Cedar Street NW ,Washington,DC,20012,"Northwest Washington,Takoma",Washington,USA,38.97552872,-77.01786041,,,,-77.0179,38.9755
Tenleytown-AU,4501 Wisconsin Avenue NW,Washington,DC,20016,"Northwest Washington,Tenleytown",Washington,USA,38.94820023,-77.079422,,,,-77.0794,38.9482
Twinbrook,1600 Chapman Avenue ,Rockville,MD,20852,,Montgomery,USA,39.0625945,-77.1222741,,,,-77.1224,39.0627
U Street/African-Amer Civil War Memorial/Cardozo,1240 U Street NW ,Washington,DC,20009,"Cardozo,Northwest Washington",Washington,USA,38.91699982,-77.02896881,,,,-77.029,38.917
Union Station,701 First Street NE ,Washington,DC,20002,"Near Northeast,NoMa,Northeast Washington",Washington,USA,38.8989296,-77.00717163,,,,-77.0072,38.8989
Van Dorn Street ,5690 Eisenhower Avenue ,Alexandria,VA,22310,Landmark,Alexandria,USA,38.79927444,-77.13059998,,,,-77.1306,38.7993
Van Ness-UDC,4200 Connecticut Avenue NW ,Washington,DC,20008,"Forest Hills,Northwest Washington",Washington,USA,38.9462204,-77.06517029,,,,-77.0652,38.9462
Vienna/Fairfax-GMU,9550 Saintsbury Drive ,Fairfax,VA,22031,,Fairfax,USA,38.8767035,-77.2733069,,,,-77.2733,38.8767
Virginia Square-GMU,3600 Fairfax Drive,Arlington,VA,22201,Virginia Square,Arlington,USA,38.88301086,-77.10387421,,,,-77.1039,38.883
Waterfront,399 M Street SW,Washington,DC,20024,"Southwest Washington,Southwest Waterfront",Washington,USA,38.87682343,-77.01631165,,,,-77.0163,38.8768
West Falls Church-VT/UVA,7040 Haycock Road,Falls Church,VA,22043,,,USA,38.897724,-77.1877995,,,,-77.1878,38.8977
West Hyattsville,2700 Hamilton Street,Hyattsville,MD,20782,West Hyattsville,Prince George's,USA,38.95527267,-76.96949768,,,,-76.9695,38.9553
Wheaton,11171 Georgia Avenue,Silver Spring,MD,20902,Wheaton,Montgomery,USA,39.0383439,-77.0499682,,,,-77.0506,39.0382
White Flint,5500 Marinelli Road,Rockville,MD,20852,,Montgomery,USA,39.0475901,-77.1126143,,,,-77.1126,39.0476
Woodley Park-Zoo/Adams Morgan,2700 Connecticut Avenue NW ,Washington,DC,20008,"Northwest Washington,Woodley Park",Washington,USA,38.9259491,-77.05336761,,,,-77.0534,38.9259
