MLS #,Cat,Status,Address,City,County,Zip,Beds,Structure Type,Status Contractual Search Date,List Office Name,Current Price
1000144036,RES,CLS,1451 Park Rd NW #220,Washington,"Washington, DC",20010,0,Unit/Flat/Apartment,1/24/14,McWilliams/Ballard Inc. (MCWB1),"$199,900 "
1000385790,RES,CLS,3658 Park Pl NW,Washington,"Washington, DC",20010,4,Row/Townhouse,8/10/14,"Malak Realty Company, LLC (MALA1)","$920,000 "
1001872156,RES,CLS,1452 Ogden St NW,Washington,"Washington, DC",20010,4,Row/Townhouse,4/21/14,"A-K Real Estate, Inc. (AKR2)","$716,600 "
1002139612,RES,CLS,443 Kenyon St NW,Washington,"Washington, DC",20010,3,Row/Townhouse,10/28/13,"Evers & Co. Real Estate, A Long & Foster Company (EVR3)","$543,000 "
1002783384,RES,CLS,1472 Ogden St NW,Washington,"Washington, DC",20010,3,Twin/Semi-Detached,2/5/14,"District One Properties, LLC. (DISO1)","$679,000 "
1002784818,RES,CLS,1673 Park Rd NW #401,Washington,"Washington, DC",20010,2,Unit/Flat/Apartment,4/22/14,"Habitat Real Estate, Inc. (HAB1)","$449,500 "
1002785284,RES,CLS,3636 Park Pl NW,Washington,"Washington, DC",20010,3,Row/Townhouse,1/31/14,Coldwell Banker Residential Brokerage (CBRB106),"$620,500 "
1002786080,RES,CLS,621 Kenyon St NW,Washington,"Washington, DC",20010,4,Row/Townhouse,2/28/14,Keller Williams Capital Properties (KWCP1),"$550,000 "
1002786160,RES,CLS,3409 Holmead Pl NW,Washington,"Washington, DC",20010,3,Row/Townhouse,1/31/14,"Long & Foster Real Estate, Inc. (LNG44)","$638,500 "
1002786728,RES,CLS,1457 Park Rd NW #305,Washington,"Washington, DC",20010,0,Unit/Flat/Apartment,3/28/14,"Long & Foster Real Estate, Inc. (LNG194)","$99,000 "
1002786748,RES,CLS,1457 Park Rd NW #408,Washington,"Washington, DC",20010,1,Unit/Flat/Apartment,3/28/14,"Long & Foster Real Estate, Inc. (LNG194)","$210,000 "
1002787792,RES,CLS,3320 New Hampshire Ave NW,Washington,"Washington, DC",20010,4,Row/Townhouse,2/10/14,Coldwell Banker Residential Brokerage (CBRB106),"$450,000 "
1002789154,RES,CLS,3534 10th St NW #420,Washington,"Washington, DC",20010,1,Unit/Flat/Apartment,4/9/14,RE/MAX Town Center (RXTC1),"$279,000 "
1002791910,RES,CLS,1457 Park Rd NW #507,Washington,"Washington, DC",20010,0,Unit/Flat/Apartment,3/28/14,"Long & Foster Real Estate, Inc. (LNG194)","$130,000 "
1002791924,RES,CLS,1457 Park Rd NW #302,Washington,"Washington, DC",20010,2,Unit/Flat/Apartment,2/10/14,"Long & Foster Real Estate, Inc. (LNG194)","$325,000 "
1002792570,RES,CLS,429 Manor Pl NW,Washington,"Washington, DC",20010,3,Row/Townhouse,2/19/14,"A-K Real Estate, Inc. (AKR2)","$630,000 "
1002795084,RES,CLS,1720 Newton St NW #B,Washington,"Washington, DC",20010,2,Other,3/26/14,"Long & Foster Real Estate, Inc. (LNG147)","$675,000 "
1002795462,RES,CLS,3325 11th St NW #Unit 4,Washington,"Washington, DC",20010,1,Unit/Flat/Apartment,2/26/14,Stages Premier (SRMD1),"$400,000 "
1002796656,RES,CLS,1815 Lamont St NW,Washington,"Washington, DC",20010,5,Row/Townhouse,7/22/14,"Long & Foster Real Estate, Inc. (LNG35)","$896,000 "
1002797556,RES,CLS,1330 Otis Pl NW #2,Washington,"Washington, DC",20010,3,Twin/Semi-Detached,5/23/14,Coldwell Banker Residential Brokerage (CBRB102),"$799,000 "
1002798220,RES,CLS,1436 Meridian Pl NW #402,Washington,"Washington, DC",20010,2,Unit/Flat/Apartment,3/17/14,Keller Williams Realty (KWR21),"$375,000 "
1002798276,RES,CLS,1705 Irving St NW,Washington,"Washington, DC",20010,3,Row/Townhouse,2/28/14,"W.C. & A.N. Miller, Realtors, A Long & Foster Co. (MIL2)","$702,000 "
1002799052,RES,CLS,1457 Park Rd NW #205,Washington,"Washington, DC",20010,0,Unit/Flat/Apartment,3/28/14,"Long & Foster Real Estate, Inc. (LNG194)","$99,000 "
