MLS #,Cat,Status,Address,City,County,Zip,Beds,Structure Type,Status Contractual Search Date,List Office Name,Current Price
1003777376,RES,CLS,2650 Woodley Pl NW,Washington,"Washington, DC",20008,3,Row/Townhouse,1/13/14,Beasley Real Estate LLC (BEAS1),"$880,000 "
1003778140,RES,CLS,3601 Connecticut Ave NW #110,Washington,"Washington, DC",20008,2,Unit/Flat/Apartment,1/8/14,"Long & Foster Real Estate, Inc. (LNG44)","$780,000 "
1003780270,RES,CLS,4701 Connecticut Ave NW #202,Washington,"Washington, DC",20008,2,Unit/Flat/Apartment,12/3/13,TTR Sotheby's International Realty (TTRS4),"$595,000 "
1003780600,RES,CLS,2708 Woodley Pl NW,Washington,"Washington, DC",20008,4,Row/Townhouse,12/20/13,"John C. Formant Real Estate, Inc. (JCF1)","$1,279,500 "
1003780928,RES,CLS,2535 Waterside Dr NW,Washington,"Washington, DC",20008,3,Row/Townhouse,1/29/14,TTR Sotheby's International Realty (TTRS2),"$950,000 "
1003781188,RES,CLS,3001 Veazey Ter NW #426,Washington,"Washington, DC",20008,2,Unit/Flat/Apartment,1/7/14,"Long & Foster Real Estate, Inc. (LNG210)","$415,000 "
1003781208,RES,CLS,2138 California St NW #502,Washington,"Washington, DC",20008,2,Unit/Flat/Apartment,2/27/14,"Long & Foster Real Estate, Inc. (LNG42)","$640,000 "
1003781310,RES,CLS,4601 Reno Rd NW,Washington,"Washington, DC",20008,4,Detached,1/15/14,"Long & Foster Real Estate, Inc. (LNG54)","$1,255,000 "
1003782630,RES,CLS,2126 Connecticut Ave NW #58,Washington,"Washington, DC",20008,2,Unit/Flat/Apartment,2/12/14,"Long & Foster Real Estate, Inc. (LNG194)","$527,000 "
1003783002,RES,CLS,2029 Connecticut Ave NW #4,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,12/9/13,"Washington Fine Properties, LLC (WFP1)","$865,000 "
1003783944,RES,CLS,3001 Veazey Ter NW #1522,Washington,"Washington, DC",20008,2,Unit/Flat/Apartment,1/23/14,"Long & Foster Real Estate, Inc. (LNG3)","$534,000 "
1003787472,RES,CLS,3701 Connecticut Ave NW #506,Washington,"Washington, DC",20008,0,Unit/Flat/Apartment,2/19/14,Fairfax Realty Select (FXR1),"$152,250 "
1003793378,RES,CLS,1805 Kalorama Sq NW #3,Washington,"Washington, DC",20008,3,Row/Townhouse,1/1/14,"Washington Fine Properties, LLC (WFP1)","$2,037,500 "
1004077927,RES,CLS,5112 Connecticut Ave NW #208,Washington,"Washington, DC",20008,2,Unit/Flat/Apartment,4/23/14,"Long & Foster Real Estate, Inc. (LNG147)","$313,500 "
1004152146,RES,CLS,3883 Connecticut Ave NW #P-170,Washington,"Washington, DC",20008,0,Garage/Parking Space,12/3/13,TTR Sotheby's International Realty (TTRS5),"$25,900 "
1004205602,RES,CLS,3701 Connecticut Ave NW #915,Washington,"Washington, DC",20008,1,Unit/Flat/Apartment,1/10/14,RE/MAX Allegiance (RMAX128),"$209,900 "
1004213452,RES,CLS,2424 Kalorama Rd NW,Washington,"Washington, DC",20008,5,Detached,11/22/13,"Washington Fine Properties, LLC (WFP1)","$4,500,000 "
1004238388,RES,CLS,3102 Ellicott St NW,Washington,"Washington, DC",20008,4,Detached,9/30/13,TTR Sotheby's International Realty (TTRS2),"$2,525,000 "
