MLS #,Cat,Status,Address,City,County,Zip,Beds,Structure Type,Status Contractual Search Date,List Office Name,Current Price
1000256834,RES,CLS,1842 13th St NW,Washington,"Washington, DC",20009,4,Row/Townhouse,7/17/14,"Evers & Co. Real Estate, A Long & Foster Company (EVR3)","$938,000 "
1000395952,RES,CLS,2853 Ontario Rd NW #410,Washington,"Washington, DC",20009,1,Unit/Flat/Apartment,7/18/14,Compass (LNRE1),"$515,000 "
1000395968,RES,CLS,2853 Ontario Rd NW #110,Washington,"Washington, DC",20009,1,Unit/Flat/Apartment,10/9/13,"McEnearney Associates, Inc. (MCE7)","$450,000 "
1000395972,RES,CLS,2853 Ontario Rd NW #411,Washington,"Washington, DC",20009,1,Unit/Flat/Apartment,6/27/14,Compass (LNRE1),"$475,000 "
1000395974,RES,CLS,2853 Ontario Rd NW #609,Washington,"Washington, DC",20009,1,Unit/Flat/Apartment,2/21/14,Compass (LNRE1),"$415,000 "
1000412078,RES,CLS,2200 17th St NW #G-41,Washington,"Washington, DC",20009,0,Garage/Parking Space,7/22/14,Coldwell Banker Residential Brokerage (CBRB45),"$45,000 "
1001654489,RES,CLS,1813 18th St NW #4,Washington,"Washington, DC",20009,1,End of Row/Townhouse,6/17/14,Attache Real Estate LLC (ATTA1),"$314,900 "
1001795893,RES,CLS,1860 California St NW #401,Washington,"Washington, DC",20009,1,Unit/Flat/Apartment,11/15/13,Keller Williams Capital Properties (KWCP2),"$334,900 "
1001944720,RES,CLS,1811 Wyoming Ave NW #23,Washington,"Washington, DC",20009,2,Unit/Flat/Apartment,2/4/14,"Long & Foster Real Estate, Inc. (LNG194)","$195,000 "
1002783138,RES,CLS,2456 20th St NW #103,Washington,"Washington, DC",20009,1,Unit/Flat/Apartment,2/14/14,"McEnearney Associates, Inc. (MCE7)","$369,300 "
1002783196,RES,CLS,1930 Biltmore St NW #300,Washington,"Washington, DC",20009,2,Row/Townhouse,2/28/14,"Long & Foster Real Estate, Inc. (LNG1)","$650,000 "
1002783490,RES,CLS,1605 16th St NW #6,Washington,"Washington, DC",20009,2,Row/Townhouse,2/11/14,"Washington Fine Properties, LLC (WFP3)","$799,000 "
