MLS #,Cat,Status,Address,City,County,Zip,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price
1002869480,RES,CLS,2004 3rd St NE #103,Washington,"Washington, DC",20002,1,Jan-00,Unit/Flat/Apartment,5/15/14,"Citylights Realty Group, LLC (CRGL1)","$240,000 "
1002869580,RES,CLS,215 I St NE #110,Washington,"Washington, DC",20002,1,1-Jan,Unit/Flat/Apartment,5/5/14,Redfin Corp (REFC3),"$620,000 "
1002870172,RES,CLS,924 9th St NE,Washington,"Washington, DC",20002,2,1-Feb,Row/Townhouse,4/9/14,Century 21 Redwood Realty (RDWG3),"$619,500 "
1002870262,RES,CLS,1900 4th St NE #1,Washington,"Washington, DC",20002,2,Feb-00,Unit/Flat/Apartment,8/12/14,DCRE RESIDENTIAL LLC (DRESI1),"$499,900 "
1002871518,RES,CLS,440 12th St NE #111,Washington,"Washington, DC",20002,2,Jan-00,Unit/Flat/Apartment,4/30/14,RE/MAX Allegiance (RMAX17),"$501,750 "
1002873420,RES,CLS,1188 Morse St NE,Washington,"Washington, DC",20002,3,1-Jan,Row/Townhouse,4/15/14,Maya Real Estate Brokerage LLC (MAYA1),"$395,000 "
1002874056,RES,CLS,1412 C St NE,Washington,"Washington, DC",20002,4,Feb-00,Row/Townhouse,4/24/14,RE/MAX Allegiance (RMAX52),"$656,000 "
1002874484,RES,CLS,312 16th St NE,Washington,"Washington, DC",20002,4,1-Jan,Row/Townhouse,7/2/14,"Carter Realty Group, LLC (CRTG1)","$500,000 "
1002876342,RES,CLS,2306 North Capitol St NW,Washington,"Washington, DC",20002,4,1-Apr,Row/Townhouse,3/10/14,Keller Williams Capital Properties (KWCP1),"$699,000 "
1002876604,RES,CLS,314 V St NE #201,Washington,"Washington, DC",20002,2,Jan-00,Unit/Flat/Apartment,4/7/14,Chatel Real Estate Company (CHL2),"$221,000 "
1002877294,RES,CLS,219 R St NE #B,Washington,"Washington, DC",20002,3,1-Feb,Unit/Flat/Apartment,4/16/14,Keller Williams Capital Properties (KWCP1),"$599,000 "
1002877314,RES,CLS,2513 Capitol St NE,Washington,"Washington, DC",20002,4,1-Feb,Row/Townhouse,4/11/14,"Long & Foster Real Estate, Inc. (LNG3)","$495,000 "
1002877324,RES,CLS,1292 Morse St NE,Washington,"Washington, DC",20002,3,1-Mar,Twin/Semi-Detached,3/31/14,"Central Properties, LLC, (CTRP1)","$670,000 "
1002877818,RES,CLS,440 12th St NE #8,Washington,"Washington, DC",20002,2,Feb-00,Unit/Flat/Apartment,4/18/14,TTR Sotheby's International Realty (TTRS5),"$498,000 "
1002878468,RES,CLS,410 K St NE,Washington,"Washington, DC",20002,3,Jan-00,Twin/Semi-Detached,4/22/14,ERA Realty Group (RTR1),"$535,250 "
1002881642,RES,CLS,541 25th Pl NE,Washington,"Washington, DC",20002,4,1-Feb,Row/Townhouse,5/14/14,Coldwell Banker Residential Brokerage (CBRB52),"$499,000 "
1002882234,RES,CLS,1817 L St NE,Washington,"Washington, DC",20002,2,Jan-00,Row/Townhouse,7/11/14,Owners.com (RHOM1),"$235,424 "
1002882420,RES,CLS,629 Constitution Ave NE #205,Washington,"Washington, DC",20002,2,1-Feb,Unit/Flat/Apartment,5/2/14,Coldwell Banker Residential Brokerage (CBRB52),"$523,700 "
1002882712,RES,CLS,2420 North Capitol St NW,Washington,"Washington, DC",20002,3,1-Mar,Row/Townhouse,5/16/14,"Urban Land Company, LLC (ULC1)","$715,000 "
1002882934,RES,CLS,242 10th St NE,Washington,"Washington, DC",20002,2,Jan-00,Row/Townhouse,4/25/14,"Long & Foster Real Estate, Inc. (LNG202)","$380,000 "
