MLS #,Cat,Status,Address,City,County,Zip,Beds,Structure Type,Status Contractual Search Date,List Office Name,Current Price
1000243560,RES,CLS,811 4th St NW #202,Washington,"Washington, DC",20001,1,Unit/Flat/Apartment,12/16/13,Taylor Properties (TAYL1),"$435,000 "
1000464130,RES,CLS,456 M St NW #4,Washington,"Washington, DC",20001,2,Row/Townhouse,7/22/14,Coldwell Banker Residential Brokerage (CBRB106),"$610,000 "
1001471516,RES,CLS,925 H St NW #902,Washington,"Washington, DC",20001,2,Unit/Flat/Apartment,5/2/14,The Mayhood Company (MHD1),"$1,096,150 "
1002782724,RES,CLS,207 R St NW #3,Washington,"Washington, DC",20001,2,Unit/Flat/Apartment,3/18/14,KW Metro Center (KWR17),"$399,900 "
1002783666,RES,CLS,2120 Vermont Ave NW #607,Washington,"Washington, DC",20001,1,Unit/Flat/Apartment,2/10/14,"Long & Foster Real Estate, Inc. (LNG176)","$438,100 "
1002784116,RES,CLS,536 Harvard St NW,Washington,"Washington, DC",20001,3,Row/Townhouse,3/17/14,Tristar Realty Inc (TSTA1),"$418,000 "
1002784774,RES,CLS,5 V St NW,Washington,"Washington, DC",20001,3,Row/Townhouse,1/23/14,"Long & Foster Real Estate, Inc. (LNG194)","$511,000 "
1002785430,RES,CLS,910 M St NW #119,Washington,"Washington, DC",20001,1,Unit/Flat/Apartment,3/18/14,"Habitat Real Estate, Inc. (HAB1)","$428,000 "
1002786752,RES,CLS,400 Massachusetts Ave NW #219,Washington,"Washington, DC",20001,2,Unit/Flat/Apartment,3/31/14,Century 21 Redwood Realty (RDWG3),"$725,000 "
1002787042,RES,CLS,811 4th St NW #301,Washington,"Washington, DC",20001,1,Unit/Flat/Apartment,5/15/14,The Mayhood Company (MHD1),"$410,000 "
1002787494,RES,CLS,23 Randolph Pl NW,Washington,"Washington, DC",20001,3,Row/Townhouse,2/4/14,Keller Williams Capital Properties (KWCP2),"$685,000 "
1002787680,RES,CLS,400 Massachusetts Ave NW #508,Washington,"Washington, DC",20001,1,Unit/Flat/Apartment,6/24/14,DC Living Real Estate LLC (DCLR1),"$485,000 "
1002788112,RES,CLS,34 Channing St NW #3,Washington,"Washington, DC",20001,3,Row/Townhouse,6/27/14,Keller Williams Capital Properties (KWCP1),"$710,000 "
1002788138,RES,CLS,34 Channing St NW #1,Washington,"Washington, DC",20001,2,Row/Townhouse,7/14/14,Keller Williams Capital Properties (KWCP1),"$445,000 "
1002788954,RES,CLS,815 T St NW #B,Washington,"Washington, DC",20001,2,End of Row/Townhouse,2/28/14,Keller Williams Capital Properties (KWCP1),"$582,500 "
1002792326,RES,CLS,149 W St NW #36,Washington,"Washington, DC",20001,1,Unit/Flat/Apartment,4/18/14,Miller Realty Corp (RMRE1),"$349,900 "
1002793928,RES,CLS,1616 11th St NW #Ph-3,Washington,"Washington, DC",20001,2,Unit/Flat/Apartment,2/5/14,"McEnearney Associates, Inc. (MCE1)","$540,000 "
1002794066,RES,CLS,811 4th St NW #1008,Washington,"Washington, DC",20001,1,Unit/Flat/Apartment,3/12/14,Beasley Real Estate LLC (BEAS1),"$432,500 "
