MLS #,Cat,Status,Address,City,County,Zip,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price
1000254158,RES,CLS,121 18th St SE,Washington,"Washington, DC",20003,2,Mar-00,Row/Townhouse,10/7/13,Keller Williams Capital Properties (KWCP1),"$629,000 "
1001798776,RES,CLS,509 7th SE,Washington,"Washington, DC",20003,4,1-Feb,Row/Townhouse,6/20/14,Coldwell Banker Residential Brokerage (CBRB52),"$701,000 "
1002783760,RES,CLS,1020 Pennsylvania Ave SE #405,Washington,"Washington, DC",20003,1,Jan-00,Unit/Flat/Apartment,3/4/14,"John C. Formant Real Estate, Inc. (JCF1)","$340,000 "
1002784518,RES,CLS,1804 Burke St SE,Washington,"Washington, DC",20003,4,Feb-00,Row/Townhouse,2/21/14,M Squared Real Estate LLC (MSQU1),"$645,000 "
1002786322,RES,CLS,610 3rd St SE #8,Washington,"Washington, DC",20003,1,Jan-00,Unit/Flat/Apartment,2/24/14,"Long & Foster Real Estate, Inc. (LNG1)","$320,500 "
1002789026,RES,CLS,1328 Massachusetts Ave SE,Washington,"Washington, DC",20003,3,1-Jan,Row/Townhouse,2/28/14,Keller Williams Capital Properties (KWCP1),"$760,000 "
1002789936,RES,CLS,101 North Carolina Ave SE #305,Washington,"Washington, DC",20003,0,Jan-00,Unit/Flat/Apartment,2/14/14,"Long & Foster Real Estate, Inc. (LNG83)","$236,000 "
1002790016,RES,CLS,1627 Massachusetts Ave SE #203,Washington,"Washington, DC",20003,1,Jan-00,Unit/Flat/Apartment,3/27/14,RE/MAX Allegiance (RMAX20),"$246,170 "
1002790166,RES,CLS,1000 New Jersey Ave SE #502,Washington,"Washington, DC",20003,2,Jan-00,Unit/Flat/Apartment,2/21/14,RE/MAX Allegiance (RMAX20),"$390,000 "
1002790942,RES,CLS,909 G St SE,Washington,"Washington, DC",20003,2,1-Jan,Twin/Semi-Detached,3/21/14,"Long & Foster Real Estate, Inc. (LNG42)","$675,000 "
1002791708,RES,CLS,1440 G St SE,Washington,"Washington, DC",20003,4,1-Mar,Row/Townhouse,2/7/14,RE/MAX Allegiance (RMAX20),"$875,000 "
1002792850,RES,CLS,545 11th St SE,Washington,"Washington, DC",20003,3,1-Mar,Row/Townhouse,2/20/14,Coldwell Banker Residential Brokerage (CBRB52),"$710,000 "
1002793100,RES,CLS,621 I St SE,Washington,"Washington, DC",20003,3,1-Mar,Row/Townhouse,2/6/14,Coldwell Banker Residential Brokerage (CBRB52),"$875,000 "
1002793470,RES,CLS,1537 K St SE,Washington,"Washington, DC",20003,3,Feb-00,Row/Townhouse,3/17/14,RE/MAX Allegiance (RMAX20),"$590,000 "
1002795760,RES,CLS,1703 D St SE,Washington,"Washington, DC",20003,3,1-Jan,Row/Townhouse,2/28/14,RE/MAX Allegiance (RMAX20),"$640,000 "
1002797420,RES,CLS,264 15th St SE,Washington,"Washington, DC",20003,4,1-Feb,Row/Townhouse,3/19/14,Keller Williams Capital Properties (KWCP1),"$640,000 "
1002798042,RES,CLS,1815 Massachusetts Ave SE,Washington,"Washington, DC",20003,3,Jan-00,Row/Townhouse,3/10/14,"Long & Foster Real Estate, Inc. (LNG194)","$425,000 "
1002798810,RES,CLS,408 3rd St SE,Washington,"Washington, DC",20003,3,1-Mar,Row/Townhouse,2/25/14,Coldwell Banker Residential Brokerage (CBRB52),"$1,150,000 "
1002799172,RES,CLS,1361 K St SE #103,Washington,"Washington, DC",20003,1,Jan-00,Unit/Flat/Apartment,5/30/14,Redfin Corp (REFC3),"$229,900 "
1002800542,RES,CLS,230 11th St SE,Washington,"Washington, DC",20003,3,Feb-00,Twin/Semi-Detached,5/22/14,"Long & Foster Real Estate, Inc. (LNG44)","$755,000 "
1002803540,RES,CLS,433 12th St SE,Washington,"Washington, DC",20003,3,1-Feb,Row/Townhouse,2/13/14,Compass (LNRE1),"$763,500 "
1002805638,RES,CLS,1 Derby Ln SE,Washington,"Washington, DC",20003,2,1-Feb,Detached,3/10/14,Century 21 Redwood Realty (RDWG3),"$758,000 "
1002810750,RES,CLS,1341 Capitol St SE #107,Washington,"Washington, DC",20003,2,1-Jan,Unit/Flat/Apartment,4/4/14,"Thos D. Walsh, Inc. (TDW1)","$420,000 "
1002812612,RES,CLS,607 A St SE,Washington,"Washington, DC",20003,3,Feb-00,Row/Townhouse,3/28/14,Coldwell Banker Residential Brokerage (CBRB52),"$907,000 "
1002813006,RES,CLS,448 Kentucky Ave SE,Washington,"Washington, DC",20003,2,Feb-00,Twin/Semi-Detached,5/16/14,RE/MAX Allegiance (RMAX20),"$635,227 "
1002813330,RES,CLS,129 18th St SE,Washington,"Washington, DC",20003,2,Jan-00,Row/Townhouse,3/28/14,RE/MAX Specialists (RMSP1),"$495,950 "
1002814698,RES,CLS,119 16th St SE,Washington,"Washington, DC",20003,2,Jan-00,Twin/Semi-Detached,3/12/14,Coldwell Banker Residential Brokerage (CBRB52),"$459,000 "
1002818252,RES,CLS,1447 East Capitol St SE #3,Washington,"Washington, DC",20003,2,Jan-00,Unit/Flat/Apartment,3/14/14,Keller Williams Capital Properties (KWCP1),"$419,000 "
1002819678,RES,CLS,1408 G St SE,Washington,"Washington, DC",20003,3,1-Jan,Twin/Semi-Detached,3/12/14,Keller Williams Capital Properties (KWCP1),"$670,000 "
1002820050,RES,CLS,268 Kentucky Ave SE #268-B,Washington,"Washington, DC",20003,2,Feb-00,Row/Townhouse,4/10/14,Coldwell Banker Residential Brokerage (CBRB52),"$470,000 "
1002821108,RES,CLS,1219 Independence Ave SE,Washington,"Washington, DC",20003,3,Jan-00,Row/Townhouse,7/7/14,"Gerlach real estate, inc. (KGB1)","$690,000 "
1002822330,RES,CLS,311 16th St SE,Washington,"Washington, DC",20003,2,1-Jan,Row/Townhouse,3/26/14,RE/MAX Allegiance (RMAX20),"$435,000 "
1002829388,RES,CLS,1818 Potomac Ave SE,Washington,"Washington, DC",20003,3,Feb-00,Row/Townhouse,4/7/14,RE/MAX Allegiance (RMAX17),"$585,000 "
1002830592,RES,CLS,1400 K St SE #1,Washington,"Washington, DC",20003,3,1-Feb,Row/Townhouse,5/1/14,"GreenLine Real Estate, LLC (GNLN1)","$782,000 "
1002830598,RES,CLS,1402 K St SE #2,Washington,"Washington, DC",20003,2,Feb-00,Row/Townhouse,4/7/14,"GreenLine Real Estate, LLC (GNLN1)","$675,000 "
1002836158,RES,CLS,913 14th  St SE St E,Washington,"Washington, DC",20003,3,1-Jan,Row/Townhouse,5/16/14,"Long & Foster Real Estate, Inc. (LNG16)","$480,000 "
1002837514,RES,CLS,1612 Massachusetts Ave SE,Washington,"Washington, DC",20003,2,1-Mar,Row/Townhouse,3/24/14,RE/MAX United Real Estate (RMXD1),"$670,000 "
