MLS #,Cat,Status,Address,City,County,Zip,Beds,Structure Type,Status Contractual Search Date,List Office Name,Current Price
1000450476,RES,CLS,4504 Chesapeake St NW,Washington,"Washington, DC",20016,3,Detached,1/9/14,"Washington Fine Properties, LLC (WFP3)","$865,000 "
1001408881,RES,CLS,4000 Cathedral Ave NW #307B,Washington,"Washington, DC",20016,1,Unit/Flat/Apartment,9/27/13,"Cathedral Realty, LLC. (CTH1)","$310,000 "
1001775269,RES,CLS,4101 Albemarle St NW #409,Washington,"Washington, DC",20016,2,Unit/Flat/Apartment,12/20/13,"W.C. & A.N. Miller, Realtors, A Long & Foster Co. (MIL1)","$689,000 "
1002600911,RES,CLS,4101 Albemarle St NW #308,Washington,"Washington, DC",20016,2,Unit/Flat/Apartment,7/24/14,"W.C. & A.N. Miller, Realtors, A Long & Foster Co. (MIL1)","$719,000 "
1002784048,RES,CLS,3051 Idaho Ave NW #121,Washington,"Washington, DC",20016,1,Unit/Flat/Apartment,2/19/14,Keller Williams Capital Properties (KWCP2),"$259,500 "
1002784678,RES,CLS,3900 Watson Pl NW ##A-8A,Washington,"Washington, DC",20016,1,Unit/Flat/Apartment,2/28/14,"W.C. & A.N. Miller, Realtors, A Long & Foster Co. (MIL6)","$255,000 "
1002785616,RES,CLS,3010 Wisconsin Ave NW #310,Washington,"Washington, DC",20016,2,Unit/Flat/Apartment,4/15/14,Coldwell Banker Residential Brokerage (CBRB45),"$429,000 "
1002788282,RES,CLS,4101 Albemarle St NW #646,Washington,"Washington, DC",20016,2,Unit/Flat/Apartment,2/28/14,Tilton Bernstein Walsh Real Estate LLC (TBMI1),"$962,500 "
1002789568,RES,CLS,3215 45th St NW,Washington,"Washington, DC",20016,5,Detached,5/2/14,"Washington Fine Properties, LLC (WFP1)","$1,650,000 "
1002789732,RES,CLS,4200 Cathedral Ave NW #704,Washington,"Washington, DC",20016,1,Unit/Flat/Apartment,3/18/14,Keller Williams Realty (KWR21),"$194,000 "
1002790538,RES,CLS,5721 Macarthur Blvd NW,Washington,"Washington, DC",20016,3,Detached,2/28/14,"Evers & Co. Real Estate, A Long & Foster Company (EVR3)","$915,000 "
1002791898,RES,CLS,4703 Warren St NW,Washington,"Washington, DC",20016,3,Detached,2/20/14,"Long & Foster Real Estate, Inc. (LNG1)","$964,000 "
1002792180,RES,CLS,5171 Manning Pl NW,Washington,"Washington, DC",20016,6,Detached,3/25/14,"Washington Fine Properties, LLC (WFP1)","$2,395,000 "
1002792416,RES,CLS,4901 44th St NW,Washington,"Washington, DC",20016,4,Detached,3/7/14,TTR Sotheby's International Realty (TTRS4),"$915,000 "
1002792964,RES,CLS,4829 Upton St NW,Washington,"Washington, DC",20016,4,Detached,2/14/14,"Washington Fine Properties, LLC (WFP1)","$1,160,000 "
1002794342,RES,CLS,3305 39th St NW,Washington,"Washington, DC",20016,4,Detached,3/31/14,"Washington Fine Properties, LLC (WFP1)","$1,676,000 "
1002794886,RES,CLS,5032 Fulton St NW,Washington,"Washington, DC",20016,3,Detached,2/6/14,"Chatel Real Estate, Inc. (CHL1)","$1,055,000 "
1002796106,RES,CLS,4301 Massachusetts Ave NW #A302,Washington,"Washington, DC",20016,2,Unit/Flat/Apartment,3/31/14,"Long & Foster Real Estate, Inc. (LNG3)","$330,000 "
1002797504,RES,CLS,3804 Klingle Pl NW,Washington,"Washington, DC",20016,4,Twin/Semi-Detached,2/14/14,TTR Sotheby's International Realty (TTRS2),"$1,242,500 "
1002798848,RES,CLS,5014 Cathedral Ave NW,Washington,"Washington, DC",20016,3,Detached,2/28/14,"Long & Foster Real Estate, Inc. (LNG194)","$800,000 "
1002799914,RES,CLS,4101 Cathedral Ave NW #304/305,Washington,"Washington, DC",20016,4,Unit/Flat/Apartment,3/14/14,"Long & Foster Real Estate, Inc. (LNG35)","$650,000 "
1002801128,RES,CLS,3901 Cathedral Ave NW #616,Washington,"Washington, DC",20016,1,Unit/Flat/Apartment,2/10/14,"Best Address Real Estate, LLC (BSTA1)","$335,000 "
1002801948,RES,CLS,4201 Cathedral Ave NW #217E,Washington,"Washington, DC",20016,1,Unit/Flat/Apartment,3/14/14,DC Home Buzz (DIST1),"$239,000 "
