MLS #,Cat,Status,Address,City,County,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price
DCDC439278,RES,CLS,324 Tennessee Ave NE,Washington,"Washington, DC",4,2-Mar,Row/Townhouse,8/15/2019,Non Subscribing Office (NON1),1000000.00
DCDC438344,RES,CLS,1214 Orren St NE,Washington,"Washington, DC",3,Feb-00,Row/Townhouse,8/13/2019,Berkshire Hathaway HomeServices PenFed Realty (PFED4),826000.00
DCDC438010,RES,CLS,1508 F St NE #1,Washington,"Washington, DC",2,2,End of Row/Townhouse,8/16/2019,Compass (COMPS2),450000.00
DCDC437928,RES,CLS,311 16th St NE,Washington,"Washington, DC",3,3,End of Row/Townhouse,8/30/2019,Fairfax Realty Elite (FXR4),762500.00
DCDC437938,RES,CLS,220 Adams St NE,Washington,"Washington, DC",3,2,Row/Townhouse,8/28/2019,Compass (COMPS6),635000.00
DCDC437424,RES,CLS,1508 F St NE #5,Washington,"Washington, DC",2,2,End of Row/Townhouse,8/15/2019,Compass (COMPS2),629900.00
DCDC100473,RES,CLS,224 15th St NE,Washington,"Washington, DC",3,1-Feb,Row/Townhouse,8/26/2019,TTR Sotheby's International Realty (TTRS5),835125.00
DCDC100257,RES,CLS,2008 C St NE,Washington,"Washington, DC",3,1,Row/Townhouse,8/28/2019,Compass (COMPS3),665000.00
DCDC436912,RES,CLS,327 L St NE,Washington,"Washington, DC",3,2,Twin/Semi-Detached,8/13/2019,RE/MAX Allegiance (RMAX20),750000.00
DCDC436544,RES,CLS,1521 Isherwood St NE,Washington,"Washington, DC",3,1-Jan,Row/Townhouse,8/14/2019,Compass (COMPS1),685000.00
DCDC436364,RES,CLS,1643 Montello Ave NE #2,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/16/2019,RLAH Real Estate (RLAH2),285900.00
DCDC435968,RES,CLS,1315 Emerald St NE,Washington,"Washington, DC",3,1-Jan,Row/Townhouse,8/13/2019,Compass (COMPS1),772400.00
DCDC435944,RES,CLS,2315 3rd St NE,Washington,"Washington, DC",2,1-Jan,Row/Townhouse,8/9/2019,"Long & Foster Real Estate, Inc. (LNG194)",425000.00
DCDC435834,RES,CLS,1350 Maryland Ave NE #516,Washington,"Washington, DC",2,1,Penthouse Unit/Flat/Apartment,8/26/2019,Compass (COMPS6),535000.00
DCDC435656,RES,CLS,1235 Linden Pl NE,Washington,"Washington, DC",2,1-Jan,Row/Townhouse,8/20/2019,Keller Williams Capital Properties (KWCP1),735000.00
DCDC435572,RES,CLS,1442 D St NE,Washington,"Washington, DC",3,2,Row/Townhouse,8/26/2019,Keller Williams Capital Properties (KWCP1),815000.00
DCDC435070,RES,CLS,710 E St NE,Washington,"Washington, DC",3,2-Jan,Row/Townhouse,8/26/2019,RLAH Real Estate (RLAH4),841000.00
DCDC435280,RES,CLS,1831 2nd St NE #306,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/16/2019,Redfin Corp (REFC3),301499.00
DCDC434986,RES,CLS,624 Maryland Ave NE #1,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/23/2019,Keller Williams Capital Properties (KWCP1),376000.00
DCDC434642,RES,CLS,1216 Maryland Ave NE,Washington,"Washington, DC",2,2,Row/Townhouse,8/26/2019,RE/MAX Allegiance (RMAX17),815000.00
DCDC435018,RES,CLS,2426 4th St NE,Washington,"Washington, DC",2,2,Row/Townhouse,8/15/2019,"Weichert, REALTORS (WEI9)",519610.00
DCDC435028,RES,CLS,1356 C St NE,Washington,"Washington, DC",2,1-Jan,Row/Townhouse,8/8/2019,Coldwell Banker Residential Brokerage (CBRB52),675000.00
DCDC435004,RES,CLS,224 T Street NE #2,Washington,"Washington, DC",2,2,Penthouse Unit/Flat/Apartment,8/28/2019,TTR Sothebys International Realty (TTRS3),545000.00
DCDC434948,RES,CLS,616 Constitution Ave NE,Washington,"Washington, DC",4,1-Feb,Row/Townhouse,8/9/2019,Compass (COMPS6),1206000.00
DCDC434692,RES,CLS,822 K St NE,Washington,"Washington, DC",2,1,Row/Townhouse,8/26/2019,"Washington Fine Properties, LLC (WFP3)",721442.00
DCDC434922,RES,CLS,604 14th Pl NE,Washington,"Washington, DC",2,2,Row/Townhouse,8/16/2019,Keller Williams Realty Falls Church (KWR30),650000.00
