MLS #,Cat,Status,Address,City,County,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price
DCDC439552,RES,CLS,700 7th St SW #125,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/23/2019,"Long & Foster Real Estate, Inc. (LNG44)",175000
DCDC437300,RES,CLS,530 N St SW #S707,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/3/2019,Compass (COMPS1),600000
DCDC436230,RES,CLS,300 M St SW #N714,Washington,"Washington, DC",2,1-Jan,Unit/Flat/Apartment,7/23/2019,RE/MAX Allegiance (RMAX20),440000
DCDC435842,RES,CLS,800 4th St SW #S605,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/23/2019,Compass (COMPS4),339000
DCDC435398,RES,CLS,814 Capitol Square Pl SW,Washington,"Washington, DC",114,1-Mar,Row/Townhouse,7/15/2019,Non Subscribing Office (NON1),1175000
DCDC434156,RES,CLS,530 N SW #107,Washington,"Washington, DC",1,Jan-00,Unit/Flat/Apartment,8/15/2019,"Welcome Home Realty, LLC (WELC1)",545000
DCDC434662,RES,CLS,350 G St SW #N314,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/16/2019,Redfin Corp (REFC3),397000
DCDC434034,RES,CLS,1231 Carrollsburg Pl SW,Washington,"Washington, DC",3,1-Jan,Row/Townhouse,8/23/2019,Senate Realty (SENR1),760000
DCDC433944,RES,CLS,1534 2nd St SW,Washington,"Washington, DC",3,1-Jan,Row/Townhouse,8/16/2019,"Frontier Realty Group, LLC (FNTRG1)",560000
DCDC433798,RES,CLS,510 N St SW #N420,Washington,"Washington, DC",1,1,Penthouse Unit/Flat/Apartment,7/31/2019,Compass (COMPS6),332000
DCDC433066,RES,CLS,490 M SW #W-509,Washington,"Washington, DC",0,1,Unit/Flat/Apartment,8/7/2019,RE/MAX Town Center (RXTC2),240000
DCDC432932,RES,CLS,800 4th St SW #S706,Washington,"Washington, DC",0,1,Penthouse Unit/Flat/Apartment,7/19/2019,"Long & Foster Real Estate, Inc. (LNG183)",299990
DCDC432832,RES,CLS,335 N St SW,Washington,"Washington, DC",2,1,Row/Townhouse,8/5/2019,Compass (COMPS4),527000
DCDC432566,RES,CLS,276 M St SW #276,Washington,"Washington, DC",1,Jan-00,Unit/Flat/Apartment,7/19/2019,Allison James Estates & Homes (AJEH2),382000
DCDC432066,RES,CLS,608 H St SW,Washington,"Washington, DC",3,1-Feb,Row/Townhouse,7/26/2019,"Long & Foster Real Estate, Inc. (LNG5)",950000
DCDC429956,RES,CLS,1250 4th St SW #W502,Washington,"Washington, DC",1,1-Jan,Unit/Flat/Apartment,8/16/2019,Gordon James Brokerage (GRJB1),295000
DCDC431760,RES,CLS,1101 3rd St SW #109,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/16/2019,Goodman Realtors (GDRM1),344000
DCDC427398,RES,CLS,800 4th St SW #S116,Washington,"Washington, DC",1,Jan-00,Unit/Flat/Apartment,8/1/2019,"Pearson Smith Realty, LLC (PSTH1)",339990
DCDC431290,RES,CLS,429 N SW #405,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,6/14/2019,Compass (COMPS1),510000
DCDC430920,RES,CLS,355 I St SW #604,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/31/2019,Redfin Corp (REFC3),489000
DCDC430800,RES,CLS,800 4th St SW #N716,Washington,"Washington, DC",0,1,Unit/Flat/Apartment,8/20/2019,"Long & Foster Real Estate, Inc. (LNG59)",335000
DCDC431026,RES,CLS,1301 Delaware Ave SW #N508,Washington,"Washington, DC",0,1,Unit/Flat/Apartment,8/26/2019,Fairfax Realty Elite (FXR13),175000
DCDC431018,RES,CLS,1301 Delaware Ave SW #N520,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/9/2019,McWilliams/Ballard Inc. (MCWB3),219900
DCDC430996,RES,CLS,800 4th St SW #N817,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/30/2019,"Long & Foster Real Estate, Inc. (LNG147)",365000
DCDC422770,RES,CLS,700 7th St SW #433,Washington,"Washington, DC",2,1,Unit/Flat/Apartment,7/9/2019,"Evers & Co. Real Estate, A Long & Foster Company (EVR1)",475000
