MLS #,Cat,Status,Address,City,County,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price
DCDC433730,RES,CLS,3524 Rittenhouse St NW,Washington,"Washington, DC",6,1-Jun,Detached,6/14/2019,Non Subscribing Office (NON1),3436644.00
DCDC436898,RES,CLS,5711 32nd St NW,Washington,"Washington, DC",4,1-Feb,Detached,8/20/2019,"Independent Realty, Inc (INDR1)",929471.00
DCDC435306,RES,CLS,3247 Patterson St NW,Washington,"Washington, DC",3,Jan-00,Detached,8/26/2019,"Realty Group, Inc. (RGI1)",937500.00
DCDC436294,RES,CLS,3257 Worthington St NW,Washington,"Washington, DC",5,1-Apr,Detached,8/19/2019,"Washington Fine Properties, LLC (WFP1)",1460000.00
DCDC436370,RES,CLS,3608 Quesada St NW,Washington,"Washington, DC",6,1-Apr,Detached,7/24/2019,TTR Sotheby's International Realty (TTRS4),1290000.00
DCDC436218,RES,CLS,5359 29th St NW,Washington,"Washington, DC",3,1-Mar,Detached,7/22/2019,Compass (COMPS9),1049000.00
DCDC435274,RES,CLS,5649 Moreland St NW,Washington,"Washington, DC",6,1-May,Detached,8/28/2019,Compass (COMPS2),2025000.00
DCDC435192,RES,CLS,6322 31st St NW,Washington,"Washington, DC",3,1-Feb,Detached,8/2/2019,"Evers & Co. Real Estate, A Long & Foster Company (EVR1)",1120776.00
DCDC434556,RES,CLS,3128 Patterson Pl NW,Washington,"Washington, DC",4,1-Mar,Detached,7/31/2019,"Washington Fine Properties, LLC (WFP1)",1009000.00
DCDC433648,RES,CLS,5312 42nd St NW,Washington,"Washington, DC",5,1-Apr,Detached,8/30/2019,"Long & Foster Real Estate, Inc. (LNG194)",1855000.00
DCDC433240,RES,CLS,3346 Stuyvesant Pl NW,Washington,"Washington, DC",4,1-Apr,Detached,6/27/2019,Compass (COMPS2),1270000.00
DCDC433150,RES,CLS,3219 McKinley St NW,Washington,"Washington, DC",5,1-Mar,Detached,7/24/2019,"Washington Fine Properties, LLC (WFP1)",1492500.00
DCDC433022,RES,CLS,6007 34th Pl NW,Washington,"Washington, DC",3,1-Feb,Detached,8/1/2019,"Long & Foster Real Estate, Inc. (LNG42)",828000.00
DCDC432924,RES,CLS,6950 Greenvale St NW,Washington,"Washington, DC",4,1-Mar,Detached,8/19/2019,Compass (COMPS9),1299000.00
DCDC423022,RES,CLS,5611 Chevy Chase Pkwy NW,Washington,"Washington, DC",4,3,Detached,7/11/2019,"Long & Foster Real Estate, Inc. (LNG338)",1350000.00
DCDC432710,RES,CLS,3639 Jenifer St NW,Washington,"Washington, DC",3,1-Mar,Twin/Semi-Detached,7/31/2019,Spicer Real Estate (SPCR1),935000.00
DCDC432510,RES,CLS,5608 39th St NW,Washington,"Washington, DC",4,1-Feb,Twin/Semi-Detached,7/14/2019,Presidential Realty (PRE1),785000.00
DCDC432194,RES,CLS,6880 Oregon Ave NW,Washington,"Washington, DC",3,3,Detached,7/31/2019,Compass (COMPS2),925000.00
