MLS #,Cat,Status,Address,City,County,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price
DCDC436290,RES,CLS,631 D St NW #627,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/19/2019,Samson Properties (SAMP5),491900.00
DCDC432180,RES,CLS,616 E St NW #1210,Washington,"Washington, DC",1,1,Penthouse Unit/Flat/Apartment,8/2/2019,TTR Sotheby's International Realty (TTRS2),500000.00
DCDC434614,RES,CLS,601 Pennsylvania Ave NW #604,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,7/11/2019,Berkshire Hathaway HomeServices PenFed Realty (PFED4),582500.00
DCDC431814,RES,CLS,915 E St NW #415,Washington,"Washington, DC",3,3,Unit/Flat/Apartment,7/17/2019,Compass (COMPS1),799000.00
DCDC431780,RES,CLS,915 E St NW #412,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/23/2019,Compass (COMPS1),420000.00
DCDC432138,RES,CLS,616 E St NW #504,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,6/27/2019,Realty Brokerage Solutions LLC (RBSL1),462500.00
DCDC430858,RES,CLS,801 Pennsylvania Ave NW #1207,Washington,"Washington, DC",1,1,Penthouse Unit/Flat/Apartment,8/19/2019,KW Metro Center (KWR17),600000.00
DCDC431144,RES,CLS,616 E St NW #850,Washington,"Washington, DC",2,1-Feb,Unit/Flat/Apartment,8/12/2019,Compass (COMPS1),640000.00
DCDC427834,RES,CLS,801 Pennsylvania Ave NW #1203,Washington,"Washington, DC",1,Jan-00,Unit/Flat/Apartment,7/2/2019,Keller Williams Capital Properties (KWCP5),445000.00
DCDC427442,RES,CLS,616 E St NW #818,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,6/14/2019,Realty Brokerage Solutions LLC (RBSL1),795000.00
DCDC426038,RES,CLS,631 D St NW #330,Washington,"Washington, DC",1,Jan-00,Unit/Flat/Apartment,6/7/2019,Realty Brokerage Solutions LLC (RBSL1),476000.00
DCDC423298,RES,CLS,915 E St NW #1207,Washington,"Washington, DC",1,Jan-00,Unit/Flat/Apartment,7/3/2019,RE/MAX Allegiance (RMAX17),435000.00
DCDC421668,RES,CLS,616 E St NW #656,Washington,"Washington, DC",3,1-Feb,Unit/Flat/Apartment,7/25/2019,TTR Sotheby's International Realty (TTRS2),750000.00
DCDC421552,RES,CLS,701 Pennsylvania Ave NW #1016,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,6/1/2019,Compass (COMPS1),372000.00
DCDC421124,RES,CLS,616 E St NW #311,Washington,"Washington, DC",3,1-Feb,Penthouse Unit/Flat/Apartment,8/30/2019,"Premier Properties, LLC (PREM2)",949000.00
DCDC403032,RES,CLS,915 E St NW #607,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/15/2019,Samson Properties (SAMP1),410000.00
DCDC401556,RES,CLS,616 E St NW #801,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,6/28/2019,Berkshire Hathaway HomeServices PenFed Realty (PFED58),489900.00
DCDC400898,RES,CLS,616 E St NW #655,Washington,"Washington, DC",2,1-Feb,Unit/Flat/Apartment,7/26/2019,TTR Sotheby's International Realty (TTRS2),634500.00
