MLS #,Cat,Status,Address,City,County,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price
DCDC439476,RES,CLS,4101 Cathedral Ave NW #1207,Washington,"Washington, DC",2,1,Unit/Flat/Apartment,8/23/2019,Compass (COMPS1),435000.00
DCDC437176,RES,CLS,5116 Rockwood Pkwy NW,Washington,"Washington, DC",5,2-Apr,Detached,8/2/2019,TTR Sotheby's International Realty (TTRS4),2025000.00
DCDC100379,RES,CLS,4224 45th St NW,Washington,"Washington, DC",3,2,Detached,6/28/2019,Non Subscribing Office (NON1),1110500.00
DCDC437210,RES,CLS,3900 Watson Pl NW #5D,Washington,"Washington, DC",1,1,Penthouse Unit/Flat/Apartment,8/30/2019,"AEGIS REALTY COMPANY, LLC (DMVT1)",280000.00
DCDC436902,RES,CLS,3848 Porter St NW #F378,Washington,"Washington, DC",2,1,Unit/Flat/Apartment,8/22/2019,Fairfax Realty Elite (FXR13),487000.00
DCDC436534,RES,CLS,5304 Dorsett Pl NW,Washington,"Washington, DC",5,1-May,Detached,8/13/2019,TTR Sotheby's International Realty (TTRS5),2710000.00
DCDC435930,RES,CLS,3440 39th St NW #A691,Washington,"Washington, DC",1,2,Unit/Flat/Apartment,8/28/2019,Keller Williams Capital Properties (KWCP5),421000.00
DCDC434320,RES,CLS,4407 Fessenden St NW,Washington,"Washington, DC",4,1-Feb,Twin/Semi-Detached,8/29/2019,"Washington Fine Properties, LLC (WFP1)",917500.00
DCDC435890,RES,CLS,2404 Chain Bridge Rd NW,Washington,"Washington, DC",4,1-Mar,Detached,8/23/2019,Compass (COMPS2),1775000.00
DCDC435804,RES,CLS,3901 Alton Pl NW,Washington,"Washington, DC",2,Mar-00,Detached,8/30/2019,"Washington Fine Properties, LLC (WFP1)",1280000.00
DCDC434138,RES,CLS,4547 44th St NW,Washington,"Washington, DC",4,1-Feb,Twin/Semi-Detached,8/26/2019,RE/MAX Town Center (RXTC2),899900.00
DCDC434596,RES,CLS,3832 Porter St NW #E389,Washington,"Washington, DC",2,1,Unit/Flat/Apartment,8/2/2019,"Evers & Co. Real Estate, A Long & Foster Company (EVR1)",464000.00
DCDC433814,RES,CLS,3530 39th St NW #C-651,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/2/2019,Berkshire Hathaway HomeServices PenFed Realty (PFED4),365000.00
DCDC432782,RES,CLS,3801 Porter St NW #102,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/9/2019,Compass (COMPS2),379900.00
DCDC433318,RES,CLS,3024 Wisconsin Ave NW #204,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/26/2019,Keller Williams Capital Properties (KWCP1),309000.00
DCDC432918,RES,CLS,4200 Cathedral Ave NW #312A,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,8/26/2019,"Evers & Co. Real Estate, A Long & Foster Company (EVR1)",310000.00
DCDC431914,RES,CLS,3119 35th St NW,Washington,"Washington, DC",7,1-Mar,Detached,7/29/2019,TTR Sotheby's International Realty (TTRS4),2095000.00
DCDC432204,RES,CLS,3716 49th St NW,Washington,"Washington, DC",4,1-Apr,Detached,8/1/2019,"Washington Fine Properties, LLC (WFP1)",1225000.00
DCDC432030,RES,CLS,4101 Albemarle St NW #503,Washington,"Washington, DC",1,Jan-00,Unit/Flat/Apartment,8/22/2019,"Long & Foster Real Estate, Inc. (LNG336)",545000.00
