MLS #,Cat,Status,Address,City,County,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price
DCDC440218,RES,CLS,3717 S St NW,Washington,"Washington, DC",2,2,Row/Townhouse,8/29/2019,"Washington Fine Properties, LLC (WFP3)",950000.00
DCDC439924,RES,CLS,3909 W St NW,Washington,"Washington, DC",3,1-Feb,End of Row/Townhouse,8/27/2019,Compass (COMPS1),930000.00
DCDC438796,RES,CLS,3026 P St NW,Washington,"Washington, DC",5,2-May,Row/Townhouse,8/16/2019,"Washington Fine Properties, LLC (WFP3)",4800000.00
DCDC100389,RES,CLS,4717 Macarthur Blvd NW,Washington,"Washington, DC",3,2-Jan,Twin/Semi-Detached,8/30/2019,"Jackson B. Prentice Real Estate Services, LLC (JACP1)",869000.00
DCDC100249,RES,CLS,3123 Dumbarton St NW,Washington,"Washington, DC",6,1-Apr,Detached,8/1/2019,"Washington Fine Properties, LLC (WFP3)",9115000.00
DCDC436644,RES,CLS,3708 Fulton St NW,Washington,"Washington, DC",3,2-Feb,Row/Townhouse,8/29/2019,Brian Logan Real Estate (LGN1),1125000.00
DCDC436756,RES,CLS,1409 35th St NW,Washington,"Washington, DC",3,2,Twin/Semi-Detached,7/25/2019,Non Subscribing Office (NON1),1210000.00
DCDC436456,RES,CLS,3417 R St NW,Washington,"Washington, DC",5,1-Apr,Twin/Semi-Detached,8/30/2019,Compass (COMPS1),2425000.00
DCDC435650,RES,CLS,2445 Tunlaw Rd NW,Washington,"Washington, DC",3,1-Feb,Detached,8/16/2019,Compass (COMPS2),1049000.00
DCDC436286,RES,CLS,3540 W Pl NW,Washington,"Washington, DC",3,1-Mar,Row/Townhouse,7/22/2019,"Washington Fine Properties, LLC (WFP1)",1085000.00
DCDC435476,RES,CLS,2211 49th St NW,Washington,"Washington, DC",4,2-Mar,Detached,8/29/2019,"Washington Fine Properties, LLC (WFP3)",2875000.00
DCDC435886,RES,CLS,2111 Wisconsin Ave NW #521,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/29/2019,"Washington Fine Properties, LLC (WFP1)",409000.00
DCDC435620,RES,CLS,2800 Wisconsin Ave NW #611,Washington,"Washington, DC",0,1,Unit/Flat/Apartment,8/19/2019,TTR Sotheby's International Realty (TTRS4),194000.00
DCDC434328,RES,CLS,1521 Elliot Pl NW,Washington,"Washington, DC",2,1-Jan,Row/Townhouse,8/30/2019,"Long & Foster Real Estate, Inc. (LNG44)",775000.00
DCDC433808,RES,CLS,4000 Tunlaw Rd NW #604,Washington,"Washington, DC",0,1,Unit/Flat/Apartment,8/16/2019,"Long & Foster Real Estate, Inc. (LNG191)",177900.00
DCDC435136,RES,CLS,2306 44th St NW,Washington,"Washington, DC",2,Mar-00,Detached,8/13/2019,"Long & Foster Real Estate, Inc. (LNG338)",1650000.00
DCDC435090,RES,CLS,1524-1526 32nd St NW,Washington,"Washington, DC",2,2,Row/Townhouse,7/12/2019,"Washington Fine Properties, LLC (WFP1)",1250000.00
DCDC434974,RES,CLS,4481 Q St NW,Washington,"Washington, DC",5,1-Apr,Detached,8/30/2019,Compass (COMPS2),1615000.00
DCDC434906,RES,CLS,2650 39th St NW #3,Washington,"Washington, DC",2,1,End of Row/Townhouse,8/9/2019,Compass (COMPS2),440000.00
DCDC434620,RES,CLS,1015 33rd St NW #608,Washington,"Washington, DC",2,1-Feb,Unit/Flat/Apartment,8/27/2019,"Washington Fine Properties, LLC (WFP1)",854000.00
DCDC434112,RES,CLS,4428 Lingan Rd NW,Washington,"Washington, DC",3,1-Mar,Row/Townhouse,8/12/2019,Remax Realty Services (RBE5),919450.00
DCDC434024,RES,CLS,4616 Garfield St NW,Washington,"Washington, DC",4,3,Detached,7/5/2019,TTR Sotheby's International Realty (TTRS8),1800000.00
DCDC433862,RES,CLS,1045 31st St NW #505,Washington,"Washington, DC",2,1-Feb,Penthouse Unit/Flat/Apartment,8/20/2019,"Long & Foster Real Estate, Inc. (LNG147)",865000.00
DCDC433950,RES,CLS,2428 39th Pl NW,Washington,"Washington, DC",3,1-Feb,Row/Townhouse,8/15/2019,"Long & Foster Real Estate, Inc. (LNG44)",1022500.00
DCDC433508,RES,CLS,5 Pomander Walk NW,Washington,"Washington, DC",1,1,Row/Townhouse,8/22/2019,Jack Realty Group (CGL1),650000.00
DCDC433222,RES,CLS,2800 Wisconsin Ave NW #211,Washington,"Washington, DC",,,Unit/Flat/Apartment,7/31/2019,TTR Sotheby's International Realty (TTRS4),177000.00
DCDC432926,RES,CLS,3812 Garfield St NW,Washington,"Washington, DC",3,1-Mar,Twin/Semi-Detached,7/31/2019,Compass (COMPS1),1595000.00
DCDC432806,RES,CLS,3503 Fulton St NW,Washington,"Washington, DC",7,2-Apr,Detached,6/26/2019,TTR Sotheby's International Realty (TTRS2),2875000.00
DCDC432962,RES,CLS,2247 47th St NW,Washington,"Washington, DC",2,1,Detached,6/27/2019,"Long & Foster Real Estate, Inc (LNG333)",1425000.00
DCDC432658,RES,CLS,3011 Dent Pl NW,Washington,"Washington, DC",3,1-Jan,End of Row/Townhouse,6/25/2019,"Washington Fine Properties, LLC (WFP3)",1480000.00
DCDC432126,RES,CLS,4114 Davis Pl NW #4,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/23/2019,"Washington Fine Properties, LLC (WFP1)",380777.00
DCDC432342,RES,CLS,2500 Q St NW #240,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/15/2019,TTR Sotheby's International Realty (TTRS2),345000.00
DCDC432108,RES,CLS,1414 Foxhall Rd NW,Washington,"Washington, DC",3,2,Row/Townhouse,7/26/2019,Compass (COMPS2),1005000.00
DCDC431388,RES,CLS,3237 N St NW #16,Washington,"Washington, DC",1,1,Row/Townhouse,7/19/2019,Compass (COMPS2),474900.00
DCDC431520,RES,CLS,4620 Foxhall Cres NW,Washington,"Washington, DC",4,1-Apr,Detached,8/30/2019,TTR Sotheby's International Realty (TTRS4),2295000.00
DCDC430372,RES,CLS,4570 Macarthur Blvd NW #T1,Washington,"Washington, DC",0,1,Unit/Flat/Apartment,6/28/2019,Jeffrey Charles and Associates INC (JCHA1),140000.00
DCDC431506,RES,CLS,4865 Potomac Ave NW,Washington,"Washington, DC",7,2-Jun,Detached,8/22/2019,TTR Sotheby's International Realty (TTRS2),2600000.00
DCDC430880,RES,CLS,3900 Tunlaw Rd NW #612,Washington,"Washington, DC",1,1,Penthouse Unit/Flat/Apartment,8/23/2019,"Long & Foster Real Estate, Inc. (LNG338)",236000.00
DCDC431402,RES,CLS,4649 Garfield St NW,Washington,"Washington, DC",5,1-May,Detached,8/29/2019,"Washington Fine Properties, LLC (WFP1)",1700000.00
DCDC430130,RES,CLS,3917 Benton St NW,Washington,"Washington, DC",5,1-Apr,End of Row/Townhouse,7/17/2019,Compass (COMPS2),1303000.00
DCDC430728,RES,CLS,2111 Wisconsin Ave NW #424,Washington,"Washington, DC",0,1,Unit/Flat/Apartment,7/1/2019,Compass (COMPS2),279000.00
DCDC430690,RES,CLS,3757 Benton St NW,Washington,"Washington, DC",4,2,Row/Townhouse,7/15/2019,"Long & Foster Real Estate, Inc. (LNG338)",1025750.00
DCDC430220,RES,CLS,3258 O St NW,Washington,"Washington, DC",3,1-Mar,Twin/Semi-Detached,8/23/2019,"Washington Fine Properties, LLC (WFP3)",2350000.00
