MLS #,Cat,Status,Address,City,County,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price
DCDC430456,RES,CLS,1652 29th St NW,Washington,"Washington, DC",3,3,Row/Townhouse,7/24/2019,"Washington Fine Properties, LLC (WFP3)",1590000.00
DCDC430378,RES,CLS,1080 Wisconsin Ave NW #1012,Washington,"Washington, DC",1,1-Jan,Unit/Flat/Apartment,7/18/2019,"Pearson Smith Realty, LLC (PSTH1)",476000.00
DCDC430392,RES,CLS,2400 41st St NW #513,Washington,"Washington, DC",2,1,Unit/Flat/Apartment,7/22/2019,Century 21 Redwood Realty (RDWG9),370000.00
DCDC430128,RES,CLS,2725 39th St NW #310,Washington,"Washington, DC",2,1,Unit/Flat/Apartment,7/26/2019,KW Metro Center (KWR9),422500.00
DCDC427910,RES,CLS,3547 Winfield Ln NW,Washington,"Washington, DC",5,5,Row/Townhouse,7/23/2019,"McEnearney Associates, Inc. (MCE7)",1600000.00
DCDC429058,RES,CLS,2735 P St NW,Washington,"Washington, DC",4,1-Apr,Row/Townhouse,8/23/2019,"Washington Fine Properties, LLC (WFP1)",3495000.00
DCDC429844,RES,CLS,2828 Wisconsin Ave NW #301,Washington,"Washington, DC",3,1-Feb,Unit/Flat/Apartment,7/30/2019,TTR Sotheby's International Realty (TTRS2),875000.00
DCDC427832,RES,CLS,1516 26th St NW,Washington,"Washington, DC",2,1,Row/Townhouse,8/2/2019,"Washington Fine Properties, LLC (WFP3)",819000.00
DCDC429172,RES,CLS,4100 W St NW #515,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/29/2019,Compass (COMPS2),267500.00
DCDC429158,RES,CLS,3714 Garfield St NW,Washington,"Washington, DC",4,1-Mar,Row/Townhouse,6/14/2019,TTR Sotheby's International Realty (TTRS8),1500000.00
DCDC428020,RES,CLS,2325 42nd St NW #405,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,6/28/2019,Redfin Corp (REFC3),310000.00
DCDC428920,RES,CLS,4001 Davis Pl NW #3,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,6/28/2019,Compass (COMPS1),363700.00
DCDC428028,RES,CLS,3657 Winfield Ln NW,Washington,"Washington, DC",5,1-May,Row/Townhouse,7/8/2019,Redfin Corp (REFC3),1770000.00
DCDC428836,RES,CLS,2500 Q St NW #524,Washington,"Washington, DC",0,1,Unit/Flat/Apartment,7/18/2019,TTR Sotheby's International Realty (TTRS2),235000.00
DCDC428454,RES,CLS,1229 29th St NW,Washington,"Washington, DC",2,1-Feb,Twin/Semi-Detached,6/11/2019,"Washington Fine Properties, LLC (WFP1)",1275000.00
DCDC428324,RES,CLS,2828 Wisconsin Ave NW #309,Washington,"Washington, DC",2,1-Feb,Unit/Flat/Apartment,6/27/2019,"Washington Fine Properties, LLC (WFP1)",729000.00
DCDC427870,RES,CLS,4004 Edmunds St NW #7,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,7/25/2019,"Washington Fine Properties, LLC (WFP1)",600000.00
DCDC427594,RES,CLS,4000 Tunlaw Rd NW #730,Washington,"Washington, DC",2,1,Unit/Flat/Apartment,6/17/2019,RE/MAX Town Center (RXTC2),365000.00
DCDC427712,RES,CLS,3909 Hillandale Ct NW,Washington,"Washington, DC",3,2-Mar,Row/Townhouse,7/2/2019,Washington Fine Properties (WFP9),1790000.00
DCDC427090,RES,CLS,1014 Paper Mill Ct NW,Washington,"Washington, DC",2,1-Jan,Row/Townhouse,6/12/2019,Compass (COMPS2),696000.00
DCDC427670,RES,CLS,5033 V St NW,Washington,"Washington, DC",3,1-Feb,End of Row/Townhouse,7/15/2019,Century 21 Redwood Realty (RDWG9),775775.00
DCDC427570,RES,CLS,2801 New Mexico Ave NW #203,Washington,"Washington, DC",2,1-Feb,Unit/Flat/Apartment,6/21/2019,"Long & Foster Real Estate, Inc. (LNG338)",901000.00
DCDC427032,RES,CLS,4420 Reservoir Rd NW,Washington,"Washington, DC",4,Feb-00,Row/Townhouse,6/14/2019,"Long & Foster Real Estate, Inc. (LNG42)",940140.00
DCDC425042,RES,CLS,2325 42nd St NW #410,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,6/20/2019,"Washington Fine Properties, LLC (WFP3)",326000.00
DCDC426296,RES,CLS,2303 38th St NW,Washington,"Washington, DC",3,Feb-00,Row/Townhouse,7/1/2019,TTR Sotheby's International Realty (TTRS2),1000000.00
DCDC426240,RES,CLS,1345 28th St NW,Washington,"Washington, DC",2,1,Row/Townhouse,7/31/2019,"Long & Foster Real Estate, Inc. (LNG83)",890000.00
DCDC426528,RES,CLS,2815 Dumbarton St NW,Washington,"Washington, DC",2,1-Feb,Twin/Semi-Detached,8/15/2019,"Washington Fine Properties, LLC (WFP3)",2140000.00
DCDC426468,RES,CLS,3918 W St NW #5,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,6/24/2019,Redfin Corp (REFC3),615000.00
DCDC425802,RES,CLS,4614 Laverock Pl NW,Washington,"Washington, DC",4,1-Mar,Detached,7/29/2019,"Washington Fine Properties, LLC (WFP1)",2300000.00
DCDC426272,RES,CLS,1408 Foxhall Rd NW,Washington,"Washington, DC",4,1-Mar,Twin/Semi-Detached,6/26/2019,TTR Sotheby's International Realty (TTRS2),930500.00
DCDC424616,RES,CLS,4100 W St NW #415,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,6/14/2019,McEnearney Associates (MCE14),299000.00
DCDC425924,RES,CLS,3925 Davis Pl NW #206,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,6/21/2019,Redfin Corp (REFC3),224900.00
DCDC426034,RES,CLS,3127 P St NW,Washington,"Washington, DC",5,1-Apr,Detached,6/12/2019,TTR Sotheby's International Realty (TTRS2),3548333.00
DCDC424192,RES,CLS,1922 35th Pl NW,Washington,"Washington, DC",2,1-Jan,Row/Townhouse,6/21/2019,"Long & Foster Real Estate, Inc. (LNG1)",835000.00
DCDC425826,RES,CLS,3120 R St NW #206,Washington,"Washington, DC",1,Jan-00,Unit/Flat/Apartment,6/26/2019,TTR Sotheby's International Realty (TTRS2),383625.00
DCDC425484,RES,CLS,4517 Hoban Rd NW,Washington,"Washington, DC",6,2-Jun,Detached,7/8/2019,"CSK Residential, Inc. (CSKR1)",2958285.00
DCDC423934,RES,CLS,2801 New Mexico Ave NW #712,Washington,"Washington, DC",1,1-Jan,Unit/Flat/Apartment,8/9/2019,"Long & Foster Real Estate, Inc. (LNG1)",432500.00
DCDC425328,RES,CLS,3128 N St NW,Washington,"Washington, DC",3,1-Feb,Twin/Semi-Detached,6/19/2019,Compass (COMPS3),1700000.00
DCDC424262,RES,CLS,2424 Tunlaw Rd NW,Washington,"Washington, DC",4,2-Feb,Row/Townhouse,7/11/2019,TTR Sotheby's International Realty (TTRS5),1075000.00
DCDC424926,RES,CLS,1627 33rd St NW,Washington,"Washington, DC",4,Mar-00,Row/Townhouse,6/11/2019,TTR Sotheby's International Realty (TTRS2),1140000.00
DCDC424698,RES,CLS,1308 29th St NW,Washington,"Washington, DC",6,1-May,Twin/Semi-Detached,8/29/2019,"Long & Foster Real Estate, Inc. (LNG336)",2700000.00
DCDC399356,RES,CLS,2205 Observatory Pl NW,Washington,"Washington, DC",3,2,Row/Townhouse,6/14/2019,"Long & Foster Real Estate, Inc. (LNG42)",839000.00
DCDC423212,RES,CLS,1916 35th Pl NW,Washington,"Washington, DC",2,1,Row/Townhouse,6/18/2019,Redfin Corp (REFC3),810000.00
DCDC424980,RES,CLS,3020 R St NW #3,Washington,"Washington, DC",2,1,Unit/Flat/Apartment,6/19/2019,Coldwell Banker Residential Brokerage (CBRB106),685000.00
DCDC423218,RES,CLS,3609 S St NW,Washington,"Washington, DC",4,1-Feb,Row/Townhouse,6/27/2019,Redfin Corp (REFC3),970000.00
DCDC424000,RES,CLS,3100 N St NW #6A,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,7/25/2019,"Washington Fine Properties, LLC (WFP3)",1550000.00
DCDC424484,RES,CLS,4114 Davis Pl NW #118,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,6/27/2019,EXP Realty (EXXPR1),289000.00
DCDC423746,RES,CLS,2801 New Mexico Ave NW #305,Washington,"Washington, DC",2,Feb-00,Unit/Flat/Apartment,6/25/2019,"Washington Fine Properties, LLC (WFP1)",790000.00
DCDC422352,RES,CLS,4870 Macarthur Blvd NW #6,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,6/25/2019,"Long & Foster Real Estate, Inc. (LNG147)",275000.00
DCDC422572,RES,CLS,4721 Fulton St NW,Washington,"Washington, DC",4,1-Mar,Detached,6/10/2019,"Washington Fine Properties, LLC (WFP1)",1476500.00
DCDC423504,RES,CLS,1646 32nd St NW,Washington,"Washington, DC",2,1-Feb,Row/Townhouse,7/15/2019,"Washington Fine Properties, LLC (WFP3)",1695000.00
DCDC422990,RES,CLS,3254 Jones Ct NW,Washington,"Washington, DC",3,1-Feb,Row/Townhouse,6/10/2019,"McEnearney Associates, Inc. (MCE7)",1035000.00
DCDC423174,RES,CLS,2800 Wisconsin Ave NW #403,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/16/2019,Keller Williams Capital Properties (KWCP2),279900.00
DCDC420970,RES,CLS,3825 Beecher St NW,Washington,"Washington, DC",3,2,Row/Townhouse,6/7/2019,Coldwell Banker Residential Brokerage (CBRB106),965000.00
DCDC422546,RES,CLS,1724 35th St NW,Washington,"Washington, DC",4,1-Mar,End of Row/Townhouse,6/30/2019,"Washington Fine Properties, LLC (WFP1)",1850000.00
DCDC422270,RES,CLS,2800 Wisconsin Ave NW #108,Washington,"Washington, DC",0,1,Unit/Flat/Apartment,7/15/2019,"Long & Foster Real Estate, Inc. (LNG194)",215000.00
DCDC422252,RES,CLS,1015 33rd St NW #703,Washington,"Washington, DC",2,1-Feb,Unit/Flat/Apartment,7/15/2019,TTR Sotheby's International Realty (TTRS2),815000.00
DCDC422188,RES,CLS,1243 34th St NW,Washington,"Washington, DC",3,1-Feb,Row/Townhouse,6/14/2019,"Washington Fine Properties, LLC (WFP3)",1300000.00
DCDC421086,RES,CLS,3239 N St NW #11,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,6/16/2019,Keller Williams Capital Properties (KWCP1),519900.00
DCDC421688,RES,CLS,4833 Reservoir Rd NW,Washington,"Washington, DC",3,1-Mar,Row/Townhouse,6/12/2019,Nomadic Real Estate Broker Services (NREP1),860000.00
DCDC403442,RES,CLS,4350 P St NW,Washington,"Washington, DC",4,1-Apr,Detached,6/10/2019,TTR Sotheby's International Realty (TTRS2),1495000.00
DCDC421786,RES,CLS,2500 Q St NW #413,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,6/24/2019,Compass (COMPS1),545000.00
DCDC421444,RES,CLS,4635 Charleston Ter NW,Washington,"Washington, DC",3,1-Mar,Detached,6/13/2019,TTR Sotheby's International Realty (TTRS2),1665000.00
DCDC421286,RES,CLS,3317 Prospect St NW,Washington,"Washington, DC",5,2-Apr,Detached,7/31/2019,"Washington Fine Properties, LLC (WFP3)",4350000.00
DCDC420808,RES,CLS,2804 N St NW,Washington,"Washington, DC",4,1-Mar,Detached,8/6/2019,"Washington Fine Properties, LLC (WFP3)",2900000.00
DCDC401326,RES,CLS,1337 28th St NW,Washington,"Washington, DC",2,1,Row/Townhouse,7/19/2019,"Washington Fine Properties, LLC (WFP1)",837000.00
DCDC420516,RES,CLS,3330 Reservoir Rd NW,Washington,"Washington, DC",4,1-Apr,Row/Townhouse,6/27/2019,"Washington Fine Properties, LLC (WFP1)",3825000.00
DCDC403798,RES,CLS,2400 41st St NW #515,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,6/7/2019,Redfin Corp (REFC3),292500.00
DCDC420162,RES,CLS,1609 31st St NW,Washington,"Washington, DC",5,1-Apr,Detached,6/18/2019,"Washington Fine Properties, LLC (WFP3)",4875000.00
DCDC403950,RES,CLS,2500 Q St NW #727,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/15/2019,KW Metro Center (KWR17),448000.00
DCDC411370,RES,CLS,4000 Tunlaw Rd NW #217,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/16/2019,TTR Sotheby's International Realty (TTRS4),270000.00
DCDC403278,RES,CLS,4022 Highwood Ct NW,Washington,"Washington, DC",4,1-Mar,Row/Townhouse,6/3/2019,TTR Sotheby's International Realty (TTRS2),1825000.00
DCDC400072,RES,CLS,4570 Macarthur Blvd NW #201,Washington,"Washington, DC",0,1,Unit/Flat/Apartment,6/6/2019,Gallagher & Co. Real Estate Inc. (GALC1),185000.00
DCDC402280,RES,CLS,3251 NW Prospect St NW #412,Washington,"Washington, DC",2,1-Feb,Unit/Flat/Apartment,6/5/2019,"Long & Foster Real Estate, Inc. (LNG42)",920000.00
DCDC365700,RES,CLS,4600 Kenmore Dr NW,Washington,"Washington, DC",7,2-May,Detached,6/3/2019,Compass (COMPS4),1935000.00
DCDC401532,RES,CLS,1805 Hoban Rd NW,Washington,"Washington, DC",6,2-Jul,Detached,6/28/2019,"Washington Fine Properties, LLC (WFP1)",4150000.00
DCDC401104,RES,CLS,2233 40th Pl NW #3,Washington,"Washington, DC",2,1,Unit/Flat/Apartment,7/24/2019,McEnearney Associates (MCE14),465000.00
DCDC400878,RES,CLS,2801 New Mexico Ave NW #808,Washington,"Washington, DC",2,1-Feb,Unit/Flat/Apartment,7/16/2019,"Washington Fine Properties, LLC (WFP1)",860000.00
DCDC400598,RES,CLS,1038 Paper Mill Ct NW #1038,Washington,"Washington, DC",2,1-Jan,Row/Townhouse,6/17/2019,TTR Sotheby's International Realty (TTRS2),715000.00
DCDC400102,RES,CLS,3329 Prospect St NW #1,Washington,"Washington, DC",2,1-Feb,Unit/Flat/Apartment,8/23/2019,TTR Sotheby's International Realty (TTRS5),2650000.00
DCDC399736,RES,CLS,4100 W St NW #212,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,6/6/2019,"Evers & Co. Real Estate, A Long & Foster Company (EVR1)",265000.00
DCDC399404,RES,CLS,2500 Q St NW #601,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,6/24/2019,TTR Sotheby's International Realty (TTRS2),449000.00
DCDC365576,RES,CLS,4000 Tunlaw Rd NW #700,Washington,"Washington, DC",0,1,Unit/Flat/Apartment,6/28/2019,"Long & Foster Real Estate, Inc. (LNG194)",175000.00
DCDC364920,RES,CLS,3128 N St NW,Washington,"Washington, DC",3,1-Feb,Twin/Semi-Detached,6/30/2019,Compass (COMPS3),1700000.00
DCDC321346,RES,CLS,2001 37th St NW,Washington,"Washington, DC",2,2,End of Row/Townhouse,7/18/2019,Taylor Properties (TAYL1),805000.00
DCDC310878,RES,CLS,1342 27th St NW,Washington,"Washington, DC",2,Jan-00,End of Row/Townhouse,6/4/2019,"Washington Fine Properties, LLC (WFP1)",957500.00
DCDC308050,RES,CLS,2801 New Mexico Ave NW #1023,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/3/2019,"City Houses, LLC (CHS1)",350000.00
DCDC102044,RES,CLS,3251 Prospect St NW #402,Washington,"Washington, DC",4,1-Apr,Penthouse Unit/Flat/Apartment,6/17/2019,"Washington Fine Properties, LLC (WFP1)",2300000.00
1009081398,RES,CLS,4513 Hoban Rd NW,Washington,"Washington, DC",6,2-Jun,Detached,8/26/2019,"CSK Residential, Inc. (CSKR1)",2941010.00
