MLS #,Cat,Status,Address,City,County,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price
DCDC437144,RES,CLS,3351 Dubois Pl SE,Washington,"Washington, DC",3,2,End of Row/Townhouse,8/26/2019,RLAH Real Estate (RLAH4),402000.00
DCDC437108,RES,CLS,4318 H St SE,Washington,"Washington, DC",5,Mar-00,Detached,7/29/2019,Compass (COMPS3),627000.00
DCDC436706,RES,CLS,750 Barnes St NE,Washington,"Washington, DC",3,1-Mar,End of Row/Townhouse,8/19/2019,Exit Flagship Realty (GPPLL1),465000.00
DCDC436384,RES,CLS,4724 Benning Rd SE #302,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/29/2019,Dependence Realty Trust (DRT1),110000.00
DCDC436346,RES,CLS,3450 Dix St NE,Washington,"Washington, DC",3,1,Row/Townhouse,8/15/2019,Berkshire Hathaway HomeServices PenFed Realty (PFED58),435000.00
DCDC436584,RES,CLS,217 56th St NE,Washington,"Washington, DC",2,1-Jan,Twin/Semi-Detached,8/30/2019,Taylor Properties (TAYL1),335000.00
DCDC436030,RES,CLS,331 56th St NE,Washington,"Washington, DC",3,1-Feb,Detached,8/23/2019,Bennett Realty Solutions (EXBR1),400000.00
DCDC435776,RES,CLS,150 35th St NE,Washington,"Washington, DC",2,1,Row/Townhouse,8/9/2019,Compass (COMPS4),330000.00
DCDC435482,RES,CLS,25 47th St SE,Washington,"Washington, DC",4,1-Jan,Twin/Semi-Detached,8/27/2019,Century 21 New Millennium (CENT2007),290000.00
DCDC435678,RES,CLS,5090 Kimi Gray Ct SE,Washington,"Washington, DC",3,1-Feb,End of Row/Townhouse,8/26/2019,Century 21 New Millennium (CENT2030),394000.00
DCDC435298,RES,CLS,3920 E Capitol St NE,Washington,"Washington, DC",3,1-Jan,Row/Townhouse,7/31/2019,Fairfax Realty Elite (FXR4),275000.00
DCDC427236,RES,CLS,4531 NE Eads Pl NE,Washington,"Washington, DC",2,1,Twin/Semi-Detached,8/9/2019,Exit Elite Realty (EER2),200000.00
DCDC434958,RES,CLS,5215 Just St NE,Washington,"Washington, DC",2,2,Twin/Semi-Detached,8/20/2019,"Allfirst Realty, Inc. (AFRI1)",346000.00
DCDC435198,RES,CLS,819 52nd St NE,Washington,"Washington, DC",3,2,Twin/Semi-Detached,8/6/2019,"Allfirst Realty, Inc. (AFRI1)",384000.00
DCDC435190,RES,CLS,5219 C St SE,Washington,"Washington, DC",3,1-Feb,Detached,8/27/2019,Homes By Owner (HBO1),459000.00
DCDC435010,RES,CLS,337 35th St NE,Washington,"Washington, DC",3,1-Mar,Row/Townhouse,8/6/2019,Fairfax Realty Elite (FXR4),480000.00
DCDC434482,RES,CLS,317 34th Pl NE,Washington,"Washington, DC",3,1,Row/Townhouse,7/30/2019,Redfin Corp (REFC3),335000.00
DCDC434646,RES,CLS,4724 Benning Rd SE #403,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/5/2019,RE/MAX Specialists (RMSP1),103000.00
DCDC434230,RES,CLS,3206 Loud Pl SE,Washington,"Washington, DC",3,2,Detached,8/22/2019,Trammell Real Estate Group (TRAM1),430000.00
DCDC434210,RES,CLS,5446 C St SE,Washington,"Washington, DC",2,2,Twin/Semi-Detached,8/28/2019,RE/MAX Excellence Realty (RXER1),230000.00
DCDC433900,RES,CLS,731 Croissant Pl SE,Washington,"Washington, DC",2,1,Detached,7/23/2019,Compass (COMPS1),353000.00
DCDC434062,RES,CLS,4325 Minnesota Ave NE,Washington,"Washington, DC",4,1,Detached,7/31/2019,Berkshire Hathaway HomeServices Select Realty (BHHSS6),240000.00
DCDC433752,RES,CLS,4222 Southern Ave SE,Washington,"Washington, DC",3,1,End of Row/Townhouse,8/23/2019,Keller Williams Realty (KWR4),240000.00
DCDC433768,RES,CLS,232 Division Ave NE,Washington,"Washington, DC",4,1-Feb,End of Row/Townhouse,8/12/2019,"Help-U-Sell Federal City Realty, LLC (HFED1)",439999.00
DCDC433468,RES,CLS,4430 NE Kane Pl NE,Washington,"Washington, DC",3,1-Feb,Detached,7/30/2019,RLAH Real Estate (RLAH2),449900.00
DCDC430648,RES,CLS,836 Division Ave NE,Washington,"Washington, DC",2,2,Row/Townhouse,8/22/2019,CityDwellers LLC (CDL1),325000.00
DCDC432896,RES,CLS,4521 C St SE,Washington,"Washington, DC",4,2,Detached,8/26/2019,Coldwell Banker Residential Brokerage (CBRB106),489500.00
DCDC432756,RES,CLS,4519 Gault Pl NE,Washington,"Washington, DC",4,2,Detached,7/26/2019,Exit Elite Realty (EER2),300000.00
DCDC432542,RES,CLS,522 57th St NE,Washington,"Washington, DC",4,3,End of Row/Townhouse,8/30/2019,RE/MAX Specialists (RMSP1),425000.00
DCDC432430,RES,CLS,4009 E St SE,Washington,"Washington, DC",3,1-Mar,End of Row/Townhouse,8/30/2019,Coldwell Banker Residential Brokerage (CBRB106),399000.00
DCDC431776,RES,CLS,3737 Cassell Pl NE,Washington,"Washington, DC",4,1-Feb,Row/Townhouse,8/15/2019,Compass (COMPS1),392500.00
DCDC431808,RES,CLS,3322 Ely Pl SE,Washington,"Washington, DC",4,3,Detached,8/31/2019,Compass (COMPS1),335000.00
DCDC431612,RES,CLS,4208 Benning Rd NE #3,Washington,"Washington, DC",2,1,Unit/Flat/Apartment,7/31/2019,Keller Williams Preferred Properties (KWPP1),140000.00
DCDC431574,RES,CLS,5045 E Capitol St SE,Washington,"Washington, DC",3,3,Twin/Semi-Detached,7/3/2019,Compass (COMPS1),450000.00
DCDC431478,RES,CLS,352 Burbank St SE,Washington,"Washington, DC",2,1-Jan,Twin/Semi-Detached,7/31/2019,Harbor Realty & Investments LLC (HRIV1),338000.00
DCDC429838,RES,CLS,4622 Hayes St NE,Washington,"Washington, DC",2,1-Jan,Twin/Semi-Detached,7/26/2019,Keller Williams Realty (KWR8),343000.00
DCDC431296,RES,CLS,4684 A St SE,Washington,"Washington, DC",2,2,Twin/Semi-Detached,8/21/2019,"Raj Mahal Properties, LLC. (RAJM1)",360000.00
DCDC429092,RES,CLS,5525 Central Ave SE,Washington,"Washington, DC",2,2,Row/Townhouse,6/28/2019,CENTURY 21 Envision (ENVI1),230000.00
DCDC431072,RES,CLS,1015 48th St NE,Washington,"Washington, DC",3,1-Feb,Detached,8/2/2019,Keller Williams Capital Properties (KWCP1),440000.00
DCDC430540,RES,CLS,66 55th St SE,Washington,"Washington, DC",3,2,Twin/Semi-Detached,8/27/2019,The ONE Street Company (ONERE1),462000.00
DCDC430568,RES,CLS,28 50th St NE,Washington,"Washington, DC",4,4,Detached,8/8/2019,"Classic Realty, Ltd. (CLSS1)",560000.00
DCDC430560,RES,CLS,5109 A St SE,Washington,"Washington, DC",4,3,Detached,8/7/2019,"Long & Foster Real Estate, Inc. (LNG176)",423900.00
DCDC430534,RES,CLS,4229 Hayes St NE,Washington,"Washington, DC",4,1-Mar,Detached,7/9/2019,Coldwell Banker Residential Brokerage (CBRB106),478000.00
