MLS #,Cat,Status,Address,City,County,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price
DCDC438374,RES,CLS,1316 New Hampshire Ave NW #209,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/30/2019,Compass (COMPS2),424000.00
DCDC436818,RES,CLS,1520 16th St NW #302,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,8/27/2019,"Washington Fine Properties, LLC (WFP1)",585000.00
DCDC434410,RES,CLS,1 Scott Cir NW #1,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/27/2019,KW Metro Center (KWR19),394000.00
DCDC435664,RES,CLS,1330 New Hampshire Ave NW #424,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/30/2019,TTR Sotheby's International Realty (TTRS5),335000.00
DCDC435048,RES,CLS,2017 O St NW #G,Washington,"Washington, DC",1,1,End of Row/Townhouse,8/19/2019,Compass (COMPS2),360000.00
DCDC432788,RES,CLS,1711 Massachusetts Ave NW #422,Washington,"Washington, DC",,1,Unit/Flat/Apartment,8/12/2019,RLAH Real Estate (RLAH2),300000.00
DCDC434122,RES,CLS,1330 NW 21st St NW #2,Washington,"Washington, DC",3,1-Feb,Row/Townhouse,8/8/2019,TTR Sotheby's International Realty (TTRS4),1110000.00
DCDC433892,RES,CLS,1301 20th St NW #908,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/5/2019,Compass (COMPS1),359900.00
DCDC433368,RES,CLS,1310 21st St NW,Washington,"Washington, DC",4,1-Mar,Row/Townhouse,8/29/2019,TTR Sotheby's International Realty (TTRS2),2207550.00
DCDC429278,RES,CLS,1320 21st St NW #202,Washington,"Washington, DC",2,1,Unit/Flat/Apartment,8/2/2019,"Long & Foster Real Estate, Inc. (LNG1)",575000.00
DCDC432912,RES,CLS,1745 NW N St NW #207,Washington,"Washington, DC",1,Jan-00,Unit/Flat/Apartment,7/29/2019,McWilliams/Ballard Inc. (MCWB1),635000.00
DCDC432082,RES,CLS,1526 17th St NW #105,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/5/2019,TTR Sotheby's International Realty (TTRS8),339000.00
DCDC431554,RES,CLS,1545 18th St NW #420,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/31/2019,"District Real Estate, LLC. (DCRLS1)",465000.00
DCDC430954,RES,CLS,1718 P St NW #617,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,6/28/2019,Compass (COMPS2),367718.00
DCDC431034,RES,CLS,1301 20th St NW #906,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/23/2019,Compass (COMPS1),414900.00
DCDC431070,RES,CLS,1500 17th St NW ## Unit A,Washington,"Washington, DC",2,1-Feb,Twin/Semi-Detached,8/28/2019,McWilliams/Ballard Inc. (MCWB1),1275000.00
DCDC430756,RES,CLS,1319 21st St NW,Washington,"Washington, DC",6,1-Apr,Row/Townhouse,8/16/2019,Coldwell Banker Residential Brokerage (CBRB106),1950000.00
DCDC429926,RES,CLS,1301 20th St NW #902,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/5/2019,RLAH Real Estate (RLAH5),385000.00
DCDC430190,RES,CLS,1330 New Hampshire Ave NW #218,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/19/2019,TTR Sotheby's International Realty (TTRS4),410000.00
DCDC430046,RES,CLS,1718 P St NW #807,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/3/2019,Keller Williams Capital Properties (KWCP1),485000.00
DCDC430072,RES,CLS,1330 New Hampshire Ave NW #1001,Washington,"Washington, DC",2,2,Penthouse Unit/Flat/Apartment,6/28/2019,"Washington Fine Properties ,LLC (WFP8)",896500.00
DCDC429134,RES,CLS,1545 18th St NW #119,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/23/2019,"Long & Foster Real Estate, Inc. (LNG44)",425000.00
DCDC428622,RES,CLS,1745 N St NW #306,Washington,"Washington, DC",1,1-Jan,Unit/Flat/Apartment,6/26/2019,McWilliams/Ballard Inc. (MCWB1),629900.00
DCDC426870,RES,CLS,1409 21st St NW #A,Washington,"Washington, DC",0,1,Unit/Flat/Apartment,7/1/2019,Redfin Corp (REFC3),300000.00
DCDC427456,RES,CLS,1330 New Hampshire Ave NW #311,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,6/27/2019,Samson Properties (SAMP1),330000.00
