MLS #,Cat,Status,Address,City,County,Zip,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price
1005113120,RES,CLS,631 D St NW #932,Washington,"Washington, DC",20004,1,Jan-00,Unit/Flat/Apartment,4/27/09,"SJM Properties, Inc. (SJM1)","$399,000 "
1005144180,RES,CLS,801 Pennsylvania Ave NW #1004,Washington,"Washington, DC",20004,1,Jan-00,Unit/Flat/Apartment,7/2/09,Randall H. Hagner & Company (HAG1),"$281,000 "
1005144936,RES,CLS,601 Pennsylvania Ave NW #211,Washington,"Washington, DC",20004,1,Jan-00,Unit/Flat/Apartment,5/15/09,"Long & Foster Real Estate, Inc. (LNG35)","$307,500 "
1005169590,RES,CLS,601 Pennsylvania Ave NW #1104,Washington,"Washington, DC",20004,1,Jan-00,Unit/Flat/Apartment,6/15/09,Keller Williams Capital Properties (KWCP1),"$345,000 "
1005170476,RES,CLS,616 E St NW #409,Washington,"Washington, DC",20004,1,Jan-00,Unit/Flat/Apartment,4/24/09,Coldwell Banker Residential Brokerage (CBRB53),"$350,000 "
1005173048,RES,CLS,631 D St NW #629,Washington,"Washington, DC",20004,1,Jan-00,Unit/Flat/Apartment,3/26/09,"Long & Foster Real Estate, Inc. (LNG84)","$389,900 "
1005175360,RES,CLS,616 E St NW #215,Washington,"Washington, DC",20004,1,Jan-00,Unit/Flat/Apartment,4/30/09,Prudential Carruthers REALTORS (PCR23),"$349,000 "
1005181106,RES,CLS,616 E St NW #246,Washington,"Washington, DC",20004,2,1-Feb,Unit/Flat/Apartment,8/19/09,RE/MAX Allegiance (RMAX17),"$561,000 "
1005186366,RES,CLS,912 F St NW #300,Washington,"Washington, DC",20004,1,1-Jan,Unit/Flat/Apartment,3/6/09,"Continental Properties, Ltd. (CPRE1)","$435,000 "
1005187838,RES,CLS,631 D St NW #1129,Washington,"Washington, DC",20004,1,Jan-00,Unit/Flat/Apartment,5/15/09,Coldwell Banker Residential Brokerage (CBRB53),"$375,000 "
1005192094,RES,CLS,915 E St NW #1203,Washington,"Washington, DC",20004,1,Jan-00,Unit/Flat/Apartment,7/1/09,Randall H. Hagner & Company (HAG1),"$350,000 "
1005203986,RES,CLS,631 D St NW #835,Washington,"Washington, DC",20004,1,Jan-00,Unit/Flat/Apartment,5/15/09,Coldwell Banker Residential Brokerage (CBRB106),"$370,000 "
1005209402,RES,CLS,601 Pennsylvania Ave NW #1011,Washington,"Washington, DC",20004,1,Jan-00,Unit/Flat/Apartment,7/1/09,TTR Sothebys International Realty (TTRS3),"$300,000 "
1005216252,RES,CLS,631 D St NW #533,Washington,"Washington, DC",20004,2,Jan-00,Unit/Flat/Apartment,7/16/09,"Long & Foster Real Estate, Inc. (LNG1)","$480,000 "
1005217992,RES,CLS,915 E St NW #1112,Washington,"Washington, DC",20004,1,Jan-00,Unit/Flat/Apartment,3/23/09,Brian Logan Real Estate (LGN1),"$325,000 "
1005220518,RES,CLS,912 F St NW #702,Washington,"Washington, DC",20004,1,1-Jan,Unit/Flat/Apartment,7/8/09,"Long & Foster Real Estate, Inc. (LNG1)","$505,000 "
1005257622,RES,CLS,631 D St NW #736,Washington,"Washington, DC",20004,1,Jan-00,Unit/Flat/Apartment,6/18/09,RE/MAX Allegiance (RMAX127),"$367,000 "
1005264728,RES,CLS,616 E St NW #1101,Washington,"Washington, DC",20004,1,Jan-00,Unit/Flat/Apartment,6/26/09,"Long & Foster Real Estate, Inc. (LNG11)","$389,000 "
1005279030,RES,CLS,616 E St NW #251,Washington,"Washington, DC",20004,2,1-Feb,Unit/Flat/Apartment,8/4/09,"Long & Foster Real Estate, Inc. (LNG147)","$555,000 "
1005281688,RES,CLS,675 E St NW #230,Washington,"Washington, DC",20004,1,Jan-00,Unit/Flat/Apartment,6/5/09,RE/MAX Realty Services (RBE1),"$352,100 "
1005328548,RES,CLS,915 E St NW #1205,Washington,"Washington, DC",20004,2,Feb-00,Unit/Flat/Apartment,8/13/09,Randall H. Hagner & Company (HAG1),"$595,000 "
1005338076,RES,CLS,631 D St NW #235,Washington,"Washington, DC",20004,1,1-Jan,Unit/Flat/Apartment,7/30/09,"Long & Foster Real Estate, Inc. (LNG42)","$420,000 "
1005343048,RES,CLS,915 E St NW #506,Washington,"Washington, DC",20004,0,Jan-00,Unit/Flat/Apartment,7/17/09,Hyundai Realty (HYU1),"$245,000 "
1005345624,RES,CLS,631 D St NW #831,Washington,"Washington, DC",20004,1,Jan-00,Unit/Flat/Apartment,7/9/09,"Long & Foster Real Estate, Inc. (LNG202)","$384,000 "
1005350912,RES,CLS,801 Pennsylvania Ave NW #Penthouse 20,Washington,"Washington, DC",20004,1,Jan-00,Penthouse Unit/Flat/Apartment,7/29/09,Randall H. Hagner & Company (HAG1),"$650,000 "
1005394450,RES,CLS,616 E St NW #223,Washington,"Washington, DC",20004,2,Feb-00,Unit/Flat/Apartment,8/27/09,Prudential Carruthers REALTORS (PCR23),"$525,000 "
