MLS #,Cat,Status,Address,City,County,Zip,Beds,Structure Type,Status Contractual Search Date,List Office Name,Current Price
1004303285,RES,CLS,1391 Pennsylvania Ave SE #259,Washington,"Washington, DC",20003,2,Unit/Flat/Apartment,7/24/09,Comps (COMP1),"$409,900 "
1004480493,RES,CLS,332 15th St SE,Washington,"Washington, DC",20003,4,Twin/Semi-Detached,9/30/08,RE/MAX Metropolitan Realty (REMR2),"$485,000 "
1004484511,RES,CLS,925 Potomac Ave SE,Washington,"Washington, DC",20003,3,Row/Townhouse,10/27/08,RE/MAX Metropolitan Realty (REMR2),"$208,000 "
1005112502,RES,CLS,245 15th St SE #103,Washington,"Washington, DC",20003,2,Unit/Flat/Apartment,1/1/09,DCRE (DCE1),"$420,000 "
1005113098,RES,CLS,724 9th St SE,Washington,"Washington, DC",20003,3,Row/Townhouse,5/25/09,Tilton Bernstein Walsh Real Estate LLC (TBMI1),"$775,000 "
1005116712,RES,CLS,401 12th St SE,Washington,"Washington, DC",20003,3,Twin/Semi-Detached,2/6/09,RE/MAX Allegiance (RMAX20),"$325,000 "
1005117304,RES,CLS,713 Kentucky Ave SE,Washington,"Washington, DC",20003,3,Twin/Semi-Detached,4/24/09,"Daniels Realty, LLC (DANR1)","$357,500 "
1005117430,RES,CLS,331 13th St SE,Washington,"Washington, DC",20003,3,Detached,3/16/09,Coldwell Banker Residential Brokerage (CBRB52),"$549,000 "
1005119146,RES,CLS,22 16th St SE,Washington,"Washington, DC",20003,2,Row/Townhouse,4/1/09,Keller Williams Realty (KWR8),"$507,500 "
1005123176,RES,CLS,1000 New Jersey Ave SE #1121,Washington,"Washington, DC",20003,0,Unit/Flat/Apartment,4/16/09,McWilliams/Ballard Inc. (MCWB1),"$209,400 "
1005123622,RES,CLS,1009 South Carolina Ave SE,Washington,"Washington, DC",20003,2,Row/Townhouse,2/26/09,"Washington Fine Properties, LLC (WFP1)","$552,500 "
1005124928,RES,CLS,630 Browns Ct SE,Washington,"Washington, DC",20003,2,Twin/Semi-Detached,4/16/09,RE/MAX Allegiance (RMAX20),"$460,000 "
1005128128,RES,CLS,333 16th St SE,Washington,"Washington, DC",20003,2,Row/Townhouse,3/30/09,Keller Williams Capital Properties (KWCP1),"$450,000 "
1005130448,RES,CLS,424 East Capitol St NE #4,Washington,"Washington, DC",20003,2,Unit/Flat/Apartment,5/29/09,"Long & Foster Real Estate, Inc. (LNG44)","$545,000 "
1005131304,RES,CLS,424 East Capitol St NE #3,Washington,"Washington, DC",20003,1,Unit/Flat/Apartment,4/30/09,"Long & Foster Real Estate, Inc. (LNG44)","$280,000 "
1005131362,RES,CLS,424 East Capitol St NE #2,Washington,"Washington, DC",20003,1,Unit/Flat/Apartment,4/17/09,"Long & Foster Real Estate, Inc. (LNG44)","$364,900 "
1005131374,RES,CLS,424 East Capitol St NE #1,Washington,"Washington, DC",20003,1,Unit/Flat/Apartment,3/20/09,"Long & Foster Real Estate, Inc. (LNG44)","$325,000 "
1005131404,RES,CLS,424 East Capitol St NE #5,Washington,"Washington, DC",20003,2,Unit/Flat/Apartment,5/1/09,"Long & Foster Real Estate, Inc. (LNG44)","$600,000 "
1005131478,RES,CLS,1306 Pennsylvania Ave SE #302,Washington,"Washington, DC",20003,2,Unit/Flat/Apartment,4/30/09,Hounshell Real Estate (HOU1),"$516,500 "
1005132882,RES,CLS,301 14th St SE #4,Washington,"Washington, DC",20003,2,Unit/Flat/Apartment,6/18/09,"Weichert, REALTORS (WEI61)","$380,000 "
1005133072,RES,CLS,1359 C St SE #1359,Washington,"Washington, DC",20003,1,Unit/Flat/Apartment,6/11/09,"Weichert, REALTORS (WEI61)","$480,000 "
1005133098,RES,CLS,539 4th St SE,Washington,"Washington, DC",20003,2,Row/Townhouse,4/30/09,Coldwell Banker Residential Brokerage (CBRB52),"$521,000 "
1005134414,RES,CLS,927 5th St SE,Washington,"Washington, DC",20003,2,Row/Townhouse,4/17/09,RE/MAX United Real Estate (RMXD1),"$309,000 "
1005134810,RES,CLS,102 4th St SE,Washington,"Washington, DC",20003,4,Row/Townhouse,4/21/09,Prudential Carruthers REALTORS (PCR4),"$730,000 "
1005135146,RES,CLS,606 3rd St SE,Washington,"Washington, DC",20003,2,Twin/Semi-Detached,3/16/09,"Chatel Real Estate, Inc. (CHL1)","$535,000 "
1005142160,RES,CLS,325 2nd St SE,Washington,"Washington, DC",20003,3,Twin/Semi-Detached,8/24/09,Coldwell Banker Residential Brokerage (CBRB45),"$1,000,000 "
1005144262,RES,CLS,913 North Carolina Ave SE,Washington,"Washington, DC",20003,3,Row/Townhouse,3/20/09,RE/MAX Allegiance (RMAX17),"$433,000 "
1005147014,RES,CLS,115 D St SE #G4,Washington,"Washington, DC",20003,1,Unit/Flat/Apartment,4/27/09,"Long & Foster Real Estate, Inc. (LNG1)","$300,000 "
1005147152,RES,CLS,1706 A St SE,Washington,"Washington, DC",20003,2,Row/Townhouse,5/15/09,"Long & Foster Real Estate, Inc. (LNG35)","$350,000 "
1005149426,RES,CLS,109 11th St SE,Washington,"Washington, DC",20003,2,Row/Townhouse,3/13/09,Coldwell Banker Residential Brokerage (CBRB52),"$620,000 "
1005153136,RES,CLS,808 E St SE,Washington,"Washington, DC",20003,2,Row/Townhouse,3/31/09,"Long & Foster Real Estate, Inc. (LNG54)","$530,000 "
1005154260,RES,CLS,524 4th St SE,Washington,"Washington, DC",20003,2,Row/Townhouse,4/29/09,"McEnearney Associates, Inc. (MCE7)","$609,000 "
1005154568,RES,CLS,1628 C St SE #202,Washington,"Washington, DC",20003,2,Unit/Flat/Apartment,4/30/09,"Urban Land Company, LLC (ULC1)","$299,000 "
1005155594,RES,CLS,1628 C St SE #302,Washington,"Washington, DC",20003,2,Unit/Flat/Apartment,6/30/09,"Urban Land Company, LLC (ULC1)","$300,000 "
1005155682,RES,CLS,1810 Independence Ave SE,Washington,"Washington, DC",20003,3,End of Row/Townhouse,2/27/09,RE/MAX Realty Services (RBE1),"$185,000 "
1005158052,RES,CLS,1010 D St SE,Washington,"Washington, DC",20003,3,Row/Townhouse,3/30/09,"W.C. & A.N. Miller, Realtors, A Long & Foster Co. (MIL9)","$765,000 "
1005163104,RES,CLS,1511 Independence Ave SE,Washington,"Washington, DC",20003,2,End of Row/Townhouse,8/6/09,"Key Realty Group, LLC (KYRG1)","$198,000 "
1005165376,RES,CLS,1619 Potomac Ave SE,Washington,"Washington, DC",20003,2,Row/Townhouse,6/23/09,"Long & Foster Real Estate, Inc. (LNG85)","$230,000 "
1005167504,RES,CLS,1200 G St SE #B,Washington,"Washington, DC",20003,1,End of Row/Townhouse,5/27/09,Coldwell Banker Residential Brokerage (CBRB45),"$186,000 "
1005178140,RES,CLS,906 13th St SE,Washington,"Washington, DC",20003,2,Row/Townhouse,5/11/09,Coldwell Banker Residential Brokerage (CBRB52),"$453,000 "
1005178162,RES,CLS,424 East Capitol St NE #6,Washington,"Washington, DC",20003,2,Unit/Flat/Apartment,7/15/09,"Long & Foster Real Estate, Inc. (LNG44)","$538,000 "
1005178376,RES,CLS,424 East Capitol St NE #8,Washington,"Washington, DC",20003,2,Unit/Flat/Apartment,4/10/09,"Long & Foster Real Estate, Inc. (LNG44)","$561,500 "
1005178390,RES,CLS,424 East Capitol St NE #7,Washington,"Washington, DC",20003,2,Unit/Flat/Apartment,4/15/09,"Long & Foster Real Estate, Inc. (LNG44)","$556,000 "
1005178462,RES,CLS,424 East Capitol St NE #9,Washington,"Washington, DC",20003,2,Unit/Flat/Apartment,5/27/09,"Long & Foster Real Estate, Inc. (LNG44)","$600,000 "
1005178640,RES,CLS,1535 C St SE,Washington,"Washington, DC",20003,2,Row/Townhouse,4/27/09,"W.C. & A.N. Miller, Realtors, A Long & Foster Co. (MIL2)","$359,000 "
1005178902,RES,CLS,1808 Potomac Ave SE,Washington,"Washington, DC",20003,3,Row/Townhouse,4/3/09,Keller Williams Capital Properties (KWCP1),"$569,000 "
1005181198,RES,CLS,1216-Rear D St SE,Washington,"Washington, DC",20003,0,Other,7/15/09,"Summit Commercial Real Estate, LLC. (SCOR1)","$310,000 "
1005183758,RES,CLS,1542 D St SE,Washington,"Washington, DC",20003,2,Row/Townhouse,4/14/09,Home Source Real Estate Solutions (HSLT1),"$399,000 "
1005185042,RES,CLS,1 18th St SE #204,Washington,"Washington, DC",20003,2,Unit/Flat/Apartment,4/30/09,"Long & Foster Real Estate, Inc (LNG215)","$320,000 "
1005186860,RES,CLS,315 13th St SE,Washington,"Washington, DC",20003,2,Row/Townhouse,4/1/09,Prudential Carruthers REALTORS (PCR4),"$525,850 "
1005186952,RES,CLS,1248 C St SE,Washington,"Washington, DC",20003,3,Detached,4/15/09,"W.C. & A.N. Miller, Realtors, A Long & Foster Co. (MIL9)","$670,000 "
1005187156,RES,CLS,514 15th St SE,Washington,"Washington, DC",20003,3,Row/Townhouse,5/1/09,Prudential Carruthers REALTORS (PCR4),"$620,000 "
1005188798,RES,CLS,1391 Pennsylvania Ave SE #424,Washington,"Washington, DC",20003,1,Unit/Flat/Apartment,6/1/09,McWilliams/Ballard Inc. (MCWB1),"$378,000 "
1005192970,RES,CLS,434 15th St SE,Washington,"Washington, DC",20003,3,Row/Townhouse,7/28/09,"Long & Foster Real Estate, Inc. (LNG36)","$525,000 "
1005193356,RES,CLS,245 15th St SE #304,Washington,"Washington, DC",20003,1,Unit/Flat/Apartment,10/16/08,DCRE (DCE1),"$379,900 "
1005194006,RES,CLS,266 15th St SE,Washington,"Washington, DC",20003,2,Row/Townhouse,5/29/09,Coldwell Banker Residential Brokerage (CBRB49),"$379,900 "
1005194864,RES,CLS,1815 A St SE #101,Washington,"Washington, DC",20003,2,Unit/Flat/Apartment,5/29/09,TTR Sotheby's International Realty (TTRS2),"$229,000 "
1005195502,RES,CLS,1725 D SE,Washington,"Washington, DC",20003,3,Row/Townhouse,3/27/09,Realty Executives/2000 (RTE1),"$250,000 "
1005199742,RES,CLS,263 14th St SE #263-B,Washington,"Washington, DC",20003,2,Row/Townhouse,6/25/09,Coldwell Banker Residential Brokerage (CBRB52),"$385,700 "
1005204248,RES,CLS,1804 Potomac Ave SE,Washington,"Washington, DC",20003,3,Row/Townhouse,3/31/09,RE/MAX Allegiance (RMAX20),"$429,000 "
1005205670,RES,CLS,606 A St SE,Washington,"Washington, DC",20003,4,Twin/Semi-Detached,6/1/09,"McEnearney Associates, Inc. (MCE7)","$1,000,000 "
1005209242,RES,CLS,1628 C St SE #B03,Washington,"Washington, DC",20003,1,Unit/Flat/Apartment,6/16/09,"Urban Land Company, LLC (ULC1)","$195,000 "
1005209582,RES,CLS,1115 C St SE,Washington,"Washington, DC",20003,3,Detached,6/5/09,Coldwell Banker Residential Brokerage (CBRB52),"$640,000 "
1005210146,RES,CLS,115 9th St SE,Washington,"Washington, DC",20003,2,Twin/Semi-Detached,5/29/09,RE/MAX Allegiance (RMAX20),"$581,500 "
1005210946,RES,CLS,333 11th St SE,Washington,"Washington, DC",20003,3,Row/Townhouse,3/31/09,"Chatel Real Estate, Inc. (CHL1)","$525,000 "
1005210996,RES,CLS,245 15th St SE #305,Washington,"Washington, DC",20003,1,Unit/Flat/Apartment,1/30/09,DCRE (DCE1),"$314,000 "
1005211024,RES,CLS,245 15th St SE #202,Washington,"Washington, DC",20003,1,Unit/Flat/Apartment,9/29/08,DCRE (DCE1),"$394,900 "
1005211026,RES,CLS,245 15th St SE #204,Washington,"Washington, DC",20003,1,Unit/Flat/Apartment,3/12/09,DCRE (DCE1),"$369,900 "
1005211818,RES,CLS,919 South Carolina Ave SE,Washington,"Washington, DC",20003,4,Row/Townhouse,5/27/09,Coldwell Banker Residential Brokerage (CBRB52),"$800,000 "
1005211958,RES,CLS,128 Kentucky Ave SE,Washington,"Washington, DC",20003,3,Row/Townhouse,7/1/09,Prudential Carruthers REALTORS (PCR4),"$790,000 "
1005213112,RES,CLS,1720 Massachusetts Ave SE,Washington,"Washington, DC",20003,3,Row/Townhouse,5/27/09,Coldwell Banker Residential Brokerage (CBRB52),"$499,000 "
