MLS #,Cat,Status,Address,City,County,Zip,Beds,Structure Type,Status Contractual Search Date,List Office Name,Current Price
1002205130,RES,CLS,2813 17th St NE,Washington,"Washington, DC",20018,4,Detached,8/21/09,"Marbray and Co. Realty, LLC (MARB1)","$335,000 "
1004070149,RES,CLS,3298 Theodore R Hagans Dr NE,Washington,"Washington, DC",20018,3,Row/Townhouse,4/29/09,Comps (COMP1),"$464,450 "
1005118348,RES,CLS,3234 Walnut St NE,Washington,"Washington, DC",20018,2,Detached,3/31/09,"REALTYFORCE, INC. (FORC1)","$245,000 "
1005119450,RES,CLS,2632 10th St NE,Washington,"Washington, DC",20018,3,Row/Townhouse,7/1/09,RE/MAX Allegiance (RMAX20),"$250,000 "
1005130294,RES,CLS,3815 20th St NE,Washington,"Washington, DC",20018,3,Detached,8/14/09,"Evers & Co. Real Estate, A Long & Foster Company (EVR1)","$410,000 "
1005138628,RES,CLS,1801 Upshur St NE,Washington,"Washington, DC",20018,3,Detached,5/29/09,"John C. Formant Real Estate, Inc. (JCF1)","$459,000 "
1005143624,RES,CLS,1930 Franklin St NE,Washington,"Washington, DC",20018,3,Detached,3/3/09,"Matthew Spicer Real Estate, LLC (MSPI1)","$329,500 "
1005156468,RES,CLS,2123 Quincy St NE,Washington,"Washington, DC",20018,3,Detached,8/14/09,Coldwell Banker Residential Brokerage (CBRB45),"$290,000 "
1005158620,RES,CLS,1224 Rhode Island Ave NE,Washington,"Washington, DC",20018,3,Twin/Semi-Detached,5/6/09,ERA Realty Group (RTR1),"$97,500 "
1005171596,RES,CLS,3300 Theodore R. Hagans Dr NE,Washington,"Washington, DC",20018,3,Row/Townhouse,8/6/09,"Long & Foster Real Estate, Inc. (LNG42)","$460,500 "
1005187624,RES,CLS,2020 Douglas St NE,Washington,"Washington, DC",20018,3,Detached,6/29/09,"Evers & Co. Real Estate, A Long & Foster Company (EVR3)","$464,000 "
1005188850,RES,CLS,2853 Brentwood Rd NE,Washington,"Washington, DC",20018,5,Detached,4/13/09,DROdio.com Realty (DRO1),"$149,900 "
1005197912,RES,CLS,3298 Theodore R. Hagans Dr NE,Washington,"Washington, DC",20018,3,Row/Townhouse,4/29/09,"Long & Foster Real Estate, Inc. (LNG42)","$464,450 "
1005198592,RES,CLS,1303 Adams St NE #102B,Washington,"Washington, DC",20018,2,Unit/Flat/Apartment,7/31/09,RE/MAX Allegiance (RMAX20),"$205,665 "
1005200170,RES,CLS,3060 Thayer St NE,Washington,"Washington, DC",20018,3,Detached,6/8/09,Arcadia Realty (SILR1),"$200,000 "
1005203580,RES,CLS,3222 Theodore R Hagans Dr NE,Washington,"Washington, DC",20018,3,Row/Townhouse,4/24/09,"Long & Foster Real Estate, Inc. (LNG1)","$399,500 "
1005206132,RES,CLS,3117 Channing St NE,Washington,"Washington, DC",20018,5,Detached,8/14/09,RE/MAX United Real Estate (RMXD1),"$343,400 "
1005206556,RES,CLS,2726 28th St NE,Washington,"Washington, DC",20018,5,Detached,6/15/09,"Real Estate By Owner, Inc. (REBO1)","$408,000 "
1005208522,RES,CLS,3316 18th St NE,Washington,"Washington, DC",20018,4,Detached,8/3/09,"Daniels Realty, LLC (DANR1)","$339,999 "
1005218598,RES,CLS,1843 Monroe St NE,Washington,"Washington, DC",20018,4,Detached,6/15/09,"Long & Foster Real Estate, Inc. (LNG1)","$365,000 "
1005219758,RES,CLS,3301 Theodore R. Hagans Dr NE,Washington,"Washington, DC",20018,3,End of Row/Townhouse,6/26/09,"Long & Foster Real Estate, Inc. (LNG42)","$427,000 "
1005219836,RES,CLS,2847 Mills Ave NE,Washington,"Washington, DC",20018,3,Detached,7/28/09,RE/MAX United Real Estate (RMXD1),"$138,000 "
1005225042,RES,CLS,3142 Apple Rd NE #16,Washington,"Washington, DC",20018,2,End of Row/Townhouse,4/16/09,RE/MAX All Pro (RXAP1),"$135,000 "
1005226636,RES,CLS,2500 Rhode Island Ave NE,Washington,"Washington, DC",20018,3,Detached,8/20/09,"Theodore Wade & Company, Inc. (VAI1)","$135,000 "
