MLS #,Cat,Status,Address,City,County,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price,Zip
DCDC437818,RES,CLS,1414 22nd St NW #62,Washington,"Washington, DC",2,1-Feb,Unit/Flat/Apartment,8/20/2019,Keller Williams Capital Properties (KWCP2),1650000,20037
DCDC437854,RES,CLS,2510 Virginia Ave NW #209n,Washington,"Washington, DC",0,1,Unit/Flat/Apartment,8/29/2019,"Long & Foster Real Estate, Inc. (LNG147)",272000,20037
DCDC436888,RES,CLS,730 24th St NW #415,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/29/2019,TTR Sothebys International Realty (TTRS3),296032,20037
DCDC436394,RES,CLS,730 24th St NW #714,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/30/2019,Compass (COMPS2),359900,20037
DCDC435504,RES,CLS,3 Washington Cir NW #602,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/14/2019,RLAH Real Estate (RLAH3),340000,20037
DCDC435464,RES,CLS,922 24th St NW #215,Washington,"Washington, DC",0,1,Unit/Flat/Apartment,8/23/2019,"Long & Foster Real Estate, Inc. (LNG147)",260000,20037
DCDC435128,RES,CLS,1124 25th St NW #T-5,Washington,"Washington, DC",2,Jan-00,Unit/Flat/Apartment,8/23/2019,TTR Sotheby's International Realty (TTRS8),432000,20037
DCDC428692,RES,CLS,950 25th St NW #307n,Washington,"Washington, DC",1,Jan-00,Unit/Flat/Apartment,8/30/2019,KW Metro Center (KWR17),285000,20037
DCDC434308,RES,CLS,922 24th St NW #105A,Washington,"Washington, DC",1,Jan-00,Unit/Flat/Apartment,8/7/2019,Fairfax Realty Premier (FXR3),379000,20037
DCDC434504,RES,CLS,922 24th St NW #102,Washington,"Washington, DC",0,1,Unit/Flat/Apartment,8/1/2019,Compass (COMPS1),249500,20037
DCDC434546,RES,CLS,2515 K St NW #111,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/21/2019,"Long & Foster Real Estate, Inc. (LNG336)",339000,20037
DCDC433256,RES,CLS,2141 I St NW #310,Washington,"Washington, DC",0,1,Unit/Flat/Apartment,7/23/2019,EJF Real Estate Services (EJF1),226500,20037
DCDC433302,RES,CLS,1140 NW 23rd St NW #501,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/21/2019,TTR Sotheby's International Realty (TTRS5),410000,20037
DCDC433030,RES,CLS,1230 23rd St NW #908,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/9/2019,Redfin Corp (REFC3),445000,20037
DCDC433128,RES,CLS,919 Hughes Ct NW,Washington,"Washington, DC",2,1-Jan,Row/Townhouse,8/13/2019,Compass (COMPS3),680000,20037
DCDC432556,RES,CLS,922 24th St NW #412,Washington,"Washington, DC",0,1,Unit/Flat/Apartment,8/6/2019,Century 21 New Millennium (CENT2007),285000,20037
DCDC431962,RES,CLS,1275 25th St NW #700,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/9/2019,TTR Sotheby's International Realty (TTRS5),625300,20037
DCDC431594,RES,CLS,2141 P St NW #1008,Washington,"Washington, DC",2,1,Unit/Flat/Apartment,7/31/2019,Redfin Corp (REFC3),624000,20037
DCDC431878,RES,CLS,2129 Newport Pl NW,Washington,"Washington, DC",3,1-Feb,Row/Townhouse,8/6/2019,TTR Sotheby's International Realty (TTRS5),1150000,20037
DCDC431618,RES,CLS,913 Hughes Mews NW,Washington,"Washington, DC",2,1,Row/Townhouse,7/26/2019,"Long & Foster Real Estate, Inc. (LNG1)",615000,20037
DCDC431414,RES,CLS,2475 Virginia Ave NW #718,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/2/2019,"Washington Fine Properties, LLC (WFP1)",270000,20037
DCDC431292,RES,CLS,2425 L St NW #509,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/16/2019,TTR Sotheby's International Realty (TTRS5),560000,20037
DCDC430884,RES,CLS,1511 22nd St NW #54,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/1/2019,Coldwell Banker Residential Brokerage (CBRB106),420000,20037
DCDC430426,RES,CLS,2425 L St NW #342,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,8/28/2019,"Long & Foster Real Estate, Inc. (LNG194)",935000,20037
DCDC430422,RES,CLS,950 25th St NW #714-N,Washington,"Washington, DC",2,1,Unit/Flat/Apartment,7/19/2019,Compass (COMPS2),285000,20037
