MLS #,Cat,Status,Address,City,County,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price,Zip
DCDC433730,RES,CLS,3524 Rittenhouse St NW,Washington,"Washington, DC",6,1-Jun,Detached,6/14/2019,Non Subscribing Office (NON1),3436644,20015
DCDC436898,RES,CLS,5711 32nd St NW,Washington,"Washington, DC",4,1-Feb,Detached,8/20/2019,"Independent Realty, Inc (INDR1)",929471,20015
DCDC435306,RES,CLS,3247 Patterson St NW,Washington,"Washington, DC",3,Jan-00,Detached,8/26/2019,"Realty Group, Inc. (RGI1)",937500,20015
DCDC436294,RES,CLS,3257 Worthington St NW,Washington,"Washington, DC",5,1-Apr,Detached,8/19/2019,"Washington Fine Properties, LLC (WFP1)",1460000,20015
DCDC436370,RES,CLS,3608 Quesada St NW,Washington,"Washington, DC",6,1-Apr,Detached,7/24/2019,TTR Sotheby's International Realty (TTRS4),1290000,20015
DCDC436218,RES,CLS,5359 29th St NW,Washington,"Washington, DC",3,1-Mar,Detached,7/22/2019,Compass (COMPS9),1049000,20015
DCDC435274,RES,CLS,5649 Moreland St NW,Washington,"Washington, DC",6,1-May,Detached,8/28/2019,Compass (COMPS2),2025000,20015
DCDC435192,RES,CLS,6322 31st St NW,Washington,"Washington, DC",3,1-Feb,Detached,8/2/2019,"Evers & Co. Real Estate, A Long & Foster Company (EVR1)",1120776,20015
DCDC434556,RES,CLS,3128 Patterson Pl NW,Washington,"Washington, DC",4,1-Mar,Detached,7/31/2019,"Washington Fine Properties, LLC (WFP1)",1009000,20015
DCDC433648,RES,CLS,5312 42nd St NW,Washington,"Washington, DC",5,1-Apr,Detached,8/30/2019,"Long & Foster Real Estate, Inc. (LNG194)",1855000,20015
DCDC433240,RES,CLS,3346 Stuyvesant Pl NW,Washington,"Washington, DC",4,1-Apr,Detached,6/27/2019,Compass (COMPS2),1270000,20015
DCDC433150,RES,CLS,3219 McKinley St NW,Washington,"Washington, DC",5,1-Mar,Detached,7/24/2019,"Washington Fine Properties, LLC (WFP1)",1492500,20015
DCDC433022,RES,CLS,6007 34th Pl NW,Washington,"Washington, DC",3,1-Feb,Detached,8/1/2019,"Long & Foster Real Estate, Inc. (LNG42)",828000,20015
DCDC432924,RES,CLS,6950 Greenvale St NW,Washington,"Washington, DC",4,1-Mar,Detached,8/19/2019,Compass (COMPS9),1299000,20015
DCDC423022,RES,CLS,5611 Chevy Chase Pkwy NW,Washington,"Washington, DC",4,3,Detached,7/11/2019,"Long & Foster Real Estate, Inc. (LNG338)",1350000,20015
DCDC432710,RES,CLS,3639 Jenifer St NW,Washington,"Washington, DC",3,1-Mar,Twin/Semi-Detached,7/31/2019,Spicer Real Estate (SPCR1),935000,20015
DCDC432510,RES,CLS,5608 39th St NW,Washington,"Washington, DC",4,1-Feb,Twin/Semi-Detached,7/14/2019,Presidential Realty (PRE1),785000,20015
DCDC432194,RES,CLS,6880 Oregon Ave NW,Washington,"Washington, DC",3,3,Detached,7/31/2019,Compass (COMPS2),925000,20015
DCDC431742,RES,CLS,6427 Barnaby St NW,Washington,"Washington, DC",6,1-May,Detached,8/12/2019,Compass (COMPS2),2195000,20015
DCDC432386,RES,CLS,4339 Harrison St NW #3,Washington,"Washington, DC",2,1,Row/Townhouse,8/20/2019,Compass (COMPS2),510000,20015
DCDC431904,RES,CLS,3711 Harrison St NW,Washington,"Washington, DC",3,Mar-00,Row/Townhouse,8/15/2019,Compass (COMPS1),980000,20015
DCDC432032,RES,CLS,5225 Chevy Chase Pkwy NW,Washington,"Washington, DC",3,2,Twin/Semi-Detached,7/25/2019,"Long & Foster Real Estate, Inc. (LNG147)",915000,20015
DCDC431720,RES,CLS,5201 Wisconsin Ave NW #406,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,8/14/2019,Keller Williams Capital Properties (KWCP5),580000,20015
DCDC431642,RES,CLS,3378 Stephenson Pl NW,Washington,"Washington, DC",4,2-Mar,Detached,8/28/2019,Keller Williams Realty (KWR21),1055000,20015
DCDC430734,RES,CLS,3125 Quesada St NW,Washington,"Washington, DC",5,1-Feb,Detached,8/23/2019,"Long & Foster Real Estate, Inc. (LNG338)",985000,20015
DCDC429954,RES,CLS,5410 NW Connecticut Ave Ave NW #910,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/6/2019,"Long & Foster Real Estate, Inc. (LNG33)",195000,20015
DCDC430458,RES,CLS,6339 31st St NW,Washington,"Washington, DC",4,1-Mar,Detached,8/28/2019,Compass (COMPS2),1150000,20015
DCDC430724,RES,CLS,5315 Connecticut Ave NW #606,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/6/2019,"McEnearney Associates, Inc. (MCE7)",270000,20015
DCDC429446,RES,CLS,3913 NW Military Rd NW,Washington,"Washington, DC",5,4,Detached,7/26/2019,"Washington Fine Properties, LLC (WFP1)",1263500,20015
DCDC429764,RES,CLS,5542 29th St NW,Washington,"Washington, DC",4,1-Feb,Detached,7/10/2019,Compass (COMPS2),990000,20015
DCDC429410,RES,CLS,6361 31st Pl NW,Washington,"Washington, DC",3,1-Mar,Detached,8/21/2019,"Long & Foster Real Estate, Inc. (LNG338)",1010000,20015
DCDC430078,RES,CLS,5410 Connecticut Ave NW #416,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/16/2019,"Long & Foster Real Estate, Inc. (LNG147)",289000,20015
DCDC429506,RES,CLS,3008 Dogwood St NW,Washington,"Washington, DC",4,3,Detached,8/30/2019,"Long & Foster Real Estate, Inc. (LNG338)",1079000,20015
DCDC429728,RES,CLS,2750 Rittenhouse St NW,Washington,"Washington, DC",5,3,Detached,7/23/2019,"Long & Foster Real Estate, Inc. (LNG338)",1586002,20015
DCDC429632,RES,CLS,3328 Runnymede Pl NW,Washington,"Washington, DC",5,1-Mar,Detached,6/2/2019,TTR Sotheby's International Realty (TTRS4),1525000,20015
DCDC429468,RES,CLS,3104 Worthington St NW,Washington,"Washington, DC",4,2,Detached,7/30/2019,RE/MAX Realty Services (RBE1),860000,20015
DCDC429234,RES,CLS,3600 Legation St NW,Washington,"Washington, DC",3,1-Jan,Detached,7/31/2019,"Long & Foster Real Estate, Inc. (LNG1)",802000,20015
DCDC429142,RES,CLS,3310 Quesada St NW,Washington,"Washington, DC",4,1-Feb,Detached,6/25/2019,Compass (COMPS2),1265000,20015
DCDC428700,RES,CLS,3700 Ingomar St NW,Washington,"Washington, DC",2,1-Mar,Twin/Semi-Detached,7/9/2019,"Long & Foster Real Estate, Inc. (LNG338)",995000,20015
DCDC428186,RES,CLS,3110 Oliver St NW,Washington,"Washington, DC",3,2,Detached,6/25/2019,"Washington Fine Properties, LLC (WFP1)",906700,20015
DCDC428380,RES,CLS,3523-3519 Quesada St NW,Washington,"Washington, DC",4,1-Mar,Detached,6/20/2019,"Washington Fine Properties, LLC (WFP1)",1565000,20015
DCDC427660,RES,CLS,7053 Western Ave NW,Washington,"Washington, DC",5,1-Apr,Detached,7/1/2019,"Long & Foster Real Estate, Inc. (LNG338)",1175000,20015
DCDC427924,RES,CLS,5201B Wisconsin Ave NW #301,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/1/2019,TTR Sotheby's International Realty (TTRS2),450000,20015
DCDC427810,RES,CLS,3701 Jenifer St NW,Washington,"Washington, DC",5,1-Mar,Twin/Semi-Detached,6/28/2019,Spicer Real Estate (SPCR1),1050000,20015
