MLS #,Cat,Status,Address,City,County,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price,Zip
DCDC439798,RES,CLS,1927 Belmont Rd NW #84,Washington,"Washington, DC",3,1-Feb,Unit/Flat/Apartment,8/29/2019,Compass (COMPS2),843000,20009
DCDC439760,RES,CLS,2005-2005 Allen Pl NW #301,Washington,"Washington, DC",0,1,Unit/Flat/Apartment,8/30/2019,Coldwell Banker Residential Brokerage (CBRB106),260000,20009
DCDC437880,RES,CLS,1750 Harvard St NW #2A,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,8/30/2019,"Washington Fine Properties, LLC (WFP3)",463000,20009
DCDC437012,RES,CLS,2237 12th St NW,Washington,"Washington, DC",3,1-Jan,Row/Townhouse,8/7/2019,Keller Williams Capital Properties (KWCP1),860000,20009
DCDC437588,RES,CLS,1435 Chapin St NW #201,Washington,"Washington, DC",1,1-Jan,Unit/Flat/Apartment,8/6/2019,Capital Residential Properties (CMRL1),556000,20009
DCDC437568,RES,CLS,1704 19th St NW #10,Washington,"Washington, DC",2,2,Row/Townhouse,8/6/2019,Non Subscribing Office (NON1),849000,20009
DCDC437244,RES,CLS,3060 16th St NW #502,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/19/2019,"WDC Realty Group, LLC (WDG1)",349900,20009
DCDC100365,RES,CLS,2022 Columbia Rd NW #302,Washington,"Washington, DC",3,2,Detached,7/31/2019,Non Subscribing Office (NON1),1350000,20009
DCDC100321,RES,CLS,1323 Clifton St NW #14,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,8/1/2019,Compass (COMPS2),585000,20009
DCDC437150,RES,CLS,1723 Q St NW #G6,Washington,"Washington, DC",0,1,Row/Townhouse,8/16/2019,Compass (COMPS1),281600,20009
DCDC434436,RES,CLS,1801 Clydesdale Pl NW #716,Washington,"Washington, DC",,1,Unit/Flat/Apartment,7/31/2019,Compass (COMPS1),194900,20009
DCDC437010,RES,CLS,2916 18th St NW,Washington,"Washington, DC",4,3,Row/Townhouse,8/22/2019,Redfin Corp (REFC3),1175000,20009
DCDC436686,RES,CLS,1795 Lanier Pl NW #2,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,7/31/2019,S&G Realty (SAGG1),690000,20009
DCDC436906,RES,CLS,1458 Columbia Rd NW #511,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/30/2019,"Continental Properties, Ltd. (CPRE1)",334000,20009
DCDC436816,RES,CLS,1925 16th St NW #601,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/27/2019,Compass (COMPS2),475000,20009
DCDC436794,RES,CLS,2020 12th St NW #707,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,8/28/2019,TTR Sotheby's International Realty (TTRS5),769000,20009
DCDC434936,RES,CLS,2319 17th St NW,Washington,"Washington, DC",2,1-Jan,Row/Townhouse,8/26/2019,Keller Williams Realty (KWR21),698000,20009
DCDC436738,RES,CLS,1419 R St NW #40,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,7/25/2019,Compass (COMPS1),725000,20009
DCDC436430,RES,CLS,1736 Willard St NW #506,Washington,"Washington, DC",0,1,Unit/Flat/Apartment,8/30/2019,McEnearney Associates (MCE14),332000,20009
DCDC436564,RES,CLS,1439 Euclid St NW #201,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/21/2019,Compass (COMPS4),325000,20009
DCDC436630,RES,CLS,1706 16th St NW #5,Washington,"Washington, DC",2,2,Penthouse Unit/Flat/Apartment,8/29/2019,Compass (COMPS1),665000,20009
DCDC436596,RES,CLS,1700 Euclid St NW #A-11,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/24/2019,TTR Sotheby's International Realty (TTRS5),440000,20009
DCDC435802,RES,CLS,2611 Adams Mill Rd NW #206,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/19/2019,Redfin Corp (REFC3),355000,20009
DCDC436280,RES,CLS,1795 Lanier Pl NW #1,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,7/23/2019,S&G Realty (SAGG1),615000,20009
DCDC436396,RES,CLS,1621 T St NW #T6,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/30/2019,Price Homes Real Estate (PRIC1),350000,20009
DCDC436268,RES,CLS,1795 Lanier Pl NW #4,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,7/22/2019,S&G Realty (SAGG1),725000,20009
DCDC436274,RES,CLS,1795 Lanier Pl NW #5,Washington,"Washington, DC",2,2,Penthouse Unit/Flat/Apartment,7/22/2019,S&G Realty (SAGG1),825000,20009
DCDC435648,RES,CLS,1809 Riggs Pl NW #4,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/20/2019,Redfin Corp (REFC3),430000,20009
DCDC435862,RES,CLS,1307 Clifton St NW #22,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,8/21/2019,Compass (COMPS2),645000,20009
DCDC435658,RES,CLS,2032-2040 Belmont Rd NW #232,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/30/2019,"Washington Fine Properties, LLC (WFP3)",296000,20009
DCDC435816,RES,CLS,1795 Lanier Pl NW #3,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,7/18/2019,S&G Realty (SAGG1),699999,20009
DCDC435588,RES,CLS,2001 16th St NW #402,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/20/2019,Compass (COMPS1),456550,20009
DCDC435092,RES,CLS,1210 R St NW #212,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,8/29/2019,"Evers & Co. Real Estate, A Long & Foster Company (EVR1)",795500,20009
DCDC435614,RES,CLS,1930 New Hampshire Ave NW #28,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/19/2019,Compass (COMPS1),415000,20009
DCDC435644,RES,CLS,1625 S St NW #4,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/19/2019,"McEnearney Associates, Inc. (MCE7)",325000,20009
DCDC434798,RES,CLS,1417 Chapin St NW #202,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,8/9/2019,Washington Fine Properties (WFP7),539000,20009
DCDC434706,RES,CLS,1750 Harvard St NW #7D,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/9/2019,Redfin Corp (REFC3),345000,20009
DCDC434162,RES,CLS,1621 T St NW #204,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/19/2019,"Long & Foster Real Estate, Inc. (LNG147)",420000,20009
DCDC434670,RES,CLS,1439 Chapin St NW #101,Washington,"Washington, DC",2,1,Unit/Flat/Apartment,8/2/2019,"Long & Foster Real Estate, Inc. (LNG147)",500000,20009
DCDC434126,RES,CLS,1840 Vernon St NW #207,Washington,"Washington, DC",2,1,Unit/Flat/Apartment,8/8/2019,Coldwell Banker Residential Brokerage (CBRB53),540000,20009
