MLS #,Cat,Status,Address,City,County,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price,Zip
DCDC438672,RES,CLS,1245 13th St NW #312,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/30/2019,Century  21 New Millennium (CENT5),387990,20005
DCDC437032,RES,CLS,1450 Church St NW #404,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/27/2019,"Long & Foster Real Estate, Inc. (LNG44)",569900,20005
DCDC100375,RES,CLS,1150 K St NW #802,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,8/30/2019,Redfin Corp (REFC3),579900,20005
DCDC437354,RES,CLS,1440 N St NW #815,Washington,"Washington, DC",0,,Unit/Flat/Apartment,8/27/2019,RLAH Real Estate (RLAH1),246000,20005
DCDC100033,RES,CLS,1109 M St NW #1,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/23/2019,Keller Williams Realty (KWR14),403500,20005
DCDC436878,RES,CLS,1311 13th St NW #402,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/13/2019,"RE/MAX Distinctive Real Estate, Inc. (RMAX5)",490000,20005
DCDC436640,RES,CLS,1426 Rhode Island Ave NW #D,Washington,"Washington, DC",3,1-Mar,Unit/Flat/Apartment,8/22/2019,Compass (COMPS1),1010000,20005
DCDC436342,RES,CLS,1306 Rhode Island Ave NW #1,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,7/23/2019,"Long & Foster Real Estate, Inc. (LNG44)",665000,20005
DCDC436186,RES,CLS,1150 K St NW #409,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,8/20/2019,"McEnearney Associates, Inc. (MCE7)",570000,20005
DCDC435798,RES,CLS,1320 13th St NW #34,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,8/9/2019,Compass (COMPS1),680000,20005
DCDC433898,RES,CLS,1306 O St NW #203,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/15/2019,"Long & Foster Real Estate, Inc. (LNG44)",530000,20005
DCDC435288,RES,CLS,1325 13th St NW #9,Washington,"Washington, DC",3,1-Feb,Unit/Flat/Apartment,8/8/2019,Compass (COMPS1),945000,20005
