MLS #,Cat,Status,Address,City,County,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price,Zip
DCDC436574,RES,CLS,2149 California St NW #A,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/19/2019,Compass (COMPS1),480000,20008
DCDC100045,RES,CLS,3001 Veazey Ter NW #801,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,7/31/2019,"Long & Foster Real Estate, Inc. (LNG1)",599000,20008
DCDC436670,RES,CLS,4812 32nd St NW,Washington,"Washington, DC",4,1-Mar,Detached,7/25/2019,EJF Real Estate Services (EJF1),1625000,20008
DCDC435936,RES,CLS,2660 Connecticut Ave NW #5B,Washington,"Washington, DC",2,1-Feb,Unit/Flat/Apartment,7/19/2019,TTR Sotheby's International Realty (TTRS2),2150000,20008
DCDC435394,RES,CLS,4514 Connecticut Ave NW #401,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/29/2019,TTR Sotheby's International Realty (TTRS4),509000,20008
DCDC435700,RES,CLS,3100 Connecticut Ave NW #321,Washington,"Washington, DC",0,1,Unit/Flat/Apartment,7/25/2019,Compass (COMPS9),219500,20008
DCDC434742,RES,CLS,2901 Tilden St NW,Washington,"Washington, DC",3,1-Feb,Twin/Semi-Detached,8/6/2019,"Evers & Co. Real Estate, A Long & Foster Company (EVR1)",885000,20008
DCDC434680,RES,CLS,3001 Veazey Ter NW #102,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,8/21/2019,"Long & Foster Real Estate, Inc. (LNG1)",476551,20008
DCDC434884,RES,CLS,3024 Porter St NW #303,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/12/2019,Redfin Corp (REFC3),312500,20008
DCDC433896,RES,CLS,3001 Veazey Ter NW #923,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/15/2019,"Long & Foster Real Estate, Inc. (LNG44)",315000,20008
DCDC434734,RES,CLS,2711 Ordway St NW #303,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/29/2019,"Long & Foster Real Estate, Inc. (LNG44)",390000,20008
DCDC434310,RES,CLS,4701 Connecticut Ave NW #503,Washington,"Washington, DC",2,2,Unit/Flat/Apartment,8/1/2019,"Washington Fine Properties, LLC (WFP1)",685000,20008
