MLS #,Cat,Status,Address,City,County,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price,Zip
DCDC438820,RES,CLS,1609 Minnesota Ave SE,Washington,"Washington, DC",2,1-Jan,Row/Townhouse,8/30/2019,RE/MAX Specialists (RMSP1),191000,20020
DCDC436328,RES,CLS,1920 Naylor Rd SE #109,Washington,"Washington, DC",2,1,Unit/Flat/Apartment,8/26/2019,Cosmopolitan Properties Real Estate Brokerage (CSMO1),80500,20020
DCDC435896,RES,CLS,2900 P St SE,Washington,"Washington, DC",3,1,Detached,8/29/2019,Coldwell Banker Residential Brokerage (CBRB52),500000,20020
DCDC435470,RES,CLS,2006 38th St SE #A,Washington,"Washington, DC",3,2,Unit/Flat/Apartment,7/26/2019,Keller Williams Capital Properties (KWCP1),275000,20020
DCDC435466,RES,CLS,1412 22nd St SE,Washington,"Washington, DC",3,1-Jan,Detached,8/16/2019,RE/MAX United Real Estate (RMXD1),260000,20020
DCDC435140,RES,CLS,3101 Naylor Rd SE #302,Washington,"Washington, DC",2,1,Unit/Flat/Apartment,8/23/2019,D.S.A. Properties & Investments LLC (DSPR1),101500,20020
DCDC435164,RES,CLS,3200 Buena Vista Ter SE,Washington,"Washington, DC",4,3,Detached,8/16/2019,Craig Fauver Real Estate (CRGF1),435000,20020
DCDC434786,RES,CLS,1666 Fort Dupont St SE,Washington,"Washington, DC",3,1-Jan,Twin/Semi-Detached,8/20/2019,Greenland Realty (GNLR1),255000,20020
DCDC434588,RES,CLS,3922 Southern Ave SE #301,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/31/2019,"Smart Realty, LLC (CMAR1)",89900,20020
DCDC434420,RES,CLS,3901 Pennsylvania Ave SE #B,Washington,"Washington, DC",2,1,End of Row/Townhouse,7/29/2019,RLAH Real Estate (RLAH4),235000,20020
DCDC434460,RES,CLS,1755 Tobias Dr SE,Washington,"Washington, DC",3,1-Feb,Row/Townhouse,7/31/2019,Bennett Realty Solutions (EXBR1),355000,20020
DCDC433786,RES,CLS,2419 Savannah St SE,Washington,"Washington, DC",3,1-Jan,End of Row/Townhouse,7/30/2019,RE/MAX Realty Group (RMX2),235000,20020
DCDC433626,RES,CLS,1137 Chicago St SE,Washington,"Washington, DC",4,1-Jan,End of Row/Townhouse,8/12/2019,"Urban Land Company, LLC (ULC1)",420000,20020
DCDC433540,RES,CLS,3300 Carpenter St SE,Washington,"Washington, DC",4,2,Detached,8/12/2019,Keller Williams Capital Properties (KWCP1),625000,20020
DCDC433474,RES,CLS,2930 Fort Baker Dr SE,Washington,"Washington, DC",3,1-Mar,Detached,7/10/2019,"McEnearney Associates, Inc. (MCE7)",477500,20020
DCDC432706,RES,CLS,2433 15th Pl SE,Washington,"Washington, DC",2,1-Jan,Twin/Semi-Detached,8/14/2019,Customer Realty LLC (CUST1),329000,20020
DCDC432252,RES,CLS,1812 28th Pl SE,Washington,"Washington, DC",4,4,Row/Townhouse,7/23/2019,Taylor Properties (TAYL1),540000,20020
DCDC432528,RES,CLS,3816 W St SE #B,Washington,"Washington, DC",2,1,End of Row/Townhouse,7/25/2019,Keller Williams Capital Properties (KWCP1),234816,20020
DCDC431992,RES,CLS,3463 23rd St SE,Washington,"Washington, DC",3,2,Twin/Semi-Detached,7/31/2019,"Long & Foster Real Estate, Inc. (LNG42)",371000,20020
DCDC432212,RES,CLS,2923 Pennsylvania Ave SE,Washington,"Washington, DC",8,4,Detached,7/17/2019,Compass (COMPS1),810000,20020
DCDC431674,RES,CLS,2486 Skyland Pl SE,Washington,"Washington, DC",4,Jan-00,Row/Townhouse,8/9/2019,Own Real Estate (ALGN1),250000,20020
DCDC431560,RES,CLS,2202 16th St SE,Washington,"Washington, DC",5,Feb-00,Row/Townhouse,8/15/2019,Latitudes LLC (LATD1),310000,20020
DCDC431284,RES,CLS,1740 Galen St SE,Washington,"Washington, DC",3,1-Feb,Twin/Semi-Detached,7/26/2019,Compass (COMPS2),325000,20020
DCDC431482,RES,CLS,2124 31st Pl SE,Washington,"Washington, DC",4,3,Detached,7/8/2019,Fairfax Realty Select (FXR1),615000,20020
DCDC431348,RES,CLS,2506 Elvans Rd SE,Washington,"Washington, DC",4,3,Row/Townhouse,8/26/2019,KW Metro Center (KWR9),480000,20020
