MLS #,Cat,Status,Address,City,County,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price,Zip
DCDC440368,RES,CLS,1005 Congress St SE,Washington,"Washington, DC",4,1-Mar,Detached,8/30/2019,McEnearney Associates (MCE14),475000,20032
DCDC437740,RES,CLS,412 Woodcrest Dr SE #412B,Washington,"Washington, DC",3,1-Feb,End of Row/Townhouse,7/15/2019,Non Subscribing Office (NON1),479900,20032
DCDC100057,RES,CLS,3878 9th St SE #102,Washington,"Washington, DC",3,1,Unit/Flat/Apartment,8/23/2019,Keller Williams Realty (KWR8),139500,20032
DCDC437226,RES,CLS,5 Brandywine St SE,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,7/24/2019,Non Subscribing Office (NON1),50000,20032
DCDC436950,RES,CLS,1222 Trenton Pl SE,Washington,"Washington, DC",3,1,Twin/Semi-Detached,7/27/2019,RE/MAX Allegiance (RMAX17),275000,20032
DCDC434632,RES,CLS,224 Malcolm X Ave SE,Washington,"Washington, DC",7,2,Twin/Semi-Detached,7/31/2019,Century 21 New Millennium (CENT2007),280000,20032
DCDC434494,RES,CLS,4325 Halley Ter SE #202,Washington,"Washington, DC",1,1,Penthouse Unit/Flat/Apartment,8/30/2019,The ONE Street Company (ONERE1),159900,20032
DCDC433456,RES,CLS,115 Trenton Pl SE,Washington,"Washington, DC",2,2,Twin/Semi-Detached,8/23/2019,Fairfax Realty Elite (FXR13),367098,20032
DCDC432990,RES,CLS,133 Elmira St SW,Washington,"Washington, DC",4,2,Twin/Semi-Detached,8/29/2019,Fairfax Realty Elite (FXR4),380000,20032
DCDC432922,RES,CLS,1112 Savannah St SE #33,Washington,"Washington, DC",2,1,Unit/Flat/Apartment,6/18/2019,Non Subscribing Office (NON1),240000,20032
DCDC432914,RES,CLS,1218 Trenton Pl SE,Washington,"Washington, DC",3,1-Jan,End of Row/Townhouse,7/31/2019,Bennett Realty Solutions (EXBR1),300000,20032
DCDC432282,RES,CLS,4130 4th St SE #102,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,6/28/2019,"Long & Foster Real Estate, Inc. (LNG42)",70000,20032
DCDC432244,RES,CLS,4130 4th St SE #101,Washington,"Washington, DC",2,1,Unit/Flat/Apartment,6/28/2019,"Long & Foster Real Estate, Inc. (LNG42)",90000,20032
DCDC431048,RES,CLS,210 Oakwood St SE #307,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/30/2019,"Parlay Real Estate, LLC. (PARLY1)",215000,20032
DCDC431596,RES,CLS,1035 Wahler Pl SE,Washington,"Washington, DC",3,1-Feb,Row/Townhouse,8/19/2019,Keller Williams Capital Properties (KWCP1),405000,20032
DCDC431392,RES,CLS,916 Barnaby St SE #202,Washington,"Washington, DC",1,Jan-00,Unit/Flat/Apartment,8/6/2019,RE/MAX Allegiance (RMAX20),45000,20032
DCDC431370,RES,CLS,914 Barnaby St SE #303,Washington,"Washington, DC",2,Jan-00,Unit/Flat/Apartment,8/21/2019,RE/MAX Allegiance (RMAX20),45000,20032
DCDC431266,RES,CLS,3433 10th Pl SE,Washington,"Washington, DC",3,1-Mar,Row/Townhouse,7/31/2019,Coldwell Banker Residential Brokerage (CBRB115),489900,20032
DCDC430994,RES,CLS,114 Danbury St SW #1,Washington,"Washington, DC",3,2,Unit/Flat/Apartment,8/2/2019,D.S.A. Properties & Investments LLC (DSPR1),130000,20032
DCDC426806,RES,CLS,70 Darrington St SW,Washington,"Washington, DC",4,1-Mar,Twin/Semi-Detached,7/22/2019,Keller Williams Preferred Properties (KWPP1),449900,20032
DCDC430408,RES,CLS,910 Barnaby St SE #201,Washington,"Washington, DC",2,1,Unit/Flat/Apartment,7/24/2019,Coldwell Banker Residential Brokerage (CBRB106),111000,20032
