MLS #,Cat,Status,Address,City,County,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price,Zip
DCDC439278,RES,CLS,324 Tennessee Ave NE,Washington,"Washington, DC",4,2-Mar,Row/Townhouse,8/15/2019,Non Subscribing Office (NON1),1000000,20002
DCDC438344,RES,CLS,1214 Orren St NE,Washington,"Washington, DC",3,Feb-00,Row/Townhouse,8/13/2019,Berkshire Hathaway HomeServices PenFed Realty (PFED4),826000,20002
DCDC438010,RES,CLS,1508 F St NE #1,Washington,"Washington, DC",2,2,End of Row/Townhouse,8/16/2019,Compass (COMPS2),450000,20002
DCDC437928,RES,CLS,311 16th St NE,Washington,"Washington, DC",3,3,End of Row/Townhouse,8/30/2019,Fairfax Realty Elite (FXR4),762500,20002
DCDC437938,RES,CLS,220 Adams St NE,Washington,"Washington, DC",3,2,Row/Townhouse,8/28/2019,Compass (COMPS6),635000,20002
DCDC437424,RES,CLS,1508 F St NE #5,Washington,"Washington, DC",2,2,End of Row/Townhouse,8/15/2019,Compass (COMPS2),629900,20002
DCDC100473,RES,CLS,224 15th St NE,Washington,"Washington, DC",3,1-Feb,Row/Townhouse,8/26/2019,TTR Sotheby's International Realty (TTRS5),835125,20002
DCDC100257,RES,CLS,2008 C St NE,Washington,"Washington, DC",3,1,Row/Townhouse,8/28/2019,Compass (COMPS3),665000,20002
DCDC436912,RES,CLS,327 L St NE,Washington,"Washington, DC",3,2,Twin/Semi-Detached,8/13/2019,RE/MAX Allegiance (RMAX20),750000,20002
DCDC436544,RES,CLS,1521 Isherwood St NE,Washington,"Washington, DC",3,1-Jan,Row/Townhouse,8/14/2019,Compass (COMPS1),685000,20002
DCDC436364,RES,CLS,1643 Montello Ave NE #2,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/16/2019,RLAH Real Estate (RLAH2),285900,20002
DCDC435968,RES,CLS,1315 Emerald St NE,Washington,"Washington, DC",3,1-Jan,Row/Townhouse,8/13/2019,Compass (COMPS1),772400,20002
DCDC435944,RES,CLS,2315 3rd St NE,Washington,"Washington, DC",2,1-Jan,Row/Townhouse,8/9/2019,"Long & Foster Real Estate, Inc. (LNG194)",425000,20002
DCDC435834,RES,CLS,1350 Maryland Ave NE #516,Washington,"Washington, DC",2,1,Penthouse Unit/Flat/Apartment,8/26/2019,Compass (COMPS6),535000,20002
DCDC435656,RES,CLS,1235 Linden Pl NE,Washington,"Washington, DC",2,1-Jan,Row/Townhouse,8/20/2019,Keller Williams Capital Properties (KWCP1),735000,20002
DCDC435572,RES,CLS,1442 D St NE,Washington,"Washington, DC",3,2,Row/Townhouse,8/26/2019,Keller Williams Capital Properties (KWCP1),815000,20002
DCDC435070,RES,CLS,710 E St NE,Washington,"Washington, DC",3,2-Jan,Row/Townhouse,8/26/2019,RLAH Real Estate (RLAH4),841000,20002
DCDC435280,RES,CLS,1831 2nd St NE #306,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/16/2019,Redfin Corp (REFC3),301499,20002
DCDC434986,RES,CLS,624 Maryland Ave NE #1,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/23/2019,Keller Williams Capital Properties (KWCP1),376000,20002
DCDC434642,RES,CLS,1216 Maryland Ave NE,Washington,"Washington, DC",2,2,Row/Townhouse,8/26/2019,RE/MAX Allegiance (RMAX17),815000,20002
DCDC435018,RES,CLS,2426 4th St NE,Washington,"Washington, DC",2,2,Row/Townhouse,8/15/2019,"Weichert, REALTORS (WEI9)",519610,20002
DCDC435028,RES,CLS,1356 C St NE,Washington,"Washington, DC",2,1-Jan,Row/Townhouse,8/8/2019,Coldwell Banker Residential Brokerage (CBRB52),675000,20002
DCDC435004,RES,CLS,224 T Street NE #2,Washington,"Washington, DC",2,2,Penthouse Unit/Flat/Apartment,8/28/2019,TTR Sothebys International Realty (TTRS3),545000,20002
DCDC434948,RES,CLS,616 Constitution Ave NE,Washington,"Washington, DC",4,1-Feb,Row/Townhouse,8/9/2019,Compass (COMPS6),1206000,20002
DCDC434692,RES,CLS,822 K St NE,Washington,"Washington, DC",2,1,Row/Townhouse,8/26/2019,"Washington Fine Properties, LLC (WFP3)",721442,20002
DCDC434922,RES,CLS,604 14th Pl NE,Washington,"Washington, DC",2,2,Row/Townhouse,8/16/2019,Keller Williams Realty Falls Church (KWR30),650000,20002
DCDC434928,RES,CLS,306 Todd Pl NE #1,Washington,"Washington, DC",2,1,Unit/Flat/Apartment,8/5/2019,Compass (COMPS1),399900,20002
DCDC434886,RES,CLS,1628 Trinidad Ave NE #2,Washington,"Washington, DC",4,3,Penthouse Unit/Flat/Apartment,8/23/2019,"Central Properties, LLC, (CTRP1)",650000,20002
DCDC434296,RES,CLS,1241 I St NE,Washington,"Washington, DC",3,1-Feb,Row/Townhouse,8/6/2019,Compass (COMPS2),825000,20002
DCDC434834,RES,CLS,315 Evarts St NE #108,Washington,"Washington, DC",1,Jan-00,Unit/Flat/Apartment,8/12/2019,Berkshire Hathaway HomeServices PenFed Realty (PFED4),280000,20002
DCDC434828,RES,CLS,1326 E St NE,Washington,"Washington, DC",3,1-Feb,Row/Townhouse,7/31/2019,Compass (COMPS4),826524,20002
DCDC434176,RES,CLS,1304 E St NE,Washington,"Washington, DC",4,1-Mar,Row/Townhouse,8/16/2019,RE/MAX Allegiance (RMAX20),1100000,20002
DCDC434708,RES,CLS,204 10th St NE,Washington,"Washington, DC",4,1-Mar,Row/Townhouse,8/16/2019,"Formant Property Group, LLC (JCF1)",1275000,20002
DCDC434426,RES,CLS,1245 18th St NE #2,Washington,"Washington, DC",4,3,Row/Townhouse,8/20/2019,KW Metro Center (KWR17),499999,20002
DCDC434304,RES,CLS,337 10th St NE,Washington,"Washington, DC",4,Feb-00,End of Row/Townhouse,8/26/2019,Keller Williams Capital Properties (KWCP1),950000,20002
DCDC433268,RES,CLS,14 T St NE #4,Washington,"Washington, DC",2,2,End of Row/Townhouse,8/16/2019,Fairfax Realty of Tysons (FRX2),590000,20002
DCDC434206,RES,CLS,1211 Holbrook Ter NE #2,Washington,"Washington, DC",2,1,Unit/Flat/Apartment,8/15/2019,Platinum Partners Realty (PLATP1),280000,20002
