MLS #,Cat,Status,Address,City,County,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price,Zip
DCDC440450,RES,CLS,516 5th St SE,Washington,"Washington, DC",2,1-Feb,Twin/Semi-Detached,8/31/2019,Compass (COMPS3),900000,20003
DCDC438464,RES,CLS,1440 E St SE,Washington,"Washington, DC",3,1-Jan,Row/Townhouse,8/15/2019,Compass (COMPS3),825000,20003
DCDC434448,RES,CLS,1300 4th St SE #707,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/1/2019,Compass (COMPS1),554900,20003
DCDC436518,RES,CLS,123 17th St SE #3,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/23/2019,"Long & Foster Real Estate, Inc. (LNG194)",329900,20003
DCDC432400,RES,CLS,1314 C St SE,Washington,"Washington, DC",3,1-Jan,Row/Townhouse,6/18/2019,Non Subscribing Office (NON1),850000,20003
DCDC436264,RES,CLS,412 16th St SE,Washington,"Washington, DC",3,3,Row/Townhouse,8/19/2019,Compass (COMPS1),850412,20003
DCDC436204,RES,CLS,1391 Pennsylvania Ave SE #M08,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/28/2019,Coldwell Banker Residential Brokerage (CBRB106),445000,20003
DCDC434038,RES,CLS,541 14th St SE,Washington,"Washington, DC",3,1-Feb,Row/Townhouse,8/23/2019,Coldwell Banker Residential Brokerage (CBRB52),1095000,20003
DCDC435182,RES,CLS,610 3rd St SE #11,Washington,"Washington, DC",1,1,Unit/Flat/Apartment,8/22/2019,Century 21 New Millennium (CENT2032),366610,20003
DCDC435472,RES,CLS,1208 Walter St SE,Washington,"Washington, DC",2,1-Jan,Row/Townhouse,8/31/2019,RE/MAX Allegiance (RMAX20),774120,20003
DCDC435362,RES,CLS,1300 4th SE #1002,Washington,"Washington, DC",0,1,Unit/Flat/Apartment,8/28/2019,"PN Hoffman Realty, LLC (PNH1)",445000,20003
DCDC434074,RES,CLS,732 13th St SE,Washington,"Washington, DC",2,2,Row/Townhouse,8/21/2019,Glass House Real Estate (PTRET1),820000,20003
DCDC435008,RES,CLS,322 2nd St SE,Washington,"Washington, DC",3,3,Row/Townhouse,8/19/2019,Compass (COMPS1),1265000,20003
