Age,Number,Percent
0,134,0.9
1,151,1
2,141,0.9
3,159,1.1
4,148,1
5,155,1
6,151,1
7,136,0.9
8,160,1.1
9,152,1
10,132,0.9
11,138,0.9
12,144,1
13,126,0.8
14,150,1
15,140,0.9
16,117,0.8
17,115,0.8
18,118,0.8
19,111,0.7
20 - 24,799,5.3
25 - 29,1061,7
30 - 34,1020,6.8
35 - 39,1013,6.7
40 - 44,980,6.5
45 - 49,960,6.4
50 - 54,978,6.5
55 - 59,1133,7.5
60 - 64,1130,7.5
65 - 69,990,6.6
70 - 74,805,5.3
75 - 79,569,3.8
80 - 84,399,2.6
85+,444,2.9
