Age,Number,Percent
0,732,1.1
1,767,1.2
2,715,1.1
3,719,1.1
4,677,1
5,735,1.1
6,703,1.1
7,753,1.2
8,733,1.1
9,762,1.2
10,728,1.1
11,754,1.2
12,723,1.1
13,773,1.2
14,744,1.1
15,642,1
16,673,1
17,667,1
18,715,1.1
19,829,1.3
20 - 24,4016,6.1
25 - 29,4546,6.9
30 - 34,4956,7.6
35 - 39,5000,7.6
40 - 44,4289,6.6
45 - 49,4193,6.4
50 - 54,4133,6.3
55 - 59,4510,6.9
60 - 64,4125,6.3
65 - 69,3511,5.4
70 - 74,2784,4.3
75 - 79,1855,2.8
80 - 84,1366,2.1
85+,1628,2.5
