Age,Number,Percent
0,788,1.5
1,817,1.5
2,819,1.5
3,797,1.5
4,746,1.4
5,789,1.5
6,792,1.5
7,771,1.4
8,780,1.4
9,810,1.5
10,865,1.6
11,814,1.5
12,783,1.5
13,807,1.5
14,758,1.4
15,719,1.3
16,768,1.4
17,788,1.5
18,772,1.4
19,746,1.4
20 - 24,3595,6.7
25 - 29,3931,7.3
30 - 34,3647,6.8
35 - 39,3562,6.6
40 - 44,3101,5.8
45 - 49,3193,5.9
50 - 54,3186,5.9
55 - 59,3438,6.4
60 - 64,3191,5.9
65 - 69,2564,4.8
70 - 74,1924,3.6
75 - 79,1266,2.4
80 - 84,801,1.5
85+,735,1.4
