Age,Number,Percent
0,839,1.1
1,800,1.1
2,744,1
3,710,1
4,667,0.9
5,760,1
6,677,0.9
7,658,0.9
8,660,0.9
9,650,0.9
10,657,0.9
11,611,0.8
12,617,0.8
13,635,0.9
14,601,0.8
15,543,0.7
16,588,0.8
17,577,0.8
18,672,0.9
19,852,1.2
20 - 24,5682,7.8
25 - 29,8156,11.2
30 - 34,7563,10.4
35 - 39,6109,8.4
40 - 44,4901,6.7
45 - 49,4481,6.1
50 - 54,4299,5.9
55 - 59,4568,6.3
60 - 64,4293,5.9
65 - 69,3483,4.8
70 - 74,2389,3.3
75 - 79,1499,2.1
80 - 84,962,1.3
85+,1100,1.5
