Age,Number,Percent
0,130,0.8
1,123,0.8
2,136,0.9
3,109,0.7
4,100,0.6
5,111,0.7
6,105,0.7
7,102,0.6
8,116,0.7
9,107,0.7
10,93,0.6
11,103,0.7
12,107,0.7
13,110,0.7
14,90,0.6
15,102,0.6
16,108,0.7
17,111,0.7
18,114,0.7
19,134,0.9
20 - 24,1057,6.7
25 - 29,1720,11
30 - 34,1662,10.6
35 - 39,1277,8.1
40 - 44,929,5.9
45 - 49,915,5.8
50 - 54,902,5.7
55 - 59,1099,7
60 - 64,1127,7.2
65 - 69,914,5.8
70 - 74,789,5
75 - 79,486,3.1
80 - 84,288,1.8
85+,329,2.1
