Age,Number,Percent
0,241,0.8
1,182,0.6
2,193,0.6
3,175,0.6
4,167,0.5
5,185,0.6
6,161,0.5
7,152,0.5
8,141,0.5
9,157,0.5
10,141,0.5
11,141,0.5
12,144,0.5
13,143,0.5
14,128,0.4
15,123,0.4
16,125,0.4
17,128,0.4
18,129,0.4
19,146,0.5
20 - 24,2321,7.5
25 - 29,4242,13.7
30 - 34,4091,13.2
35 - 39,2821,9.1
40 - 44,1805,5.8
45 - 49,1526,4.9
50 - 54,1558,5
55 - 59,1964,6.3
60 - 64,2001,6.5
65 - 69,1847,6
70 - 74,1473,4.8
75 - 79,909,2.9
80 - 84,568,1.8
85+,723,2.3
