Age,Number,Percent
0,12,0.6
1,13,0.7
2,9,0.5
3,8,0.4
4,8,0.4
5,6,0.3
6,6,0.3
7,6,0.3
8,6,0.3
9,6,0.3
10,6,0.3
11,6,0.3
12,5,0.3
13,6,0.3
14,4,0.2
15,5,0.3
16,4,0.2
17,5,0.3
18,5,0.3
19,6,0.3
20 - 24,91,4.9
25 - 29,258,13.9
30 - 34,256,13.8
35 - 39,204,11
40 - 44,148,8
45 - 49,126,6.8
50 - 54,117,6.3
55 - 59,129,6.9
60 - 64,107,5.7
65 - 69,104,5.6
70 - 74,73,3.9
75 - 79,50,2.7
80 - 84,28,1.5
85+,38,2
