Age,Number,Percent
0,791,1.3
1,804,1.4
2,812,1.4
3,790,1.3
4,802,1.3
5,870,1.5
6,791,1.3
7,752,1.3
8,874,1.5
9,840,1.4
10,813,1.4
11,860,1.4
12,842,1.4
13,816,1.4
14,936,1.6
15,796,1.3
16,862,1.4
17,810,1.4
18,790,1.3
19,769,1.3
20 - 24,4097,6.9
25 - 29,4459,7.5
30 - 34,3855,6.5
35 - 39,3571,6
40 - 44,3247,5.5
45 - 49,3441,5.8
50 - 54,3606,6.1
55 - 59,4149,7
60 - 64,3687,6.2
65 - 69,3091,5.2
70 - 74,2284,3.8
75 - 79,1542,2.6
80 - 84,955,1.6
85+,1091,1.8
