Age,Number,Percent
0,282,0.8
1,253,0.7
2,216,0.6
3,203,0.6
4,213,0.6
5,201,0.6
6,169,0.5
7,184,0.5
8,174,0.5
9,182,0.5
10,174,0.5
11,156,0.5
12,151,0.4
13,161,0.5
14,136,0.4
15,112,0.3
16,115,0.3
17,132,0.4
18,982,2.9
19,1926,5.7
20 - 24,6292,18.5
25 - 29,3796,11.2
30 - 34,2874,8.5
35 - 39,2315,6.8
40 - 44,1659,4.9
45 - 49,1446,4.3
50 - 54,1311,3.9
55 - 59,1520,4.5
60 - 64,1819,5.4
65 - 69,1725,5.1
70 - 74,1296,3.8
75 - 79,801,2.4
80 - 84,500,1.5
85+,484,1.4
