Age,Number,Percent
0,162,1
1,171,1
2,203,1.2
3,183,1.1
4,193,1.2
5,207,1.2
6,220,1.3
7,222,1.3
8,208,1.2
9,214,1.3
10,233,1.4
11,237,1.4
12,231,1.4
13,215,1.3
14,225,1.3
15,189,1.1
16,203,1.2
17,175,1
18,153,0.9
19,128,0.8
20 - 24,653,3.9
25 - 29,677,4
30 - 34,813,4.9
35 - 39,904,5.4
40 - 44,947,5.7
45 - 49,1058,6.3
50 - 54,1061,6.3
55 - 59,1250,7.5
60 - 64,1172,7
65 - 69,1154,6.9
70 - 74,1000,6
75 - 79,676,4
80 - 84,504,3
85+,878,5.3
