Age,Number,Percent
0,173,0.8
1,171,0.8
2,154,0.7
3,161,0.8
4,157,0.8
5,159,0.8
6,158,0.8
7,161,0.8
8,175,0.8
9,156,0.8
10,160,0.8
11,154,0.7
12,163,0.8
13,183,0.9
14,165,0.8
15,132,0.6
16,143,0.7
17,156,0.8
18,503,2.4
19,743,3.6
20 - 24,1912,9.3
25 - 29,1286,6.2
30 - 34,1432,6.9
35 - 39,1311,6.4
40 - 44,1124,5.5
45 - 49,1094,5.3
50 - 54,1133,5.5
55 - 59,1287,6.2
60 - 64,1287,6.2
65 - 69,1190,5.8
70 - 74,1029,5
75 - 79,820,4
80 - 84,654,3.2
85+,935,4.5
