Age,Number,Percent
0,297,0.9
1,277,0.8
2,300,0.9
3,313,0.9
4,280,0.8
5,314,0.9
6,299,0.9
7,294,0.9
8,297,0.9
9,312,0.9
10,316,0.9
11,293,0.9
12,302,0.9
13,296,0.9
14,290,0.8
15,255,0.7
16,271,0.8
17,284,0.8
18,994,2.9
19,1618,4.7
20 - 24,3781,11
25 - 29,2304,6.7
30 - 34,2135,6.2
35 - 39,2049,6
40 - 44,1766,5.1
45 - 49,1808,5.3
50 - 54,1829,5.3
55 - 59,2090,6.1
60 - 64,2133,6.2
65 - 69,2023,5.9
70 - 74,1679,4.9
75 - 79,1212,3.5
80 - 84,773,2.2
85+,924,2.7
