Age,Number,Percent
0,370,1.1
1,317,0.9
2,342,1
3,319,1
4,299,0.9
5,306,0.9
6,268,0.8
7,303,0.9
8,286,0.9
9,281,0.8
10,281,0.8
11,264,0.8
12,251,0.7
13,252,0.8
14,290,0.9
15,233,0.7
16,222,0.7
17,268,0.8
18,287,0.9
19,300,0.9
20 - 24,2395,7.1
25 - 29,4153,12.4
30 - 34,4687,14
35 - 39,3699,11
40 - 44,2449,7.3
45 - 49,2030,6.1
50 - 54,1793,5.3
55 - 59,1716,5.1
60 - 64,1407,4.2
65 - 69,1197,3.6
70 - 74,913,2.7
75 - 79,557,1.7
80 - 84,379,1.1
85+,404,1.2
