Age,Number,Percent
0,747,1.8
1,724,1.8
2,728,1.8
3,684,1.7
4,646,1.6
5,627,1.6
6,680,1.7
7,624,1.5
8,588,1.5
9,644,1.6
10,617,1.5
11,589,1.5
12,606,1.5
13,595,1.5
14,556,1.4
15,526,1.3
16,511,1.3
17,526,1.3
18,585,1.4
19,637,1.6
20 - 24,3350,8.3
25 - 29,3362,8.3
30 - 34,2917,7.2
35 - 39,2739,6.8
40 - 44,2316,5.7
45 - 49,2209,5.5
50 - 54,2236,5.5
55 - 59,2316,5.7
60 - 64,2115,5.2
65 - 69,1681,4.2
70 - 74,1202,3
75 - 79,720,1.8
80 - 84,456,1.1
85+,339,0.8
