Age,Number,Percent
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,1,0.6
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,9,5.5
19,13,8
20 - 24,25,15.3
25 - 29,43,26.4
30 - 34,21,12.9
35 - 39,11,6.7
40 - 44,6,3.7
45 - 49,7,4.3
50 - 54,4,2.5
55 - 59,6,3.7
60 - 64,5,3.1
65 - 69,5,3.1
70 - 74,3,1.8
75 - 79,2,1.2
80 - 84,1,0.6
85+,1,0.6
