Zip Code,MLS #,Cat,Status,Address,City,County,Beds,Structure Type,Status Contractual Search Date,List Office Name,Current Price
20020,DCDC429280,RES,CLS,2616 33rd St SE,Washington,"Washington, DC",4,Detached,5/30/19,Non Subscribing Office (NON1),"$655,000 "
20020,DCDC429048,RES,CLS,2315 Altamont Pl SE #104,Washington,"Washington, DC",1,Unit/Flat/Apartment,6/21/19,Keller Williams Capital Properties (KWCP1),"$78,000 "
20020,DCDC428434,RES,CLS,2220 36th St SE,Washington,"Washington, DC",3,Detached,6/18/19,Compass (COMPS2),"$549,500 "
20020,DCDC428406,RES,CLS,1904 17th St SE,Washington,"Washington, DC",3,Row/Townhouse,6/21/19,Compass (COMPS1),"$410,000 "
20020,DCDC428202,RES,CLS,1513 Fort Davis St SE,Washington,"Washington, DC",2,Twin/Semi-Detached,7/1/19,Samson Properties (SAMP4),"$339,900 "
20020,DCDC427492,RES,CLS,1920 Savannah Pl SE,Washington,"Washington, DC",2,End of Row/Townhouse,8/16/19,Keller Williams Preferred Properties (KWPP1),"$300,000 "
20020,DCDC428282,RES,CLS,1613 Fairlawn Ave SE,Washington,"Washington, DC",3,Row/Townhouse,7/18/19,RE/MAX United Real Estate (RMXD1),"$450,000 "
20020,DCDC427770,RES,CLS,1910 Trenton Pl SE,Washington,"Washington, DC",3,Row/Townhouse,7/8/19,"Weichert, REALTORS (WEI29)","$370,000 "
20020,DCDC427718,RES,CLS,3312 SE Pope St SE,Washington,"Washington, DC",4,Detached,6/28/19,Keller Williams Preferred Properties (KWPP1),"$455,000 "
20020,DCDC426866,RES,CLS,2304 16th St SE,Washington,"Washington, DC",3,End of Row/Townhouse,7/29/19,"Parlay Real Estate, LLC. (PARLY1)","$430,000 "
20020,DCDC427530,RES,CLS,3031 O St SE,Washington,"Washington, DC",3,Detached,6/19/19,Coldwell Banker Residential Brokerage (CBRB52),"$479,000 "
20020,DCDC427390,RES,CLS,3100 O St SE,Washington,"Washington, DC",3,Detached,6/28/19,Keller Williams Capital Properties (KWCP1),"$556,000 "
