Zip Code,MLS #,Cat,Status,Address,City,County,Beds,Structure Type,Status Contractual Search Date,List Office Name,Current Price
20011,DCDC118688,RES,CLS,738 Longfellow St NW #112,Washington,"Washington, DC",2,Unit/Flat/Apartment,11/19/09,Gallagher & Co. Real Estate Inc. (GALC1),"$202,000 "
20011,DCDC118156,RES,CLS,440 Jefferson St NW,Washington,"Washington, DC",3,Row/Townhouse,2/22/10,Avalar Smart Choice Realty (AVSC1),"$180,000 "
20011,DCDC109590,RES,CLS,738 Longfellow St NW #103,Washington,"Washington, DC",1,Unit/Flat/Apartment,12/23/09,Gallagher & Co. Real Estate Inc. (GALC1),"$175,000 "
20011,DCDC109320,RES,CLS,738 Longfellow St NW #209,Washington,"Washington, DC",0,Unit/Flat/Apartment,7/8/10,Gallagher & Co. Real Estate Inc. (GALC1),"$105,000 "
20011,DCDC106246,RES,CLS,738 Longfellow St NW #106,Washington,"Washington, DC",1,Unit/Flat/Apartment,9/1/10,Gallagher & Co. Real Estate Inc. (GALC1),"$136,000 "
20011,1006118794,RES,CLS,823 Allison St NW,Washington,"Washington, DC",3,Row/Townhouse,11/24/09,"Metropolitan Regional Information Systems, Inc. (MRIS1)","$349,955 "
20011,1006118654,RES,CLS,6306 7th St NW,Washington,"Washington, DC",3,Row/Townhouse,5/25/10,"Metropolitan Regional Information Systems, Inc. (MRIS1)","$185,000 "
20011,1006117372,RES,CLS,5130 8th St NE,Washington,"Washington, DC",3,Twin/Semi-Detached,7/19/10,"Metropolitan Regional Information Systems, Inc. (MRIS1)","$311,000 "
20011,1006106276,RES,CLS,1301 Longfellow St NW #302,Washington,"Washington, DC",2,Unit/Flat/Apartment,9/15/09,Inclusions & Associates Real Estate (IARE1),"$180,000 "
20011,1006102648,RES,CLS,646 Hamilton St NW,Washington,"Washington, DC",2,End of Row/Townhouse,10/30/09,"Weichert, REALTORS (WEI7)","$240,000 "
20011,1006101816,RES,CLS,602 Jefferson St NE,Washington,"Washington, DC",3,Twin/Semi-Detached,9/24/10,Hounshell Real Estate (HOU1),"$186,000 "
20011,1006098864,RES,CLS,4121 Arkansas Ave NW,Washington,"Washington, DC",4,Row/Townhouse,11/10/09,TTR Sotheby's International Realty (TTRS2),"$425,000 "
20011,1006092762,RES,CLS,4422 3rd St NW,Washington,"Washington, DC",5,Row/Townhouse,10/19/09,"Weichert, REALTORS (WEI16)","$205,000 "
20011,1006082636,RES,CLS,711 Shepherd St NW,Washington,"Washington, DC",5,Row/Townhouse,3/11/11,Associates of Ekuban Realty Svcs. (EAR1),"$250,000 "
20011,1006051738,RES,CLS,6000 2nd St NW,Washington,"Washington, DC",4,Detached,2/26/10,"Real Estate By Owner, Inc. (REBO1)","$595,000 "
20011,1006042110,RES,CLS,1332 Farragut St NW,Washington,"Washington, DC",4,Detached,9/18/09,"Clark Realty Group, LLC (CKRG1)","$715,000 "
20011,1006035310,RES,CLS,6032 Eastern Ave NE,Washington,"Washington, DC",2,End of Row/Townhouse,11/30/09,RE/MAX Allegiance (RMAX20),"$235,000 "
20011,1006026574,RES,CLS,1725 Taylor St NW,Washington,"Washington, DC",6,Twin/Semi-Detached,9/15/09,"Long & Foster Real Estate, Inc. (LNG187)","$680,000 "
20011,1006017358,RES,CLS,1322 Missouri Ave NW #202,Washington,"Washington, DC",2,Unit/Flat/Apartment,1/8/10,"Cuzzi Realty, Inc. (CUZI3)","$185,000 "
20011,1006016170,RES,CLS,828 Emerson St NW,Washington,"Washington, DC",4,End of Row/Townhouse,5/3/10,"Weichert, REALTORS (WEI81)","$250,000 "
20011,1005999394,RES,CLS,1355 Shepherd St NW #3,Washington,"Washington, DC",2,Penthouse Unit/Flat/Apartment,12/18/09,"Evers & Co. Real Estate, A Long & Foster Company (EVR3)","$414,000 "
20011,1005979662,RES,CLS,738 Longfellow St NW #114,Washington,"Washington, DC",2,Unit/Flat/Apartment,5/28/10,Gallagher & Co. Real Estate Inc. (GALC1),"$228,000 "
20011,1005979606,RES,CLS,738 Longfellow St NW #305,Washington,"Washington, DC",1,Unit/Flat/Apartment,3/1/10,Gallagher & Co. Real Estate Inc. (GALC1),"$175,000 "
20011,1005727772,RES,CLS,5600 Kansas Ave NW,Washington,"Washington, DC",4,Twin/Semi-Detached,12/30/09,Capital City Auction & Realty Company (CTY1),"$325,000 "
20011,1005719300,RES,CLS,14 Ingraham St NW,Washington,"Washington, DC",3,Row/Townhouse,11/2/09,"Weichert, REALTORS (WEI16)","$325,000 "
20011,1005712122,RES,CLS,5405 8th St NW,Washington,"Washington, DC",4,Detached,10/7/09,Inclusions & Associates Real Estate (IARE1),"$410,000 "
20011,1005674502,RES,CLS,311 Gallatin St NW,Washington,"Washington, DC",5,End of Row/Townhouse,12/23/09,"UnionPlus Realty, Inc. (UPR1)","$317,000 "
20011,1005592188,RES,CLS,415 Missouri Ave NW,Washington,"Washington, DC",4,Row/Townhouse,11/29/10,Realty Executives Home Center (CERX1),"$340,000 "
20011,1005591426,RES,CLS,1226 Crittenden St NW,Washington,"Washington, DC",6,Detached,4/8/10,Heritage Realty Group (HRGP1),"$450,000 "
20011,1005591422,RES,CLS,4002 14th St NW,Washington,"Washington, DC",4,Row/Townhouse,1/25/11,First Decision Realty LLC (FDER1),"$290,000 "
20011,1005591178,RES,CLS,418 Jefferson St NW,Washington,"Washington, DC",4,Row/Townhouse,1/22/10,Coldwell Banker Residential Brokerage (CBRB106),"$177,500 "
20011,1005590454,RES,CLS,524 Somerset Pl NW,Washington,"Washington, DC",3,Twin/Semi-Detached,4/22/10,Taylor Properties (TAYL1),"$199,900 "
20011,1005590040,RES,CLS,1301 Longfellow St NW #303,Washington,"Washington, DC",1,Unit/Flat/Apartment,7/23/10,Inclusions & Associates Real Estate (IARE1),"$135,000 "
20011,1005590018,RES,CLS,235 Emerson St NW #201,Washington,"Washington, DC",1,Unit/Flat/Apartment,4/15/10,"Long & Foster Real Estate, Inc. (LNG3)","$158,000 "
20011,1005589174,RES,CLS,4907 Kansas Ave NW,Washington,"Washington, DC",4,End of Row/Townhouse,3/2/10,Inclusions & Associates Real Estate (IARE1),"$440,000 "
