Zip Code,MLS #,Cat,Status,Address,City,County,Beds,Structure Type,Status Contractual Search Date,List Office Name,Current Price
22202,VAAR148564,RES,CLS,3106 S Hill St,Arlington,"Arlington, VA",3,Detached,6/5/19,"Pearson Smith Realty, LLC (PSTH3)","$680,000 "
22202,VAAR148222,RES,CLS,1300 Army Navy Dr #803,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,5/31/19,TTR Sotheby's International Realty (TTRS6),"$325,000 "
22202,VAAR148262,RES,CLS,658 15th St S #A,Arlington,"Arlington, VA",3,Row/Townhouse,8/9/19,Century 21 Redwood Realty (RDWG2),"$646,000 "
22202,VAAR148080,RES,CLS,1101 S Arlington Ridge Rd #1005,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,6/13/19,KW Metro Center (KWR17),"$658,000 "
22202,VAAR147502,RES,CLS,2343 S Pierce St,Arlington,"Arlington, VA",4,Detached,4/16/19,"McEnearney Associates, Inc. (MCE1)","$900,000 "
22202,VAAR147582,RES,CLS,1805 Crystal Dr #504s,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,4/23/19,"Long & Foster Real Estate, Inc. (LNG183)","$375,000 "
22202,VAAR147684,RES,CLS,3650 S Glebe Rd #541,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,5/7/19,"Long & Foster Real Estate, Inc. (LNG66)","$565,000 "
22202,VAAR147546,RES,CLS,2716 S Fort Scott Dr,Arlington,"Arlington, VA",6,Detached,5/7/19,Washington Fine Properties (WFP9),"$1,600,000 "
22202,VAAR140894,RES,CLS,1300 Army Navy Dr #815,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,3/15/19,Non Subscribing Office (NON1),"$253,200 "
22202,VAAR147524,RES,CLS,2800 Ives St S,Arlington,"Arlington, VA",4,Detached,5/24/19,"Classic Realty, Ltd. (CLSS1)","$715,000 "
22202,VAAR147292,RES,CLS,1101 S Arlington Ridge Rd #706,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,8/21/19,KW Metro Center (KWR17),"$670,000 "
22202,VAAR147196,RES,CLS,3600 S Glebe Rd #415W,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,4/30/19,USRealty.com LLP (HPADCOM),"$385,000 "
22202,VAAR147072,RES,CLS,3221 S Glebe Rd,Arlington,"Arlington, VA",3,Detached,5/10/19,"EXP Realty, LLC. (EXPY1)","$655,000 "
22202,VAAR146922,RES,CLS,1200 S Arlington Ridge Rd #406,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,6/21/19,"Neighborhood Real Estate, LLC. (NEIB1)","$330,000 "
22202,VAAR140882,RES,CLS,1300 S Army Navy Dr #1007,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,5/14/19,Douglas Realty of Virginia LLC (DOGR2),"$280,000 "
22202,VAAR140830,RES,CLS,1300 Army Navy Dr #319,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,4/30/19,"Long & Foster Real Estate, Inc. (LNG84)","$209,500 "
22202,VAAR140724,RES,CLS,2724 S Arlington Ridge Rd,Arlington,"Arlington, VA",3,Detached,4/25/19,"Washington Fine Properties, LLC (WFP1)","$1,125,000 "
22202,VAAR139526,RES,CLS,3600 S Glebe Rd #507W,Arlington,"Arlington, VA",0,Unit/Flat/Apartment,4/16/19,"'Weichert, REALTORS (WEI64)","$260,000 "
22202,VAAR140546,RES,CLS,709 25th St S,Arlington,"Arlington, VA",4,Detached,4/18/19,Houwzer LLC (55732),"$1,211,000 "
22202,VAAR140520,RES,CLS,822 18th St S,Arlington,"Arlington, VA",3,Detached,5/3/19,RE/MAX Allegiance (RMAX127),"$800,000 "
22202,VAAR140058,RES,CLS,910 26th Pl S,Arlington,"Arlington, VA",3,Detached,3/14/19,Compass (COMPS5),"$790,000 "
22202,VAAR140352,RES,CLS,2704 S Joyce St,Arlington,"Arlington, VA",4,Detached,4/5/19,Century 21 Redwood Realty (RDWG2),"$1,140,000 "
22202,VAAR140266,RES,CLS,2615 S Joyce St,Arlington,"Arlington, VA",5,Detached,4/12/19,"McEnearney Associates, Inc. (MCE1)","$973,555 "
22202,VAAR139952,RES,CLS,1200 Crystal Dr #1212,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,6/7/19,"McEnearney Associates, Inc. (MCE3)","$775,000 "
22202,VAAR140240,RES,CLS,1805 Crystal Dr #407s,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,4/8/19,"Long & Foster Real Estate, Inc. (LNG66)","$575,000 "
22202,VAAR139166,RES,CLS,1805 Crystal Dr #507s,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,4/12/19,"Long & Foster Real Estate, Inc. (LNG78)","$610,000 "
22202,VAAR139966,RES,CLS,2413 S Queen St,Arlington,"Arlington, VA",3,End of Row/Townhouse,5/24/19,"McEnearney Associates, Inc. (MCE1)","$1,079,000 "
22202,VAAR139946,RES,CLS,1515 S Arlington Ridge Rd #505,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,4/12/19,Compass (COMPS4),"$449,999 "
22202,VAAR139682,RES,CLS,3650 S Glebe Rd #244,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,4/9/19,KW Metro Center (KWR17),"$430,000 "
22202,VAAR139894,RES,CLS,3600 S Glebe Rd #525W,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,3/21/19,KW Metro Center (KWR19),"$375,000 "
22202,VAAR139840,RES,CLS,3600 S Glebe Rd #405W,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,5/1/19,Nesbitt Realty (CNOA1),"$350,000 "
22202,VAAR139856,RES,CLS,3650 S Glebe Rd #257,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,4/1/19,KW Metro Center (KWR19),"$425,000 "
22202,VAAR139420,RES,CLS,1200 Crystal Dr #1712,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,4/5/19,RE/MAX Allegiance (RMAX34),"$770,000 "
22202,VAAR139300,RES,CLS,2710 S Hayes St,Arlington,"Arlington, VA",4,Detached,4/15/19,Washington Fine Properties (WFP9),"$1,266,200 "
22202,VAAR139048,RES,CLS,"1200 Crystal Dr #1713, 1714",Arlington,"Arlington, VA",3,Unit/Flat/Apartment,4/15/19,RE/MAX Allegiance (RMAX17),"$1,100,000 "
22202,VAAR136404,RES,CLS,1101 S Arlington Ridge Rd #815,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,5/22/19,KW Metro Center (KWR17),"$655,000 "
22202,VAAR123824,RES,CLS,1318 21st St S,Arlington,"Arlington, VA",3,Detached,2/15/19,TTR Sotheby's International Realty (TTRS6),"$1,260,000 "
22202,VAAR104502,RES,CLS,1028 16th St S,Arlington,"Arlington, VA",3,Detached,1/22/19,Optime Realty (OPMR1),"$630,000 "
22202,VAAR120838,RES,CLS,3600 S Glebe Rd #219W,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,3/29/19,Redfin Corporation (REFC1),"$550,000 "
22202,VAAR120756,RES,CLS,1300 S Arlington Ridge Rd #717,Arlington,"Arlington, VA",0,Unit/Flat/Apartment,3/5/19,"McEnearney Associates, Inc. (MCE6)","$195,000 "
22202,VAAR120774,RES,CLS,1805 Crystal Dr #414s,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,3/7/19,Bristow Realty LLC (BRTW1),"$370,500 "
22202,VAAR104584,RES,CLS,1721 S Hayes St #1,Arlington,"Arlington, VA",3,End of Row/Townhouse,12/6/18,"Arlington Realty, Inc. (ARL1)","$625,000 "
22202,VAAR104546,RES,CLS,1112 19th St S,Arlington,"Arlington, VA",3,Detached,3/4/19,McWilliams/Ballard Inc. (MCWB3),"$850,000 "
22202,VAAR104530,RES,CLS,731 20th St S,Arlington,"Arlington, VA",3,Detached,12/7/18,"Arlington Realty, Inc. (ARL1)","$800,000 "
22202,VAAR104434,RES,CLS,2358 S Queen St,Arlington,"Arlington, VA",3,Row/Townhouse,2/26/19,"Long & Foster Real Estate, Inc. (LNG93)","$780,000 "
22202,VAAR104290,RES,CLS,1408 20th St S,Arlington,"Arlington, VA",3,Detached,2/18/19,TTR Sotheby's International Realty (TTRS6),"$906,900 "
22202,VAAR104306,RES,CLS,1200 S Arlington Ridge Rd #404,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,2/22/19,RE/MAX Home Realty (RXHRT1),"$300,000 "
22202,VAAR103612,RES,CLS,3650 S Glebe Rd #354,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,2/8/19,"'Weichert, REALTORS (WEI64)","$525,000 "
22202,VAAR103844,RES,CLS,634 S 15th St #A,Arlington,"Arlington, VA",2,Row/Townhouse,2/15/19,The ONE Street Company (ONERE1),"$565,000 "
22202,VAAR103620,RES,CLS,3650 S Glebe Rd #1044,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,2/22/19,KW Metro Center (KWR17),"$425,000 "
22202,VAAR103420,RES,CLS,1211 S Eads St #302,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,3/29/19,Keller Williams Realty (KWR8),"$505,000 "
22202,VAAR103586,RES,CLS,1300 S Army Navy Dr S #1001,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,1/31/19,Douglas Realty of Virginia LLC (DOGR2),"$273,000 "
22202,VAAR103082,RES,CLS,1300 Army Navy Dr #125,Arlington,"Arlington, VA",1,Unit/Flat/Apartment,11/30/18,Keller Williams Realty (KWR21),"$280,500 "
22202,VAAR103092,RES,CLS,1805 Crystal Dr #1002s,Arlington,"Arlington, VA",2,Unit/Flat/Apartment,1/7/19,"McEnearney Associates, Inc. (MCE6)","$615,000 "
