Zip Code,MLS #,Cat,Status,Address,City,County,Beds,Structure Type,Status Contractual Search Date,List Office Name,Current Price
20012,DCDC447012,RES,CLS,7217-C Georgia Ave NW #12-C,Washington,"Washington, DC",3,Unit/Flat/Apartment,5/23/19,Non Subscribing Office (NON1),"$744,900 "
20012,DCDC439648,RES,CLS,1103 Fern St NW,Washington,"Washington, DC",4,Twin/Semi-Detached,8/22/19,Non Subscribing Office (NON1),"$1,850,000 "
20012,DCDC435270,RES,CLS,1420 Van Buren St NW,Washington,"Washington, DC",5,Twin/Semi-Detached,8/29/19,Coldwell Banker Residential Brokerage (CBRB66),"$879,000 "
20012,DCDC435434,RES,CLS,1452 Juniper St NW,Washington,"Washington, DC",4,Detached,8/9/19,Compass (COMPS1),"$885,000 "
20012,DCDC434464,RES,CLS,1427 Van Buren St NW,Washington,"Washington, DC",5,Twin/Semi-Detached,8/28/19,Redfin Corp (REFC3),"$865,000 "
20012,DCDC434082,RES,CLS,1340 Underwood St NW,Washington,"Washington, DC",3,Detached,8/15/19,RE/MAX Realty Services (RBE3),"$749,000 "
20012,DCDC433952,RES,CLS,343 Cedar St NW #119,Washington,"Washington, DC",2,Row/Townhouse,7/31/19,Redfin Corp (REFC2),"$516,931 "
20012,DCDC430752,RES,CLS,7936 Orchid St NW,Washington,"Washington, DC",4,Detached,8/26/19,Berkshire Hathaway HomeServices PenFed Realty (PFED55),"$995,000 "
20012,DCDC403564,RES,CLS,6411 16th St NW,Washington,"Washington, DC",4,Detached,8/5/19,"Long & Foster Real Estate, Inc. (LNG147)","$815,000 "
20012,DCDC433282,RES,CLS,814 Dahlia St NW,Washington,"Washington, DC",3,Detached,8/21/19,"Long & Foster Real Estate, Inc. (LNG1)","$676,500 "
20012,DCDC432644,RES,CLS,1776 Verbena St NW,Washington,"Washington, DC",4,Detached,8/15/19,Compass (COMPS2),"$1,100,000 "
20012,DCDC433070,RES,CLS,1539 Locust Rd NW,Washington,"Washington, DC",4,Detached,8/9/19,TTR Sotheby's International Realty (TTRS4),"$725,000 "
20012,DCDC432712,RES,CLS,1422 Leegate Rd NW,Washington,"Washington, DC",6,Detached,8/12/19,"Washington Fine Properties, LLC (WFP1)","$1,000,000 "
20012,DCDC432530,RES,CLS,7129 Georgia Ave NW #3,Washington,"Washington, DC",1,Row/Townhouse,7/22/19,Compass (COMPS2),"$399,900 "
20012,DCDC431664,RES,CLS,26 Underwood Pl NW,Washington,"Washington, DC",2,Twin/Semi-Detached,8/5/19,Samson Properties (SAMP13),"$398,000 "
20012,DCDC432444,RES,CLS,219 Underwood St NW,Washington,"Washington, DC",3,Detached,8/2/19,Compass (COMPS6),"$800,000 "
20012,DCDC431468,RES,CLS,7409 Alaska Ave NW,Washington,"Washington, DC",4,Detached,8/2/19,Keller Williams Capital Properties (KWCP5),"$860,000 "
20012,DCDC431326,RES,CLS,1436 Whittier Pl NW,Washington,"Washington, DC",3,Detached,7/17/19,Keller Williams Realty (KWR14),"$625,000 "
20012,DCDC430934,RES,CLS,6543 N Capitol St NE,Washington,"Washington, DC",3,Twin/Semi-Detached,6/28/19,Compass (COMPS2),"$620,000 "
20012,DCDC430950,RES,CLS,1509 Van Buren St NW,Washington,"Washington, DC",4,Twin/Semi-Detached,8/30/19,Compass (COMPS1),"$875,000 "
20012,DCDC430688,RES,CLS,609 Tewkesbury Pl NW,Washington,"Washington, DC",2,Detached,6/9/19,"Long & Foster Real Estate, Inc. (LNG176)","$425,000 "
20012,DCDC430672,RES,CLS,911 Elder St NW #B,Washington,"Washington, DC",2,Row/Townhouse,8/14/19,McWilliams/Ballard Inc. (MCWB3),"$639,900 "
20012,DCDC430276,RES,CLS,7129 Georgia Ave NW #5,Washington,"Washington, DC",1,Row/Townhouse,8/23/19,Compass (COMPS2),"$309,900 "
20012,DCDC429514,RES,CLS,14 Underwood Pl NE,Washington,"Washington, DC",4,Detached,7/9/19,"McEnearney Associates, Inc. (MCE1)","$600,000 "
20012,DCDC429160,RES,CLS,2035 Parkside Dr NW,Washington,"Washington, DC",4,Detached,7/19/19,TTR Sotheby's International Realty (TTRS5),"$890,000 "
20012,DCDC429414,RES,CLS,1939 Tulip St NW,Washington,"Washington, DC",5,Detached,8/21/19,"Long & Foster Real Estate, Inc. (LNG42)","$1,037,500 "
20012,DCDC429450,RES,CLS,7600 Morningside Dr NW,Washington,"Washington, DC",4,Detached,6/21/19,Cottage Street Realty LLC (CTST1),"$1,005,000 "
20012,DCDC429046,RES,CLS,1429 Van Buren St NW,Washington,"Washington, DC",6,Twin/Semi-Detached,7/2/19,"Long & Foster Real Estate, Inc. (LNG194)","$1,049,900 "
20012,DCDC429308,RES,CLS,711 Tewkesbury Pl NW,Washington,"Washington, DC",3,Twin/Semi-Detached,7/9/19,Compass (COMPS1),"$525,000 "
20012,DCDC429002,RES,CLS,708 Butternut St NW,Washington,"Washington, DC",5,Detached,8/13/19,Compass (COMPS1),"$775,000 "
20012,DCDC428600,RES,CLS,7211 Georgia Ave NW #C,Washington,"Washington, DC",2,Row/Townhouse,7/25/19,McWilliams/Ballard Inc. (MCWB3),"$699,900 "
20012,DCDC428596,RES,CLS,7209 Georgia Ave NW #B,Washington,"Washington, DC",2,Row/Townhouse,6/27/19,McWilliams/Ballard Inc. (MCWB3),"$599,900 "
20012,DCDC428376,RES,CLS,6600 2nd St NW,Washington,"Washington, DC",5,Detached,7/10/19,McEnearney Associates (MCE14),"$783,000 "
20012,DCDC428172,RES,CLS,7405 Alaska Ave NW,Washington,"Washington, DC",4,Detached,7/2/19,"Long & Foster Real Estate, Inc. (LNG1)","$859,000 "
20012,DCDC427368,RES,CLS,7935 Orchid St NW,Washington,"Washington, DC",4,Detached,6/17/19,"Weichert, REALTORS (WEI4)","$910,000 "
