Zip Code,MLS #,Cat,Status,Address,City,County,Beds,Baths,Structure Type,Status Contractual Search Date,List Office Name,Current Price
20001,1006118752,RES,CLS,135 T St NW,Washington,"Washington, DC",4,1-Mar,Row/Townhouse,1/29/10,"Metropolitan Regional Information Systems, Inc. (MRIS1)","$620,000 "
20001,1006115174,RES,CLS,432 Oakdale Pl NW,Washington,"Washington, DC",2,1-Jan,Row/Townhouse,2/22/13,"W.C. & A.N. Miller, Realtors, A Long & Foster Co. (MIL9)","$372,000 "
20001,1006099460,RES,CLS,1022 W St NW,Washington,"Washington, DC",3,Jan-00,Row/Townhouse,4/19/10,RE/MAX Allegiance (RMAX127),"$375,000 "
20001,1006090526,RES,CLS,907-Street S St NW,Washington,"Washington, DC",6,1-Mar,Row/Townhouse,3/2/10,Fairfax Realty Elite (FXR4),"$625,000 "
20001,1006058344,RES,CLS,1601 8th St NW,Washington,"Washington, DC",4,Mar-00,End of Row/Townhouse,10/15/09,Coldwell Banker Residential Brokerage (CBRB49),"$435,000 "
20001,1006040864,RES,CLS,766 Gresham Pl NW,Washington,"Washington, DC",3,1-Jan,Twin/Semi-Detached,9/21/09,"Long & Foster Real Estate, Inc. (LNG33)","$252,000 "
20001,1006015856,RES,CLS,1231 New Jersey Ave NW #3 Units,Washington,"Washington, DC",4,1-Apr,Row/Townhouse,9/22/09,RE/MAX Allegiance (RMAX17),"$710,000 "
20001,1005993852,RES,CLS,1722 1st NW,Washington,"Washington, DC",4,Feb-00,Row/Townhouse,12/4/09,Taylor Properties (TAYL1),"$240,000 "
20001,1005884450,RES,CLS,77 New York Ave NW,Washington,"Washington, DC",3,1-Jan,Row/Townhouse,9/14/10,EXIT Dynamic Realty (EDRL1),"$320,000 "
20001,1005872274,RES,CLS,1618 11th St NW #102,Washington,"Washington, DC",1,Jan-00,Unit/Flat/Apartment,10/21/09,"Urban Land Company, LLC (ULC1)","$294,000 "
20001,1005769300,RES,CLS,619 Florida Ave NW,Washington,"Washington, DC",5,Mar-00,Row/Townhouse,10/6/09,Home Source Real Estate Solutions (HSLT1),"$470,000 "
