geometry,icon,id,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,types,user_ratings_total,locations,Zip Code
"{'location': {'lat': 38.897167, 'lng': -77.030045}, 'viewport': {'northeast': {'lat': 38.89861017989272, 'lng': -77.02869542010728}, 'southwest': {'lat': 38.89591052010728, 'lng': -77.03139507989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,fa7448f2c2239f798540bfe6c786e9333dfafbba,Starbucks,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108402081642242169263/photos"">Michael Sokolov</a>'], 'photo_reference': 'CmRaAAAAds-SCJX0LL-zVvlV-13bhDoO0XCE1VJmaHBkgdMHLU1blvnNQBhn9S-P6eGiP5vz-o2C-t6YkWmM4zR-cTPmWxZzbcWYMM2VUXHDFRkdzEVwdTjeXeCOWkVik_KHt51FEhAzzC_JNVfb_LSXKeREEjsqGhQC6QDJD9BDROIZUpQ3QUhEsuRvrA', 'width': 1080}]",ChIJ39SAcZe3t4kRpmD__D9O9XQ,"{'compound_code': 'VXW9+VX Washington, District of Columbia', 'global_code': '87C4VXW9+VX'}",2,3.8,ChIJ39SAcZe3t4kRpmD__D9O9XQ,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",343,"1304 F St NW, Washington, DC 20004, USA",20004
"{'location': {'lat': 38.8985419, 'lng': -77.03218869999999}, 'viewport': {'northeast': {'lat': 38.89989222989271, 'lng': -77.03074782010727}, 'southwest': {'lat': 38.89719257010727, 'lng': -77.03344747989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,65fa6cfb867ad0fcdc0280cf157b94416c1d57f5,Starbucks,{'open_now': True},"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109267633708058521788/photos"">A Google User</a>'], 'photo_reference': 'CmRaAAAA7IaPwiE-8eq_T1NlRbXVEWJD50uoAT66pxNY4oSdsiRWSK8Q1SjMNoymOlOoyjGNoOix9XHC1tgf0MyPnCJs2k74N4fHm2HrlyRQd2IrCYr6rYeOaji1dxMH2O__96jwEhBzYwhGKZkyPePxT8LU0ZU4GhRzQcUMsxU7QkxcjU8qJOiatwdGow', 'width': 2448}]",ChIJ-4qcNpa3t4kRisYrQAiGitg,"{'compound_code': 'VXX9+C4 Washington, District of Columbia', 'global_code': '87C4VXX9+C4'}",2,3.9,ChIJ-4qcNpa3t4kRisYrQAiGitg,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",347,"700 14th St NW, Washington, DC 20005, USA",20005
"{'location': {'lat': 38.908733, 'lng': -77.02345799999999}, 'viewport': {'northeast': {'lat': 38.91000372989272, 'lng': -77.02210797010727}, 'southwest': {'lat': 38.90730407010728, 'lng': -77.02480762989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,4e5f196f49ed7065459fbfe1c14ce31d74770972,Starbucks,{'open_now': True},"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111609562811432142284/photos"">Ana Belén Garcia</a>'], 'photo_reference': 'CmRaAAAA53Yy2vcE3eTBYFxmCmZg4xgUumHZSBF56fmUyUTp86KlUt9CNyWzfxVzhRul-8uh6P0si-TseAY8wI9ba5ZEADbhEPw92H993Sd0RRy8IfS9odaULvLbhGFOdZs7_lYYEhAarhBBNXT0eiwh_UpiGAXuGhTjEe1jqxA5xckrP2SOPBoHyoP5KA', 'width': 4128}]",ChIJQQKXruu3t4kRRXOvfAbf9dM,"{'compound_code': 'WX5G+FJ Washington, District of Columbia', 'global_code': '87C4WX5G+FJ'}",2,4,ChIJQQKXruu3t4kRRXOvfAbf9dM,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",161,"815 O St NW, Washington, DC 20005, USA",20005
"{'location': {'lat': 38.893721, 'lng': -77.027763}, 'viewport': {'northeast': {'lat': 38.89501577989272, 'lng': -77.02660517010726}, 'southwest': {'lat': 38.89231612010727, 'lng': -77.02930482989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,16e3d5a2ad72d725f25f1141feb379a015c5aa47,Starbucks,{'open_now': True},"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111752840050187439445/photos"">Vincent de Koning</a>'], 'photo_reference': 'CmRaAAAAwsisM0vWEQTpLz3iANOOYAaocZDLn6MSMBoxzbsOyMCb5rrqsQxBTEcAMc_x06pNekkOQYQOYo9ndg-Qctp6qmsi8JW4Q2ghANkXsozL9Gh3wsozUqyGjjFGKmlnfq95EhDhz7rBVbvBXB9yJXSSfThLGhQ1cz3ksGfqrbksVdY4nSpPuw_ojQ', 'width': 3456}]",ChIJ6avQipm3t4kR9ef5GqOVIO0,"{'compound_code': 'VXVC+FV Washington, District of Columbia', 'global_code': '87C4VXVC+FV'}",2,3.9,ChIJ6avQipm3t4kR9ef5GqOVIO0,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",285,"1100 Pennsylvania Ave NW, Washington, DC 20004, USA",20004
"{'location': {'lat': 38.8859493, 'lng': -77.0196898}, 'viewport': {'northeast': {'lat': 38.88733907989273, 'lng': -77.01833927010728}, 'southwest': {'lat': 38.88463942010728, 'lng': -77.02103892989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,fbde98a9fffa5cbe9fa888177bb476d412f2a77f,Starbucks,{'open_now': True},"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117453041677811795477/photos"">Hardik D</a>'], 'photo_reference': 'CmRaAAAAsxeA7zc5Ri4wD8Z2K6OXbzztmxK9Fr-QkPUn4tGV4TmjCQc0G7xWZIutt-N7ZKzl73V2gl6IECnMVpUfXqvgnysRYKv1uOzhcwBakijbmSrGrGVDDbqr4wJYsWQipn7VEhBIOWrsr4MQDSOqu5MVZ4olGhRUFG4CU8eCatoc_pZ-aZZvF-Xw9w', 'width': 2112}]",ChIJqRDP-oK3t4kRrUeSKJ98zv8,"{'compound_code': 'VXPJ+94 Washington, District of Columbia', 'global_code': '87C4VXPJ+94'}",2,3.4,ChIJqRDP-oK3t4kRrUeSKJ98zv8,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",474,"550 C St SW Suite 100, Washington, DC 20024, USA",20024
"{'location': {'lat': 38.90000029999999, 'lng': -77.0321731}, 'viewport': {'northeast': {'lat': 38.90134907989273, 'lng': -77.03068482010727}, 'southwest': {'lat': 38.89864942010728, 'lng': -77.03338447989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,0a29f010cd0fbb8b8376dc840616c8f1882d5628,Starbucks,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103904306954574958392/photos"">Micah Giszack</a>'], 'photo_reference': 'CmRaAAAAHMA2todJzZ9Z29liypjNz9jq68RCCKLIAPIBt5F9NYBf4rC9iPI5ULsheAy-ZEW5JXC_Ah6WQjCPb5_CZlcsX2EMheaI67NY4Nx1ZPgcQJ7M89IeUKYISHsio_rAYS7_EhDhy1yxgXiIztCIDuEbWbbqGhT73Sl4pBZo84I28xyJJlKEBEu0Mw', 'width': 3024}]",ChIJDZySE5a3t4kROHzoaM4fAvI,"{'compound_code': 'WX29+24 Washington, District of Columbia', 'global_code': '87C4WX29+24'}",2,3.9,ChIJDZySE5a3t4kROHzoaM4fAvI,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",227,"1401 New York Ave NW, Washington, DC 20005, USA",20005
"{'location': {'lat': 38.898047, 'lng': -77.006181}, 'viewport': {'northeast': {'lat': 38.89964967989272, 'lng': -77.00532647010728}, 'southwest': {'lat': 38.89695002010728, 'lng': -77.00802612989273}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,38d974b727a8e81d853014f19b2531391e65cfb6,Starbucks,{'open_now': True},"[{'height': 664, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102987456092953570251/photos"">Starbucks</a>'], 'photo_reference': 'CmRaAAAAm7Xirgbvj9EjPmzX1Qp2ITg9N9M-_pszW29v46byMiCh6y5vtf4pYpbgPsEFnmZk-maLxae4EmXc-FCJ30H61tQzzkxP90azlfy_XS8JdrEN5Tv7xYew4QnJl4eWs-UsEhDf5D9tAw7QGSHraoiU-ZaMGhRXvKcOD2z1V03sq6WHcSz8TsJQjw', 'width': 732}]",ChIJX85bNSG4t4kRvPvgRlWFcM8,"{'compound_code': 'VXXV+6G Washington, District of Columbia', 'global_code': '87C4VXXV+6G'}",2,2.6,ChIJX85bNSG4t4kRvPvgRlWFcM8,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",129,"40 Massachusetts Ave NE, 169 Main Hall, Washington, DC 20002, United States",20002
"{'location': {'lat': 38.902928, 'lng': -77.031707}, 'viewport': {'northeast': {'lat': 38.90413332989272, 'lng': -77.03035512010729}, 'southwest': {'lat': 38.90143367010727, 'lng': -77.03305477989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,3ecc79284c102998b95d600993002bfd1df650f3,Starbucks,{'open_now': True},"[{'height': 2560, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115401718823207860804/photos"">Jose Monrroy</a>'], 'photo_reference': 'CmRaAAAAZdqvXOwcwIrP7AKC3hXl3BQMHgdh8WTiGp7IGnEcIIkn2y2mfwPKGcYP-Riy2MsvyqulG6fUJyjzvNtKJ3JD8CFuM_H1hrI5l-E1qXmd0r-gI65iT2o2z2RyhKkZlgaqEhDGdArKiwDgjXwwtMrDEbMaGhTDbNzVG26hEJim-zJ7HkaUQBFPSA', 'width': 1440}]",ChIJZdHioJW3t4kR0UqlaVajdHM,"{'compound_code': 'WX39+58 Washington, District of Columbia', 'global_code': '87C4WX39+58'}",2,3.2,ChIJZdHioJW3t4kR0UqlaVajdHM,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",55,"14th St NW &, K St NW, Washington, DC 20005, United States",20005
"{'location': {'lat': 38.9041679, 'lng': -77.0330808}, 'viewport': {'northeast': {'lat': 38.90547947989272, 'lng': -77.03162257010727}, 'southwest': {'lat': 38.90277982010728, 'lng': -77.03432222989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,77103b8ad44c2d683b6a5d620ff17c73d8f6e716,Starbucks,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106320474568102979801/photos"">Andrea Reyes</a>'], 'photo_reference': 'CmRaAAAAQMCmlqRuIDb_pf-gLJgNaZD5GKaC8XGIJmZ8e9xMueN9rpUHl96H83hVtCaxQCbGLaRmuGAaNtetRDH3AASb_dypnNYh8-xJnGtMh666-T0VHOPD5XUKNEwRIVx5tN-QEhCzGnfmsd15dYLPFYkmei6qGhRLV9Oe-DIW9rR76MzOzig8dJ3D-Q', 'width': 3008}]",ChIJdcOmY5W3t4kRa6893M3GkhM,"{'compound_code': 'WX38+MQ Washington, District of Columbia', 'global_code': '87C4WX38+MQ'}",2,4,ChIJdcOmY5W3t4kRa6893M3GkhM,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",118,"1110 Vermont Ave NW, Washington, DC 20005, USA",20005
"{'location': {'lat': 38.896585, 'lng': -77.026956}, 'viewport': {'northeast': {'lat': 38.89793862989271, 'lng': -77.02565742010728}, 'southwest': {'lat': 38.89523897010727, 'lng': -77.02835707989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png,8315fc4f0c27b1c486a84b14f6cfb01859a3aecc,Starbucks,{'open_now': True},"[{'height': 4096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114653159825821748217/photos"">Vania Knackfuss Gonçalves</a>'], 'photo_reference': 'CmRaAAAAoletjo2wZwxNca8eCFDScfs80KuohvB7iGWId6xien69sKyclmzZWdAGLu8O-vGuLdKMCiep-GTIce4idx_KbKjcfjSRHy-2dwQigXEY2NCfE9L-b7H5O59c4wfUTELGEhB9Ka74vdt-nkCesDAyY9hMGhTtRnFld7m7PYgfp-GLDtrxTqnUcw', 'width': 2304}]",ChIJ94PFxZC3t4kRROPTKVGeOgg,"{'compound_code': 'VXWF+J6 Washington, District of Columbia', 'global_code': '87C4VXWF+J6'}",2,4.2,ChIJ94PFxZC3t4kRROPTKVGeOgg,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",255,"555 11th St NW, Washington, DC 20004, USA",20004
